#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,ERA,FIP,WAR
72,Trevor Rogers,BAL,9,8,0,26,26,142,7.74,2.92,1.1,0.296,71.90%,,4.08,4.08,2.1
73,Braxton Ashcraft,PIT,8,9,0,45,23,149,7.94,2.73,0.97,0.299,72.80%,,3.84,3.82,2
74,Shane Bieber,TOR,8,7,0,29,21,126,8.22,2.1,1.12,0.293,73.40%,,3.71,3.71,2
75,Shane Smith,CHW,8,10,0,29,29,160,8.46,3.39,1.17,0.286,71.00%,,4.19,4.28,2
76,Brandon Pfaadt,ARI,10,10,0,29,29,163,8,2.06,1.23,0.302,70.40%,,4.22,3.95,2
77,Quinn Priester,MIL,10,10,0,29,29,174,7.53,3.06,1.07,0.292,71.30%,,4.12,4.16,2
78,Jack Leiter,TEX,9,9,0,28,28,148,8.57,3.69,1.18,0.281,71.00%,,4.28,4.28,2
79,Trey Yesavage,TOR,7,6,0,36,24,134,9.81,3.75,1.04,0.284,73.00%,,3.8,3.8,2
80,Nolan McLean,NYM,10,8,0,26,26,145,8.7,3.49,0.94,0.29,72.40%,,3.82,3.93,2
81,Reynaldo López,ATL,9,8,0,36,24,144,9.05,3.12,1.07,0.294,73.30%,,3.83,3.8,1.9
82,Brayan Bello,BOS,9,10,0,28,28,153,7.49,3.18,1,0.301,70.70%,,4.22,4.13,1.9
83,Cody Ponce,TOR,9,8,0,49,21,149,8.86,2.67,1.23,0.293,71.90%,,4.03,3.95,1.9
84,Chris Bassitt,BAL,11,10,0,39,29,176,8.19,3.09,1.2,0.297,72.30%,,4.18,4.29,1.9
85,Zebby Matthews,MIN,7,7,0,33,21,122,8.89,2.22,1.27,0.299,72.80%,,4,3.81,1.9
86,Bubba Chandler,PIT,9,9,0,36,26,147,8.32,3.47,1.07,0.292,71.70%,,4.12,4.19,1.9
87,Cade Smith,CLE,6,3,30,70,0,70,11.68,2.84,0.76,0.288,76.00%,,2.85,2.76,1.9
88,Braxton Garrett,MIA,7,7,0,31,23,129,7.82,2.21,1.11,0.298,72.20%,,3.89,3.93,1.9
89,Edward Cabrera,CHC,9,7,0,26,26,137,9.6,3.59,1.08,0.285,71.80%,,3.92,3.93,1.8
90,Griffin Jax,TBR,5,3,12,67,0,67,11.67,2.53,0.83,0.294,76.90%,,2.83,2.69,1.8
91,Cade Cavalli,WSN,7,9,0,26,26,135,7.69,3.18,0.99,0.297,70.10%,,4.2,4.14,1.8
92,Jacob Lopez,ATH,8,8,0,24,24,131,9.37,3.61,1.27,0.288,72.70%,,4.17,4.26,1.8
93,Shota Imanaga,CHC,9,8,0,26,26,147,8.21,2,1.57,0.28,74.40%,,4.04,4.32,1.8
94,Shane Baz,BAL,9,9,0,28,28,152,8.85,3.21,1.28,0.292,71.50%,,4.28,4.24,1.8
95,Tatsuya Imai,HOU,9,9,0,26,26,153,8.54,3.66,1.16,0.305,71.60%,,4.37,4.28,1.8
96,Jacob Misiorowski,MIL,9,8,0,32,24,134,10.36,4.11,1.13,0.283,72.80%,,3.98,4.04,1.7
97,Edwin Díaz,LAD,5,2,36,66,0,66,12.67,3.18,0.91,0.289,76.20%,,2.98,2.9,1.7
98,Taj Bradley,MIN,7,8,0,33,23,132,8.54,3.15,1.21,0.292,71.00%,,4.25,4.12,1.7
99,Justin Verlander,DET,8,8,0,26,26,141,7.43,2.83,1.27,0.288,71.50%,,4.31,4.38,1.7
100,Ryne Nelson,ARI,9,8,0,38,28,167,7.43,2.51,1.19,0.291,71.80%,,4.09,4.14,1.7
101,Nick Martinez,TBR,9,10,0,47,21,147,6.95,2.47,1.14,0.294,69.60%,,4.32,4.17,1.7
102,Aroldis Chapman,BOS,5,3,31,62,0,62,12.76,4.05,0.79,0.296,77.80%,,2.96,2.87,1.7
103,Foster Griffin,WSN,6,7,0,34,19,125,8.09,2.58,1.15,0.299,71.40%,,4.12,4,1.7
104,Spencer Schwellenbach,ATL,6,4,0,15,15,89,8.8,1.86,1.09,0.294,73.30%,,3.52,3.49,1.7
105,Cam Schlittler,NYY,8,7,0,23,23,121,8.87,3.33,1.18,0.286,72.40%,,4.04,4.11,1.7
106,Kyle Freeland,COL,8,12,0,29,29,160,6.68,2.36,1.43,0.314,68.60%,,5.02,4.61,1.6
107,Roki Sasaki,LAD,7,6,0,41,19,123,9.41,3.2,1.22,0.297,71.70%,,4.16,4.05,1.6
108,Noah Cameron,KCR,8,8,0,26,26,142,7.58,2.92,1.22,0.293,72.10%,,4.2,4.3,1.6
109,Grant Taylor,CHW,5,5,5,80,3,92,10.08,3.22,0.87,0.291,73.40%,,3.47,3.27,1.6
110,Bryce Miller,SEA,8,8,0,26,26,141,7.99,2.67,1.26,0.28,71.50%,,4.11,4.19,1.6
111,Seth Lugo,KCR,9,10,0,28,28,160,7.58,2.98,1.32,0.294,71.80%,,4.39,4.47,1.6
112,Mike Burrows,HOU,6,7,0,34,24,131,8.89,3.05,1.3,0.287,72.70%,,4.11,4.17,1.6
113,Dustin May,STL,9,10,0,38,24,156,8.18,3.27,1.07,0.288,70.20%,,4.18,4.17,1.6
114,Jameson Taillon,CHC,9,9,0,28,28,153,6.99,2.12,1.47,0.285,71.10%,,4.4,4.49,1.6
115,Simeon Woods Richardson,MIN,7,8,0,32,24,135,8.15,3.34,1.28,0.291,71.50%,,4.38,4.37,1.6
116,Matthew Liberatore,STL,9,10,0,28,28,150,7.5,2.9,1.12,0.293,70.90%,,4.22,4.19,1.5
117,Michael McGreevy,STL,8,8,0,33,23,137,6.3,2.15,1.02,0.294,71.30%,,3.98,4.01,1.5
118,Zack Littell,,8,10,0,28,28,162,6.84,1.86,1.54,0.293,69.80%,,4.62,4.57,1.5
119,Max Meyer,MIA,8,9,0,34,24,137,8.11,2.98,1.19,0.297,71.30%,,4.24,4.15,1.5
120,Eduardo Rodriguez,ARI,8,8,0,31,23,132,8.05,3.16,1.22,0.299,72.90%,,4.22,4.23,1.5
121,Bryan Abreu,HOU,4,2,5,68,0,68,12.02,3.76,0.85,0.289,77.90%,,2.97,3.1,1.5
122,Robbie Ray,SFG,10,10,0,31,31,174,9.11,3.35,1.31,0.289,73.70%,,4.12,4.23,1.5
123,Davis Martin,CHW,7,10,0,28,28,150,7.03,3.08,1.26,0.294,70.20%,,4.54,4.56,1.5
124,Chad Patrick,MIL,8,9,0,26,26,140,8.42,2.92,1.45,0.283,71.40%,,4.42,4.46,1.5
125,Joey Cantillo,CLE,8,7,0,54,21,144,9.59,3.95,1.11,0.29,75.40%,,3.8,4.02,1.5
126,Jared Jones,PIT,6,6,0,24,18,102,8.84,3.17,1.07,0.293,72.30%,,3.94,3.93,1.5
127,Zach Eflin,BAL,9,10,0,36,24,149,6.91,1.72,1.41,0.296,70.70%,,4.34,4.3,1.5
128,Sean Manaea,NYM,8,7,0,43,21,136,9.23,2.85,1.33,0.287,71.10%,,4.2,4.13,1.4
129,Anthony Kay,CHW,6,8,0,23,23,129,7.32,3.42,1.2,0.3,71.30%,,4.45,4.5,1.4
130,Cade Horton,CHC,8,8,0,24,24,127,7.87,2.87,1.23,0.282,71.60%,,4.13,4.24,1.4
131,Aaron Civale,ATH,7,8,0,24,24,130,7.81,2.87,1.44,0.286,69.60%,,4.64,4.58,1.4
132,Will Warren,NYY,7,8,0,45,21,134,8.87,3.22,1.23,0.291,71.10%,,4.24,4.13,1.4
133,Justin Steele,CHC,5,4,0,15,15,81,8.45,2.48,1.01,0.291,73.80%,,3.58,3.65,1.4
134,Josh Hader,HOU,5,3,29,60,0,60,12.57,3.46,1.15,0.276,77.10%,,3.21,3.27,1.3
135,David Bednar,NYY,5,4,33,65,0,65,11.2,3,1.03,0.283,76.00%,,3.24,3.23,1.3
136,Devin Williams,NYM,5,4,32,64,0,64,11.93,3.77,0.81,0.284,74.70%,,3.12,3.05,1.3
137,Abner Uribe,MIL,4,2,19,72,0,72,10.83,4.13,0.71,0.284,75.50%,,3.12,3.32,1.3
138,Landen Roupp,SFG,8,8,0,33,23,128,8.4,3.49,0.96,0.297,72.80%,,3.95,3.92,1.3
139,Andre Pallante,STL,8,9,0,24,24,134,6.31,3.47,0.85,0.3,70.40%,,4.25,4.22,1.3
140,Garrett Whitlock,BOS,5,3,3,70,0,70,10.1,2.46,0.93,0.299,74.60%,,3.32,3.17,1.3
141,Tyler Mahle,SFG,8,8,0,26,26,137,7.42,2.74,1.17,0.292,72.50%,,4.05,4.15,1.3
142,Kodai Senga,NYM,7,7,0,35,19,119,8.97,3.95,1.06,0.286,74.30%,,3.85,4.1,1.3
143,Logan Henderson,MIL,7,7,0,38,16,105,9.06,2.75,1.39,0.281,72.60%,,4.13,4.14,1.3
144,Parker Messick,CLE,7,7,0,23,23,121,8.32,3.07,1.19,0.294,73.40%,,4.03,4.19,1.3
145,Pete Fairbanks,MIA,4,3,27,62,0,62,9.37,3.2,0.81,0.29,73.60%,,3.38,3.38,1.3
146,Andrés Muñoz,SEA,4,2,28,64,0,64,11.56,3.5,0.75,0.283,76.50%,,2.86,2.98,1.3
147,Brad Lord,WSN,8,9,0,37,24,145,6.8,3.08,1.13,0.293,69.40%,,4.47,4.44,1.3
148,Dean Kremer,BAL,8,9,0,42,21,139,7.67,2.73,1.35,0.293,71.50%,,4.37,4.38,1.2
149,Slade Cecconi,CLE,8,10,0,28,28,155,7.54,2.31,1.46,0.29,70.80%,,4.45,4.45,1.2
150,Jose Quintana,COL,8,10,0,26,26,144,6.39,3.56,1.27,0.302,70.20%,,4.86,4.85,1.2
151,José Alvarado,PHI,5,3,3,64,0,64,10.52,3.71,0.83,0.295,76.10%,,3.3,3.33,1.2
152,Ryan Weathers,NYY,7,7,0,41,19,122,8.45,3.24,1.18,0.285,71.30%,,4.14,4.15,1.2
153,Adrian Houser,SFG,8,9,0,26,26,147,6.43,2.99,0.97,0.299,70.70%,,4.23,4.24,1.2
