#,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
327,Jeremiah Jackson,BAL,50,211,7,24,24,4,5.00%,22.60%,0.159,0.29,0.246,0.287,0.405,0.299,92,-0.1,-2.1,-0.1,0.5
328,Javier Sanoja,MIA,46,180,3,19,18,5,6.20%,11.10%,0.13,0.281,0.263,0.312,0.392,0.307,95,0.1,-1.1,0.1,0.5
329,Edouard Julien,MIN,44,186,5,21,18,2,13.40%,30.60%,0.14,0.315,0.224,0.334,0.365,0.311,98,-0.3,-0.7,-0.7,0.5
330,Orlando Arcia,,58,228,6,24,25,1,7.00%,20.80%,0.14,0.269,0.232,0.289,0.372,0.289,83,-0.2,-4.8,2,0.5
331,Matt Vierling,DET,57,248,5,27,24,3,8.00%,23.40%,0.13,0.301,0.242,0.309,0.373,0.3,91,0,-2.7,-0.9,0.5
332,Blake Perkins,MIL,60,242,5,25,23,8,10.60%,26.80%,0.121,0.297,0.224,0.31,0.345,0.292,86,0.4,-3.5,0.4,0.5
333,Oswaldo Cabrera,NYY,64,250,7,29,28,3,8.10%,19.80%,0.148,0.282,0.245,0.311,0.393,0.308,98,-0.2,-0.8,-2.9,0.5
334,Gavin Sheets,SDP,108,453,14,50,54,2,8.30%,20.50%,0.161,0.28,0.244,0.311,0.406,0.312,103,-1.2,0.2,-10.5,0.5
335,Luisangel Acuña,NYM,44,175,2,18,17,9,6.10%,17.90%,0.102,0.299,0.254,0.304,0.356,0.29,88,0.6,-1.9,0.9,0.5
336,Jeferson Quero,MIL,31,126,3,13,13,1,7.70%,19.50%,0.14,0.263,0.23,0.297,0.371,0.294,87,-0.1,-2,2.6,0.5
337,Gary Sánchez,,54,221,10,25,28,1,8.10%,26.10%,0.189,0.263,0.224,0.299,0.413,0.31,98,-0.6,-1.2,0,0.5
338,Edgar Quero,CHW,94,371,9,40,39,1,9.10%,18.10%,0.13,0.299,0.26,0.334,0.389,0.319,104,-1.1,0.6,-4.3,0.5
339,Denzel Clarke,ATH,74,278,6,31,27,9,7.50%,32.50%,0.136,0.325,0.226,0.295,0.362,0.289,81,0.6,-5.7,0.8,0.5
340,Ezequiel Duran,TEX,63,251,6,27,26,7,5.00%,23.60%,0.135,0.303,0.246,0.29,0.381,0.292,87,-0.1,-3.9,0,0.5
341,Tyrone Taylor,NYM,83,320,8,35,34,9,5.40%,22.50%,0.145,0.281,0.233,0.286,0.379,0.289,87,1,-4,-2,0.5
342,Miguel Rojas,LAD,38,150,3,16,16,2,6.30%,13.80%,0.118,0.282,0.257,0.309,0.376,0.3,92,-0.1,-1.6,1.3,0.5
343,Isiah Kiner-Falefa,,74,293,3,29,26,8,4.90%,17.00%,0.089,0.298,0.254,0.298,0.343,0.283,79,0.8,-6.5,1.1,0.5
344,Rhys Hoskins,,92,382,16,44,47,3,10.80%,27.00%,0.19,0.274,0.225,0.318,0.415,0.319,104,-1.3,0.4,-8.8,0.5
345,Gavin Lux,CIN,95,390,7,40,38,2,10.40%,21.60%,0.12,0.315,0.254,0.334,0.374,0.314,96,-0.4,-2.3,-6.1,0.5
346,Rob Refsnyder,SEA,46,200,6,23,22,2,10.40%,27.30%,0.16,0.308,0.239,0.326,0.4,0.318,110,-0.3,2,-4.4,0.5
347,Lenyn Sosa,CHW,75,311,11,33,38,2,4.20%,22.20%,0.163,0.293,0.254,0.289,0.416,0.303,93,-0.4,-2.8,-3.5,0.5
348,Alex Freeland,LAD,40,159,4,18,16,3,11.30%,26.10%,0.14,0.284,0.222,0.316,0.361,0.301,92,0,-1.4,0.6,0.5
349,Moisés Ballesteros,CHC,66,262,7,28,29,2,8.20%,17.30%,0.143,0.302,0.266,0.33,0.408,0.321,108,-0.4,1.9,-6.2,0.4
350,José Fermín,STL,27,109,2,12,10,4,11.40%,13.10%,0.122,0.27,0.247,0.344,0.369,0.318,106,0,0.8,0,0.4
351,Tyler Heineman,TOR,25,99,2,10,9,1,8.70%,21.90%,0.105,0.28,0.226,0.306,0.332,0.285,82,-0.2,-2.3,2.1,0.4
352,Dylan Moore,,59,238,7,27,24,12,10.10%,28.80%,0.151,0.273,0.209,0.3,0.36,0.293,86,0.6,-3.3,-0.4,0.4
353,Edmundo Sosa,PHI,46,185,5,20,21,2,4.20%,22.70%,0.152,0.299,0.249,0.291,0.401,0.3,90,0.1,-2.2,0.3,0.4
354,Alan Roden,MIN,50,200,4,23,21,3,9.00%,18.80%,0.137,0.299,0.255,0.335,0.392,0.32,104,-0.1,0.9,-3.6,0.4
355,Angel Martínez,CLE,44,187,4,20,19,3,6.30%,20.70%,0.138,0.282,0.239,0.294,0.377,0.293,88,0.2,-2.6,0.4,0.4
356,Triston Casas,BOS,41,173,7,21,23,1,12.40%,25.50%,0.203,0.289,0.241,0.339,0.444,0.338,113,-0.5,2.2,-3.9,0.4
357,Colby Thomas,ATH,53,219,8,25,27,3,5.70%,29.90%,0.183,0.309,0.239,0.291,0.422,0.308,94,-0.1,-1.7,-1.6,0.4
358,Ty France,,85,353,8,37,38,1,6.20%,18.70%,0.133,0.298,0.257,0.324,0.39,0.314,101,-0.8,-0.6,-7.2,0.4
359,José Tena,WSN,49,199,4,20,19,6,7.10%,24.90%,0.122,0.317,0.247,0.304,0.369,0.295,88,0,-2.9,0.3,0.4
360,Leody Taveras,BAL,35,138,4,16,15,5,7.30%,20.80%,0.141,0.288,0.245,0.301,0.386,0.3,92,0.3,-0.9,0.2,0.4
361,Owen Caissie,CHC,53,218,7,25,25,2,9.70%,31.00%,0.168,0.323,0.237,0.316,0.405,0.314,103,-0.2,0.5,-3.7,0.4
362,Jonny DeLuca,TBR,56,229,7,25,25,7,7.20%,20.90%,0.157,0.272,0.235,0.298,0.392,0.3,91,0.3,-2.2,-1.7,0.4
363,Javier Báez,DET,63,244,6,25,26,3,3.90%,23.20%,0.138,0.287,0.238,0.276,0.376,0.283,79,0.2,-5.8,1.4,0.4
364,Kody Clemens,MIN,65,266,11,31,34,3,7.10%,24.00%,0.192,0.268,0.232,0.293,0.424,0.309,97,-0.1,-1.1,-4.1,0.4
