#,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
586,Hayden Senger,NYM,2,6,0,1,1,0,5.90%,29.60%,0.104,0.281,0.206,0.262,0.31,0.254,63,0,-0.3,0.1,0
587,Tomás Nido,DET,3,13,0,1,1,0,4.50%,25.00%,0.104,0.281,0.222,0.263,0.326,0.258,62,0,-0.6,0.2,0
588,Kevin Newman,KCR,3,14,0,1,1,0,5.30%,17.10%,0.095,0.293,0.25,0.294,0.345,0.281,75,0,-0.4,0,0
589,Orelvis Martinez,WSN,29,126,4,13,13,1,8.10%,27.60%,0.164,0.246,0.201,0.274,0.365,0.28,77,-0.1,-3.5,-0.6,0
590,Vimael Machín,COL,13,56,1,6,5,1,7.60%,19.10%,0.12,0.297,0.251,0.312,0.371,0.299,77,-0.1,-1.6,-0.1,0
591,Eliezer Alfonzo,LAD,2,6,0,1,1,0,5.50%,14.00%,0.104,0.252,0.231,0.278,0.334,0.269,70,0,-0.2,0.1,0
592,César Prieto,STL,2,7,0,1,1,0,4.60%,15.40%,0.105,0.287,0.253,0.294,0.358,0.286,84,0,-0.1,0,0
593,Maverick Handley,BAL,2,6,0,1,1,0,9.50%,27.70%,0.096,0.269,0.199,0.286,0.294,0.263,67,0,-0.3,0.1,0
594,Jhonkensy Noel,CLE,3,14,1,2,2,0,5.90%,27.80%,0.199,0.27,0.227,0.281,0.426,0.305,96,0,-0.1,-0.3,0
595,Jared Serna,MIA,8,35,0,3,3,1,7.50%,18.60%,0.095,0.261,0.22,0.286,0.315,0.268,68,0,-1.3,0.3,0
596,Junior Perez,ATH,10,42,1,5,4,1,9.60%,31.90%,0.148,0.286,0.207,0.287,0.356,0.283,77,0,-1.1,-0.2,0
597,Collin Price,HOU,2,6,0,1,1,0,8.00%,32.50%,0.132,0.267,0.194,0.266,0.325,0.263,66,0,-0.3,0.1,0
598,Joey Wiemer,SFG,6,28,1,3,3,1,8.80%,29.60%,0.136,0.278,0.209,0.287,0.345,0.28,80,0,-0.7,-0.2,0
599,Nick Raposo,SEA,2,6,0,1,1,0,7.60%,24.20%,0.099,0.253,0.201,0.266,0.299,0.253,65,0,-0.3,0.1,0
