#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,ERA,FIP,WAR
311,Clarke Schmidt,NYY,2,2,0,19,3,34,9.16,2.91,1.23,0.287,74.30%,39.40%,3.83,3.98,0.4
312,Brock Stewart,LAD,2,1,0,32,0,32,10.74,3.46,1.14,0.287,75.50%,38.00%,3.6,3.68,0.4
313,Hayden Birdsong,SFG,4,5,0,25,11,74,8.83,4.34,1.22,0.291,72.30%,38.70%,4.44,4.54,0.4
314,A.J. Puk,ARI,2,1,0,32,0,32,10.26,3.11,0.96,0.296,74.50%,40.60%,3.48,3.43,0.4
315,Dietrich Enns,BAL,3,3,0,62,0,62,8.09,2.67,1.15,0.301,73.70%,43.70%,3.92,4,0.4
316,Taijuan Walker,PHI,6,8,0,50,16,121.1,6.47,3.12,1.48,0.294,71.20%,41.80%,4.81,4.99,0.4
317,Brendon Little,TOR,3,2,0,54,0,54,9.47,4.54,0.74,0.303,75.70%,53.90%,3.43,3.72,0.4
318,Kai-Wei Teng,SFG,4,5,0,21,11,71,8.23,3.78,1.11,0.297,71.10%,43.80%,4.36,4.38,0.4
319,Kody Funderburk,MIN,3,3,10,65,0,65,8.63,3.69,0.84,0.305,73.80%,50.00%,3.7,3.82,0.4
320,Julian Fernández,WSN,3,3,2,59,0,59,9.26,3.23,1.08,0.29,74.30%,40.60%,3.71,3.82,0.4
321,Joe Jiménez,ATL,2,2,0,47,0,47,10.01,3,1.12,0.295,73.70%,35.80%,3.77,3.64,0.4
322,Brant Hurter,DET,3,3,0,55,0,55,7.95,2.71,0.92,0.299,73.20%,47.30%,3.66,3.79,0.4
323,Jason Adam,SDP,2,2,0,46,0,46,9.86,3.32,1.03,0.287,73.80%,40.60%,3.64,3.71,0.4
324,Yennier Cano,BAL,3,2,0,52,0,52,8.52,3.33,0.89,0.307,73.50%,51.90%,3.73,3.76,0.4
325,Steven Okert,HOU,3,3,0,64,0,64,10.03,3.47,1.33,0.281,74.60%,31.10%,3.99,4.13,0.4
326,David Robertson,,2,2,0,41,0,41,10.35,3.59,0.97,0.294,74.90%,42.80%,3.53,3.56,0.3
327,Riley O'Brien,STL,3,3,17,63,0,63,9.14,3.84,0.79,0.301,74.20%,50.40%,3.54,3.7,0.3
328,Taylor Rogers,,3,3,0,57,0,57,9.34,3.8,1.07,0.294,74.20%,41.70%,3.86,4.02,0.3
329,Tyler Kinley,,3,3,0,64,0,64,9.57,3.89,1.18,0.287,73.60%,35.20%,4.05,4.12,0.3
330,Justin Wrobleski,LAD,3,3,0,41,3,56.1,8.17,3.1,1.22,0.293,73.70%,44.30%,4.01,4.23,0.3
331,Tommy Nance,TOR,3,3,0,58,0,58,8.28,2.88,0.97,0.303,72.50%,49.00%,3.83,3.79,0.3
332,Brady Basso,ATH,3,3,2,54,0,54,8.3,2.85,1.11,0.295,74.00%,43.10%,3.81,3.95,0.3
333,Danny Coulombe,,2,2,0,48,0,48,8.91,3.3,1.07,0.293,74.30%,41.10%,3.78,3.9,0.3
334,Wade Miley,,3,4,0,10,10,54,6.08,3.09,1.22,0.3,71.10%,45.20%,4.58,4.71,0.3
335,Jovani Morán,BOS,3,2,0,52,0,52,9.53,3.89,0.94,0.301,74.30%,44.80%,3.73,3.77,0.3
336,Ben Joyce,LAA,2,2,4,34,0,34,10.98,4.16,0.9,0.295,75.70%,44.00%,3.42,3.54,0.3
337,Luke Weaver,NYM,3,3,4,67,0,67,9.56,2.84,1.24,0.285,75.30%,35.10%,3.72,3.86,0.3
338,Ryan Pressly,,3,3,0,52,0,52,8.21,3.12,0.99,0.303,72.90%,47.50%,3.88,3.89,0.3
339,John Schreiber,KCR,3,3,1,64,0,64,8.26,3.37,1.05,0.298,72.70%,42.00%,4.03,4.07,0.3
340,Caleb Ferguson,CIN,3,3,1,60,0,60,8.8,3.65,1.03,0.302,73.40%,47.00%,3.94,4.05,0.3
341,Clayton Beeter,WSN,3,3,17,63,0,63,10.05,4.52,1,0.289,74.80%,40.70%,3.78,3.97,0.3
342,Pierce Johnson,,3,3,0,62,0,62,9.79,3.61,1.14,0.293,74.50%,37.90%,3.87,3.92,0.3
343,Quinn Mathews,STL,3,3,0,8,8,46.1,7.69,4.42,1.06,0.293,72.90%,45.20%,4.26,4.56,0.3
344,Duncan Davitt,CHW,4,5,0,28,10,73.1,6.64,2.96,1.44,0.29,71.00%,41.50%,4.69,4.87,0.3
345,Shawn Armstrong,CLE,3,3,3,68,0,68,8.99,2.9,1.14,0.293,73.10%,38.80%,3.89,3.89,0.3
346,Jakob Junis,,3,3,0,66,0,66,8.03,2.38,1.19,0.296,72.30%,40.80%,4.02,3.99,0.3
347,Nick Mears,KCR,3,3,0,60,0,60,9.04,3.49,1.09,0.297,72.80%,38.20%,4.03,3.96,0.3
348,Kirby Yates,,3,3,0,53,0,53,10.45,4.07,1.11,0.289,74.50%,36.70%,3.83,3.89,0.3
349,Josh Winckowski,,2,2,0,35,0,35,7.89,2.72,0.97,0.302,73.30%,49.10%,3.74,3.8,0.3
350,Kohl Drake,ARI,3,3,0,24,6,55,7.97,3.38,1.16,0.297,72.30%,41.20%,4.24,4.29,0.3
351,Brad Keller,PHI,3,3,2,68,0,68,8.06,3.38,1.04,0.301,73.10%,48.60%,3.98,4.1,0.3
352,JoJo Romero,STL,3,3,14,64,0,64,8.55,3.59,0.89,0.298,75.00%,48.00%,3.56,3.84,0.3
353,Coleman Crow,MIL,1,1,0,20,2,27.1,9.2,2.89,1.1,0.294,73.80%,43.00%,3.73,3.76,0.3
354,Dennis Santana,PIT,3,3,26,68,0,68,8.42,3.28,1.05,0.298,72.60%,39.60%,4.02,4,0.3
