#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,ERA,FIP,WAR
393,Ryan Brasier,,3,3,0,54,0,54,8.24,2.75,1.15,0.297,72.70%,,4,3.98,0.2
394,Colin Selby,BAL,3,3,0,58,0,58,9.32,3.77,0.99,0.303,74.00%,,3.82,3.87,0.2
395,Connor Prielipp,MIN,3,3,0,54,2,61,8.67,3.33,1.02,0.301,73.50%,,3.87,3.92,0.2
396,Blade Tidwell,SFG,2,3,0,26,5,48,7.79,3.39,1.23,0.29,71.80%,,4.35,4.44,0.2
397,JR Ritchie,ATL,2,2,0,5,5,28,7.29,3.44,1.2,0.303,70.80%,,4.56,4.54,0.2
398,Caden Dana,LAA,4,7,0,16,16,90,7.59,3.96,1.56,0.292,70.80%,,5.06,5.15,0.2
399,Brooks Raley,NYM,3,3,0,59,0,59,8.74,3.38,1.09,0.289,73.90%,,3.85,4.07,0.2
400,Mason Montgomery,PIT,3,3,2,60,0,60,9.13,3.68,1.07,0.292,73.90%,,3.89,4.01,0.2
401,Greg Weissert,BOS,3,3,1,65,0,65,8.04,3.22,1.17,0.302,71.80%,,4.31,4.23,0.2
402,Bennett Sousa,HOU,3,2,0,50,0,50,9.86,3.28,1.06,0.293,74.80%,,3.6,3.67,0.2
403,Brandon Eisert,CHW,3,3,0,60,0,60,8.49,3.41,1.17,0.292,74.10%,,3.97,4.2,0.2
404,Adbert Alzolay,NYM,3,3,1,62,0,62,8.78,2.97,1.21,0.29,73.60%,,3.93,4.06,0.2
405,Dane Dunning,,1,2,0,5,5,27,6.97,3.26,1.25,0.3,70.70%,,4.6,4.64,0.2
406,Logan Evans,SEA,3,4,0,32,6,62,7.16,3,1.23,0.291,72.20%,,4.26,4.47,0.2
407,Brandon Williamson,CIN,2,3,0,33,3,48,8.25,2.98,1.47,0.295,73.00%,,4.45,4.54,0.2
408,Hoby Milner,CHC,3,3,1,66,0,66,7.58,2.88,1.01,0.3,73.80%,,3.8,3.99,0.2
409,Brenan Hanifee,DET,3,3,0,58,0,58,6.76,2.51,0.91,0.305,71.90%,,3.89,3.9,0.2
410,Coleman Crow,MIL,1,1,0,20,2,27,9.2,2.89,1.1,0.294,73.80%,,3.73,3.76,0.2
411,Nate Pearson,HOU,3,4,0,55,3,70,8.73,3.93,1.32,0.292,72.10%,,4.5,4.55,0.2
412,Gunnar Hoglund,ATH,3,3,0,20,6,51,6.75,2.83,1.48,0.295,70.30%,,4.81,4.84,0.2
413,Ryan Thompson,ARI,3,3,2,62,0,62,7.28,2.96,0.91,0.31,70.90%,,4.1,3.94,0.2
414,Trey Gibson,BAL,1,1,0,3,3,18,7.64,3.39,1.12,0.304,71.50%,,4.32,4.34,0.2
415,Ian Hamilton,ATL,3,2,0,54,0,54,9.4,4.03,0.96,0.302,73.90%,,3.85,3.9,0.2
416,Ryan Yarbrough,NYY,4,4,0,57,5,79,7.11,2.71,1.41,0.286,72.20%,,4.42,4.67,0.2
417,Tanner McDougal,CHW,2,2,0,13,5,36,7.55,4.34,1.26,0.294,71.60%,,4.68,4.88,0.2
418,Jonathan Bowlan,PHI,3,3,0,56,0,56,8.5,2.87,1.16,0.292,73.90%,,3.84,3.99,0.2
419,Tyler Phillips,MIA,3,4,12,68,0,68,6.71,2.82,1.01,0.304,71.60%,,4.12,4.15,0.2
420,Taylor Clarke,,2,2,0,49,0,49,7.72,2.45,1.28,0.294,73.10%,,4.1,4.2,0.2
421,Thomas White,MIA,1,1,0,3,3,18,8.62,4.35,1.1,0.292,73.30%,,4.17,4.4,0.2
422,Mitch Farris,LAA,2,3,0,21,5,43,8.05,3.85,1.34,0.292,73.10%,,4.45,4.68,0.2
423,Eric Lauer,TOR,3,3,0,50,2,57,8.66,2.63,1.4,0.288,74.30%,,4.07,4.21,0.2
424,Joe Jiménez,ATL,2,2,0,47,0,47,10.01,3,1.12,0.295,73.70%,,3.77,3.64,0.2
425,Ryan Fernandez,STL,3,3,1,61,0,61,8.99,3.94,1.02,0.293,73.80%,,3.9,4.03,0.2
426,Joe Rock,TBR,2,3,0,29,3,44,7.07,2.73,1.23,0.3,72.40%,,4.25,4.39,0.2
427,Jaden Hill,COL,3,3,2,58,0,58,8.5,3.52,1.14,0.317,70.30%,,4.58,4.25,0.2
428,Jose Corniell,TEX,2,3,0,31,3,46,8.08,3.15,1.29,0.29,72.30%,,4.29,4.39,0.2
429,Yennier Cano,BAL,3,2,0,52,0,52,8.52,3.33,0.89,0.307,73.50%,,3.73,3.76,0.2
430,Jake Bird,NYY,3,3,0,57,0,57,9.14,3.77,1.02,0.295,74.00%,,3.83,4.01,0.2
431,Chase Petty,CIN,2,3,0,29,3,44,7.13,3.68,1.36,0.298,71.30%,,4.77,4.86,0.2
432,Mason Black,KCR,2,3,0,31,3,46,7.26,3.51,1.27,0.296,70.50%,,4.68,4.67,0.2
433,John King,,2,2,0,44,0,44,6.14,2.8,0.84,0.309,72.40%,,3.9,4.01,0.2
434,Gavin Stone,LAD,1,1,0,18,2,25,8.45,2.71,1.27,0.294,73.40%,,4.01,4.09,0.2
435,Ronel Blanco,HOU,1,1,0,18,2,25,9.64,3.34,1.25,0.291,74.00%,,3.97,4,0.2
436,Bowden Francis,TOR,2,2,0,30,2,37,8.78,2.49,1.42,0.288,73.10%,,4.17,4.22,0.2
437,Mason Englert,TBR,3,3,1,60,0,60,8.13,2.8,1.3,0.297,72.50%,,4.23,4.25,0.2
438,Jorge Alcala,,2,2,0,36,0,36,9.5,3.92,1.26,0.287,73.80%,,4.14,4.26,0.2
439,Liam Hendriks,,1,1,0,24,0,24,9.33,3.35,1.24,0.29,73.40%,,4.08,4.09,0.2
440,Chase Silseth,LAA,3,3,0,57,0,57,8.85,3.69,1.12,0.297,73.30%,,4.04,4.14,0.2
441,Hayden Wesneski,HOU,2,2,0,24,2,31,8.96,2.67,1.29,0.296,73.10%,,4.04,4.02,0.2
442,Erik Sabrowski,CLE,3,3,0,61,0,61,10.34,4.94,1.09,0.287,75.40%,,3.91,4.19,0.1
443,José Ureña,,2,3,0,6,6,35,6.07,3.76,1.33,0.3,69.80%,,5.04,5.1,0.1
444,Tim Mayza,,2,2,0,44,0,44,7.39,3.22,0.96,0.304,72.90%,,3.95,4.06,0.1
445,Wandy Peralta,SDP,3,3,0,60,0,60,8.16,3.74,0.88,0.299,74.60%,,3.67,3.98,0.1
446,José Leclerc,,2,2,0,44,0,44,9.64,3.89,1.21,0.283,73.80%,,4.05,4.16,0.1
447,Emerson Hancock,SEA,3,3,0,45,3,60,7.4,2.66,1.25,0.288,72.50%,,4.13,4.33,0.1
448,Justin Martinez,ARI,2,1,0,34,0,34,11.42,4.6,0.63,0.306,76.40%,,3.09,3.18,0.1
449,Elmer Rodríguez,NYY,1,1,0,16,2,23,8.01,3.51,1,0.296,73.50%,,3.87,4.07,0.1
450,Dom Hamel,TEX,4,4,0,53,5,76,7.7,3.26,1.34,0.291,71.60%,,4.5,4.6,0.1
451,Ryan Gusto,MIA,2,2,0,30,2,37,7.89,2.8,1.26,0.291,72.10%,,4.21,4.26,0.1
452,Austin Peterson,CLE,2,2,0,26,3,41,6.79,2.17,1.39,0.29,71.30%,,4.37,4.47,0.1
453,Henry Baez,ATH,1,1,0,3,3,18,6.19,3.46,1.18,0.302,70.00%,,4.72,4.78,0.1
454,Jack Kochanowicz,LAA,2,3,0,27,3,42,5.99,3.17,1.12,0.306,71.00%,,4.52,4.67,0.1
455,Hogan Harris,ATH,3,3,10,66,0,66,8.66,3.95,1.16,0.294,73.40%,,4.16,4.33,0.1
456,George Klassen,LAA,1,2,0,20,2,27,8.69,3.7,1.16,0.296,73.10%,,4.13,4.23,0.1
457,Tim Herrin,CLE,3,3,0,54,0,54,9.47,4.28,0.93,0.297,74.40%,,3.77,3.96,0.1
