All Third Basemen 2021  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
Young Guns,Jose Ramirez 3B | CLE,36,.355,111,103,27,6
W ,Austin Riley 3B | ATL ,33,.367,91,107,0,23
Runtime Terror,Manny Machado 3B | SD,28,.347,92,106,12,26
W ,"Javier Baez 3B,SS,OF | DET",31,.319,80,87,18,36
Dawg,Max Muncy 3B | LAD ,36,.368,95,94,2,43
Gashouse Gang,"Carlos Correa 3B,SS | HOU",26,.366,104,92,0,45
Simba's Dublin Green Sox,Nolan Arenado 3B | STL,34,.312,81,105,2,48
W ,"Jonathan India 2B,3B,OF | KC ",21,.376,98,69,12,62
W ,Eduardo Escobar 3B | TOR ,28,.314,77,90,1,81
W ,Ryan McMahon 3B | NYY,23,.331,80,86,6,83
Long Balls,"Jazz Chisholm 2B,3B | NYY ",18,.303,70,53,23,98
W ,Amed Rosario 3B | NYY ,11,.321,77,57,13,108
W ,Nicky Lopez 3B | ARI ,2,.365,78,43,22,115
W ,"Isiah Kiner-Falefa 3B,SS | TOR",8,.312,74,53,20,117
W ,Miguel Sano 3B | LAA ,30,.312,68,75,2,118
W ,"Enrique Hernandez 1B,3B,OF | LAD ",20,.337,84,60,1,131
W ,Jeimer Candelario 3B | NYY ,16,.351,75,67,0,134
MAGA DOGE ,Matt Chapman 3B | SF,27,.314,75,72,3,144
Guillotine,Eugenio Suarez 3B | SEA,31,.286,71,79,0,145
W ,Yoan Moncada 3B | LAA,14,.375,74,61,3,158
W ,Josh Harrison 3B | CIN ,8,.341,58,60,9,171
W ,"Miguel Rojas 2B,3B,SS | LAD ",9,.322,66,48,13,174
W ,"Josh Rojas 2B,3B | CHW",11,.341,69,44,9,180
W ,"Jose Iglesias 2B,3B,SS | SD",9,.309,65,48,5,201
Gashouse Gang,Alex Bregman 3B | BOS ,12,.355,54,55,1,218
W ,Gio Urshela 3B | ATH,14,.301,42,49,1,252
W ,Hunter Dozier 3B | LAA,16,.285,55,54,5,256
W ,Evan Longoria 3B | ARI,13,.350,45,46,1,265
W ,Ke'Bryan Hayes 3B | CIN,6,.316,49,38,9,284
W ,Matt Duffy 3B | TEX,5,.357,45,30,8,291
W ,Paul DeJong 3B | WAS,19,.284,44,45,4,299
W ,"Willi Castro 2B,3B,OF | CHC",9,.273,56,38,9,300
Guillotine,Alec Bohm 3B | PHI,7,.305,46,47,4,304
W ,"Ramon Urias 2B,3B | HOU ",7,.361,33,38,1,339
W ,"Edmundo Sosa 2B,3B | PHI",6,.346,39,27,4,349
W ,Kevin Newman 3B | LAA ,5,.265,50,39,6,367
W ,Santiago Espinal 3B | CIN ,2,.376,32,17,6,386
W ,Andy Ibanez 3B | DET ,7,.321,31,25,0,410
W ,Nick Madrigal 3B | NYM ,2,.349,30,21,1,449
W ,Ehire Adrianza 3B | LAA,5,.327,32,28,0,454
W ,Charlie Culberson 3B | ATL,5,.296,23,22,7,465
W ,Jon Berti 3B | CHC,4,.311,35,19,8,470
W ,Anthony Rendon 3B | LAA ,6,.329,24,34,0,472
W ,David Bote 3B | LAD ,8,.276,32,35,0,501
W ,"Zach McKinstry 3B,SS,OF | DET",7,.263,19,29,1,515
W ,"Mauricio Dubon 2B,3B,SS,OF | ATL ",5,.278,20,22,2,529
W ,Sergio Alcantara 3B | ARI,5,.303,30,17,3,559
W ,Jose Rojas 3B | NYY ,6,.277,26,15,2,563
W ,"Miguel Andujar 3B,OF | CIN",6,.284,19,12,0,582
W ,Mike Moustakas 3B | CHW ,6,.282,21,22,0,587
W ,"Luis Rengifo 2B,3B | LAA",6,.246,22,18,1,597
W ,Mike Brosseau 3B | SD ,5,.266,21,18,2,613
W ,Nick Senzel 3B | CHW,1,.323,18,8,2,662
W ,Cole Tucker 3B | LAA,2,.298,15,12,2,674
W ,Danny Mendick 3B | CHW ,2,.303,14,20,0,682
Magnum GI,"Ernie Clement 2B,3B,SS | TOR",3,.285,16,9,0,692
W ,Emmanuel Rivera 3B | BAL ,1,.316,13,5,2,709
W ,"Orlando Arcia 2B,3B,SS | COL",2,.258,9,14,1,723
W ,Jonathan Arauz 3B | LAD ,3,.274,9,8,0,757
Long Balls,Isaac Paredes 3B | HOU ,1,.306,7,5,0,844
W ,Colton Welker 3B | SF ,0,.250,7,2,0,890
W ,Vidal Brujan 3B | ATL ,0,.077,3,2,1,1001
W ,Drew Maggi 3B | PIT,0,.000,0,0,0,1004
W ,Oswald Peraza 3B | LAA,0,.000,0,0,0,1004
W ,Vimael Machin 3B | BAL,0,.200,1,1,0,1080
W ,Gage Workman 3B | DET ,0,.000,0,0,0,9999
W ,Rubel Cespedes 3B | MIN ,0,.000,0,0,0,9999
W ,Esteban Mejia 3B | TEX ,0,.000,0,0,0,9999
W ,Brayden Taylor 3B | TB ,0,.000,0,0,0,9999
W ,Carl Wise 3B | TOR ,0,.000,0,0,0,9999
W ,Bradley Jones 3B | TOR ,0,.000,0,0,0,9999
W ,"Casey Schmitt 2B,3B | SF ",0,.000,0,0,0,9999
W ,Danny De Andrade 3B | MIN ,0,.000,0,0,0,9999
Rieken Havoc,Maikel Garcia 3B | KC ,0,.000,0,0,0,9999
W ,Vinny Capra 3B | CHW ,0,.000,0,0,0,9999
W ,C.J. Retherford 3B | LAD ,0,.000,0,0,0,9999
W ,Jordan Lawlar 3B | ARI,0,.000,0,0,0,9999
W ,Jordan Rodgers 3B | ATL ,0,.000,0,0,0,9999
W ,Chase Jensen 3B | SD ,0,.000,0,0,0,9999
W ,"Nolan Gorman 2B,3B | STL",0,.000,0,0,0,9999
W ,Drew Compton 3B | ATL ,0,.000,0,0,0,9999
W ,Stone Russell 3B | KC ,0,.000,0,0,0,9999
W ,Nick Vilter 3B | SD ,0,.000,0,0,0,9999
W ,Jonah Bride 3B | MIN ,0,.000,0,0,0,9999
W ,Luis Mendez 3B | TEX ,0,.000,0,0,0,9999
W ,Antonio Anderson 3B | BOS ,0,.000,0,0,0,9999
W ,Carlos Franco 3B | ATL ,0,.000,0,0,0,9999
W ,T.J. Bennett 3B | SF ,0,.000,0,0,0,9999
W ,Armando Alvarez 3B | MIN,0,.000,0,0,0,9999
W ,Zach Houchins 3B | LAA ,0,.000,0,0,0,9999
W ,Yorlis Rodriguez 3B | SF ,0,.000,0,0,0,9999
W ,Martin Gonzalez 3B | SEA ,0,.000,0,0,0,9999
W ,Eric Marinez 3B | ATH ,0,.000,0,0,0,9999
W ,Tommy White 3B | ATH ,0,.000,0,0,0,9999
W ,Eric Wood 3B | PIT ,0,.000,0,0,0,9999
W ,Marquez Smith 3B | CIN ,0,.000,0,0,0,9999
W ,Kevin Maitan 3B | MIN ,0,.000,0,0,0,9999
W ,Gino Groover 3B | ARI ,0,.000,0,0,0,9999
W ,Brandon Bednar 3B | COL ,0,.000,0,0,0,9999
W ,Bubba Hollins 3B | MIA ,0,.000,0,0,0,9999
W ,Brian Hernandez 3B | LAA ,0,.000,0,0,0,9999
