All First Basemen 2022  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
W ,Leandro Emiliani 1B | WAS ,0,.000,0,0,0,9999
W ,Randolph Gassaway 1B | PIT ,0,.000,0,0,0,9999
Long Balls,"Tyler Soderstrom 1B,OF | ATH",0,.000,0,0,0,9999
W ,Trever Adams 1B | TEX ,0,.000,0,0,0,9999
W ,Kevin Ereu 1B | MIL ,0,.000,0,0,0,9999
W ,Jonathan Rodriguez 1B | MIA ,0,.000,0,0,0,9999
W ,"Tim Tawa 1B,2B,OF | ARI",0,.000,0,0,0,9999
W ,Lucas Tancas 1B | PIT ,0,.000,0,0,0,9999
W ,Nathan Martorella 1B | MIA ,0,.000,0,0,0,9999
W ,Rainer Nunez 1B | TOR ,0,.000,0,0,0,9999
W ,Charlie Condon 1B | COL ,0,.000,0,0,0,9999
W ,Aaron Sabato 1B | MIN,0,.000,0,0,0,9999
W ,Jantzen Witte 1B | SD ,0,.000,0,0,0,9999
W ,Brandt Stallings 1B | CIN ,0,.000,0,0,0,9999
W ,Jacob Jenkins-Cowart 1B | MIA ,0,.000,0,0,0,9999
W ,Josh Moylan 1B | NYY ,0,.000,0,0,0,9999
W ,"Tim Elko 1B | CHW ",0,.000,0,0,0,9999
W ,Kevin Cornelius 1B | CHC ,0,.000,0,0,0,9999
W ,Brandon Pimentel 1B | WAS ,0,.000,0,0,0,9999
W ,Joe Naranjo 1B | WAS ,0,.000,0,0,0,9999
W ,Joe Vetrano 1B | LAD ,0,.000,0,0,0,9999
W ,Abimelec Ortiz 1B | TEX ,0,.000,0,0,0,9999
W ,Logan Davidson 1B | TB ,0,.000,0,0,0,9999
W ,Robert Perez 1B | SD ,0,.000,0,0,0,9999
W ,Chris Jacobs 1B | STL ,0,.000,0,0,0,9999
W ,Nick Sogard 1B | BOS,0,.000,0,0,0,9999
W ,Enmanuel Valdez 1B | PIT ,0,.000,0,0,0,9999
W ,Alexander Mojica 1B | PIT ,0,.000,0,0,0,9999
W ,Leandro Cedeno 1B | ARI ,0,.000,0,0,0,9999
W ,Will Frizzell 1B | WAS ,0,.000,0,0,0,9999
W ,Tanner Thach 1B | COL ,0,.000,0,0,0,9999
W ,Eric Jagielo 1B | MIA ,0,.000,0,0,0,9999
W ,Will Matthiessen 1B | PIT ,0,.000,0,0,0,9999
W ,Ryan Casteel 1B | ATL ,0,.000,0,0,0,9999
W ,Matt Dean 1B | TOR ,0,.000,0,0,0,9999
W ,"Jake Bauers 1B,OF | MIL ",0,.000,0,0,0,9999
W ,Cole Mathis 1B | CHC ,0,.000,0,0,0,9999
W ,Tyler Black 1B | MIL,0,.000,0,0,0,9999
W ,Damiano Palmegiani 1B | TOR ,0,.000,0,0,0,9999
W ,Art Charles 1B | MIL ,0,.000,0,0,0,9999
W ,Jeremy Vasquez 1B | NYM ,0,.000,0,0,0,9999
W ,Coby Mayo 1B | BAL,0,.000,0,0,0,9999
W ,Carson Taylor 1B | PHI ,0,.000,0,0,0,9999
W ,BJ Murray 1B | CHC ,0,.000,0,0,0,9999
W ,Jackson Coutts 1B | WAS ,0,.000,0,0,0,9999
W ,Pablo Guerrero 1B | TEX ,0,.000,0,0,0,9999
W ,Brock Vradenburg 1B | MIA ,0,.000,0,0,0,9999
W ,Balbino Fuenmayor 1B | ATL ,0,.000,0,0,0,9999
W ,Tyler Alamo 1B | CHC ,0,.000,0,0,0,9999
W ,Pedro Castellanos 1B | SD ,0,.000,0,0,0,9999
W ,PK Morris 1B | TOR ,0,.000,0,0,0,9999
W ,Jordan George 1B | KC ,0,.000,0,0,0,9999
W ,Ivan Melendez 1B | ARI ,0,.000,0,0,0,9999
W ,Dan Black 1B | MIA ,0,.000,0,0,0,9999
W ,Tony Blanco 1B | PIT ,0,.000,0,0,0,9999
Like a Nightmare,Nick Kurtz 1B | ATH ,0,.000,0,0,0,9999
W ,John Rhodes 1B | BAL ,0,.000,0,0,0,9999
W ,Robert Hipwell 1B | SF ,0,.000,0,0,0,9999
W ,Jesus Chirinos 1B | MIL ,0,.000,0,0,0,9999
W ,Troy Sieber 1B | HOU ,0,.000,0,0,0,9999
W ,Engelth Urena 1B | NYY ,0,.000,0,0,0,9999
W ,Damek Tomscha 1B | CHW ,0,.000,0,0,0,9999
W ,Viosergy Rosa 1B | ATH ,0,.000,0,0,0,9999
W ,Chris Harvey 1B | PIT ,0,.000,0,0,0,9999
W ,Kale Fountain 1B | SD ,0,.000,0,0,0,9999
W ,Nelson Maldonado 1B | CHC ,0,.000,0,0,0,9999
W ,Jacob Schrader 1B | ATL ,0,.000,0,0,0,9999
W ,Kacy Clemens 1B | TOR ,0,.000,0,0,0,9999
W ,Spencer Horwitz 1B | PIT,0,.000,0,0,0,9999
W ,Sonny DiChiara 1B | LAA ,0,.000,0,0,0,9999
W ,Cal Towey 1B | LAA ,0,.000,0,0,0,9999
W ,Chris Pieters 1B | CHC ,0,.000,0,0,0,9999
W ,Chris Gittens 1B | HOU ,0,.000,0,0,0,9999
W ,Tristin English 1B | ARI ,0,.000,0,0,0,9999
W ,John Silviano 1B | MIA ,0,.000,0,0,0,9999
W ,Austin Byler 1B | ARI ,0,.000,0,0,0,9999
W ,Ryan Nicholson 1B | LAA ,0,.000,0,0,0,9999
W ,Rafael Flores 1B | PIT,0,.000,0,0,0,9999
W ,Marcus Davis 1B | SD ,0,.000,0,0,0,9999
W ,Cameron Seitzer 1B | TB ,0,.000,0,0,0,9999
W ,Deyvison De Los Santos 1B | MIA ,0,.000,0,0,0,9999
W ,Austin Shenton 1B | SEA ,0,.000,0,0,0,9999
W ,Nicholas Vizcaino 1B | ATL ,0,.000,0,0,0,9999
W ,Carlos Munoz 1B | PIT ,0,.000,0,0,0,9999
W ,Scott Schreiber 1B | HOU ,0,.000,0,0,0,9999
W ,Yasiel Balaguert 1B | CHC ,0,.000,0,0,0,9999
W ,Ewry Espinal 1B | PIT ,0,.000,0,0,0,9999
W ,Nick Longhi 1B | COL ,0,.000,0,0,0,9999
W ,Quinton Low 1B | MIL ,0,.000,0,0,0,9999
W ,Imanol Vargas 1B | PIT ,0,.000,0,0,0,9999
W ,Will Simpson 1B | TB ,0,.000,0,0,0,9999
W ,Roberto Ramos 1B | BOS ,0,.000,0,0,0,9999
W ,Wes Clarke 1B | MIL ,0,.000,0,0,0,9999
W ,Brennan Milone 1B | ATH ,0,.000,0,0,0,9999
W ,Ryan Noda 1B | BAL ,0,.000,0,0,0,9999
W ,Ruben Santana 1B | ARI ,0,.000,0,0,0,9999
W ,Felix Stevens 1B | CHC ,0,.000,0,0,0,9999
W ,Diego Benitez 1B | ATL ,0,.000,0,0,0,9999
W ,Shawn Pleffner 1B | WAS ,0,.000,0,0,0,9999
W ,Will Maddox 1B | SF ,0,.000,0,0,0,9999
W ,JT Schwartz 1B | NYM ,0,.000,0,0,0,9999
W ,Sam Brown 1B | WAS ,0,.000,0,0,0,9999
W ,Cesar Gonzalez 1B | ATH ,0,.000,0,0,0,9999
W ,TJ Rumfield 1B | NYY ,0,.000,0,0,0,9999
W ,Cam Collier 1B | CIN ,0,.000,0,0,0,9999
W ,Ralphy Velazquez 1B | CLE ,0,.000,0,0,0,9999
W ,Jay Beshears 1B | MIA ,0,.000,0,0,0,9999
W ,Japhet Amador 1B | HOU ,0,.000,0,0,0,9999
W ,Jake Adams 1B | HOU ,0,.000,0,0,0,9999
W ,Xavier Casserilla 1B | HOU ,0,.000,0,0,0,9999
W ,Jayce Boyd 1B | NYM ,0,.000,0,0,0,9999
W ,Blaine Crim 1B | COL,0,.000,0,0,0,9999
W ,Keon Barnum 1B | CHW ,0,.000,0,0,0,9999
W ,Kyle Nevin 1B | LAD ,0,.000,0,0,0,9999
W ,Trae Santos 1B | SD ,0,.000,0,0,0,9999
