All Shortstops 2025  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
W ,Kelvin Melean SS | SD ,0,.000,0,0,0,9999
W ,Madison Stokes SS | PHI ,0,.000,0,0,0,9999
W ,Leonardo Balcazar SS | CIN ,0,.000,0,0,0,9999
W ,Riley Mahan SS | SF ,0,.000,0,0,0,9999
W ,Kevin Smith SS | NYY ,0,.000,0,0,0,9999
W ,Nic Kent SS | COL ,0,.000,0,0,0,9999
W ,Ronny Cruz SS | WAS ,0,.000,0,0,0,9999
W ,Gavin Fien SS | TEX ,0,.000,0,0,0,9999
W ,Rayder Ascanio SS | SEA ,0,.000,0,0,0,9999
W ,Hansel Moreno SS | NYM ,0,.000,0,0,0,9999
W ,Jackson Loftin SS | HOU ,0,.000,0,0,0,9999
W ,Blake Wright SS | COL ,0,.000,0,0,0,9999
W ,Mateo Gil SS | NYM ,0,.000,0,0,0,9999
W ,Cole Daily SS | WAS ,0,.000,0,0,0,9999
W ,Jalen Battles SS | TB ,0,.000,0,0,0,9999
W ,Antonio Pinero SS | MIL ,0,.000,0,0,0,9999
W ,Kevin Merrell SS | MIN ,0,.000,0,0,0,9999
W ,Jack Pineda SS | KC ,0,.000,0,0,0,9999
W ,Aaron Blanton SS | MIA ,0,.000,0,0,0,9999
W ,Jefferson Rojas SS | CHC ,0,.000,0,0,0,9999
W ,Jose Fernandez SS | ARI ,0,.000,0,0,0,9999
W ,Jorma Rodriguez SS | CLE ,0,.000,0,0,0,9999
W ,Leosdany Molina SS | HOU ,0,.000,0,0,0,9999
W ,Gregori Cano SS | TOR ,0,.000,0,0,0,9999
W ,Jose Vinicio SS | ARI ,0,.000,0,0,0,9999
W ,Seaver King SS | WAS ,0,.000,0,0,0,9999
W ,Cristian Gomez SS | LAD ,0,.000,0,0,0,9999
W ,Erick Brito SS | PHI ,0,.000,0,0,0,9999
W ,Erik Gonzalez SS | CIN ,0,.000,0,0,0,9999
W ,Dakota Harris SS | STL ,0,.000,0,0,0,9999
W ,Angel Ortega SS | MIL ,0,.000,0,0,0,9999
W ,Deury Carrasco SS | HOU ,0,.000,0,0,0,9999
W ,Max Holy SS | HOU ,0,.000,0,0,0,9999
W ,Gregory Barrios SS | TB ,0,.000,0,0,0,9999
W ,Jack Blomgren SS | COL ,0,.000,0,0,0,9999
W ,Cole Peterson SS | DET ,0,.000,0,0,0,9999
W ,Andres Alvarez SS | PIT ,0,.000,0,0,0,9999
W ,Kevin Villavicencio SS | NYM ,0,.000,0,0,0,9999
W ,Adrian Marin SS | BAL ,0,.000,0,0,0,9999
W ,Anibal Sierra SS | HOU ,0,.000,0,0,0,9999
W ,Juan Ciriaco SS | COL ,0,.000,0,0,0,9999
W ,Jonathan Griffin SS | ARI ,0,.000,0,0,0,9999
W ,Jimmy Glowenke SS | SF ,0,.000,0,0,0,9999
W ,Errol Robinson SS | BAL ,0,.000,0,0,0,9999
W ,Steele Hall SS | CIN ,0,.000,0,0,0,9999
W ,Shane Opitz SS | MIL ,0,.000,0,0,0,9999
W ,Jecksson Flores SS | WAS ,0,.000,0,0,0,9999
W ,Noah Campbell SS | MIL ,0,.000,0,0,0,9999
W ,William Bergolla SS | CHW ,0,.000,0,0,0,9999
W ,Anderson Green SS | CHC ,0,.000,0,0,0,9999
W ,Stephen Alemais SS | PIT ,0,.000,0,0,0,9999
W ,Ben Troike SS | TB ,0,.000,0,0,0,9999
W ,Moises Perez SS | LAD ,0,.000,0,0,0,9999
W ,Leonardo Reginatto SS | MIN ,0,.000,0,0,0,9999
W ,Starlyn Caba SS | MIA ,0,.000,0,0,0,9999
W ,Brady Ebel SS | MIL ,0,.000,0,0,0,9999
W ,Yunesky Sanchez SS | ARI ,0,.000,0,0,0,9999
W ,Kevin Vicuna SS | ARI ,0,.000,0,0,0,9999
W ,Jesse Berardi SS | CLE ,0,.000,0,0,0,9999
W ,Payton Green SS | MIA ,0,.000,0,0,0,9999
W ,Xavier Neyens SS | HOU ,0,.000,0,0,0,9999
W ,Aaron Shackelford SS | PIT ,0,.000,0,0,0,9999
W ,Michael Paez SS | NYM ,0,.000,0,0,0,9999
W ,Osleivis Basabe SS | SF ,0,.000,0,0,0,9999
W ,Keshawn Ogans SS | ATL ,0,.000,0,0,0,9999
W ,Mylz Jones SS | COL ,0,.000,0,0,0,9999
W ,J.C. Correa SS | HOU ,0,.000,0,0,0,9999
W ,Victor Jesus Acosta SS | LAA ,0,.000,0,0,0,9999
W ,Antoni Flores SS | BOS ,0,.000,0,0,0,9999
W ,Dorian Soto SS | BOS ,0,.000,0,0,0,9999
W ,Jax Biggers SS | TEX,0,.000,0,0,0,9999
W ,Yeyson Yrizarri SS | CHW ,0,.000,0,0,0,9999
W ,Elvis Perez SS | CLE ,0,.000,0,0,0,9999
W ,Kervin Pichardo SS | PIT ,0,.000,0,0,0,9999
W ,Jake Yacinich SS | LAA ,0,.000,0,0,0,9999
W ,Welbyn Francisca SS | CLE ,0,.000,0,0,0,9999
W ,Yu Chang SS | TB ,0,.000,0,0,0,9999
W ,Harrison Ray SS | TOR ,0,.000,0,0,0,9999
W ,Angel Aguilar SS | NYY ,0,.000,0,0,0,9999
W ,Gabriel Rodriguez SS | CLE ,0,.000,0,0,0,9999
W ,Michael Russell SS | TB ,0,.000,0,0,0,9999
W ,Chase Valentine SS | SD ,0,.000,0,0,0,9999
W ,Wilmer Reyes SS | NYM ,0,.000,0,0,0,9999
W ,Paul Witt SS | WAS ,0,.000,0,0,0,9999
W ,Joseph Rosa SS | SEA ,0,.000,0,0,0,9999
W ,Shawn Goosenberg SS | CHW ,0,.000,0,0,0,9999
W ,Kyle Marinconz SS | WAS ,0,.000,0,0,0,9999
W ,Gustavo Pierre SS | TOR,0,.000,0,0,0,9999
W ,Yandel Ricardo SS | KC ,0,.000,0,0,0,9999
W ,Ryan Walker SS | MIN ,0,.000,0,0,0,9999
W ,Tre Richardson SS | STL ,0,.000,0,0,0,9999
W ,Maui Ahuna SS | SF ,0,.000,0,0,0,9999
W ,Nelson Ward SS | SD ,0,.000,0,0,0,9999
W ,Kaelen Culpepper SS | MIN ,0,.000,0,0,0,9999
W ,Yeuris Ramirez SS | HOU ,0,.000,0,0,0,9999
W ,Harrison Spohn SS | MIA ,0,.000,0,0,0,9999
W ,Nicholas Shumpert SS | WAS ,0,.000,0,0,0,9999
W ,Justin Lopez SS | SD ,0,.000,0,0,0,9999
W ,Jared Serna SS | MIA ,0,.000,0,0,0,9999
W ,Zack Kone SS | PIT ,0,.000,0,0,0,9999
W ,Morgan McCullough SS | SEA ,0,.000,0,0,0,9999
W ,Garrett Howe SS | CLE ,0,.000,0,0,0,9999
W ,Alberto Hernandez SS | HOU ,0,.000,0,0,0,9999
W ,J.C. Cardenas SS | TOR ,0,.000,0,0,0,9999
W ,Gabriel Rodriguez SS | CLE ,0,.000,0,0,0,9999
W ,Camden Duzenack SS | ARI ,0,.000,0,0,0,9999
W ,John Wimmer SS | LAA ,0,.000,0,0,0,9999
W ,Johan Camargo SS | SF,0,.000,0,0,0,9999
W ,Javier Betancourt SS | MIL ,0,.000,0,0,0,9999
W ,Luis Sanchez SS | ATL ,0,.000,0,0,0,9999
W ,Jefrey De Los Santos SS | NYM ,0,.000,0,0,0,9999
W ,Aeverson Arteaga SS | SF ,0,.000,0,0,0,9999
W ,Casey Martin SS | MIL ,0,.000,0,0,0,9999
W ,Derian Cruz SS | ATL ,0,.000,0,0,0,9999
W ,Justin Bohn SS | MIA ,0,.000,0,0,0,9999
W ,Beyker Pastran SS | MIL ,0,.000,0,0,0,9999
W ,Jose Pastrano SS | CLE ,0,.000,0,0,0,9999
W ,Emilio Guerrero SS | TOR ,0,.000,0,0,0,9999
W ,Fredy Michel SS | MIN ,0,.000,0,0,0,9999
W ,Axel Sanchez SS | SEA ,0,.000,0,0,0,9999
W ,A.J. Simcox SS | DET ,0,.000,0,0,0,9999
W ,Claudio Bautista SS | CLE,0,.000,0,0,0,9999
W ,C.J. Hinojosa SS | TB ,0,.000,0,0,0,9999
W ,Walter Ibarra SS | ARI ,0,.000,0,0,0,9999
W ,Christian Knapczyk SS | CLE ,0,.000,0,0,0,9999
W ,Tommy Sacco SS | HOU ,0,.000,0,0,0,9999
W ,Juan Silverio SS | CIN ,0,.000,0,0,0,9999
W ,Nazzan Zanetello SS | BOS ,0,.000,0,0,0,9999
W ,James Roberts SS | CLE ,0,.000,0,0,0,9999
W ,Edwin Arroyo SS | CIN ,0,.000,0,0,0,9999
W ,Michael De Leon SS | CIN ,0,.000,0,0,0,9999
W ,Nelson Beltran SS | ATH ,0,.000,0,0,0,9999
W ,Tyler Bortnick SS | ARI ,0,.000,0,0,0,9999
W ,Marcos Gonzalez SS | CLE ,0,.000,0,0,0,9999
W ,Sean Miller SS | BAL ,0,.000,0,0,0,9999
W ,Carter Johnson SS | MIA ,0,.000,0,0,0,9999
W ,Quincy McAfee SS | CIN ,0,.000,0,0,0,9999
W ,Nicolas Perez SS | LAD ,0,.000,0,0,0,9999
W ,Angel Cepeda SS | CHC ,0,.000,0,0,0,9999
W ,Brock Rodden SS | SEA ,0,.000,0,0,0,9999
W ,Adam Crampton SS | BAL ,0,.000,0,0,0,9999
W ,Jeremy Eierman SS | ATH ,0,.000,0,0,0,9999
W ,Jadher Areinamo SS | TB ,0,.000,0,0,0,9999
W ,Gabriel Noriega SS | MIL ,0,.000,0,0,0,9999
W ,Randal Diaz SS | WAS ,0,.000,0,0,0,9999
W ,Rafael Cruz SS | MIN ,0,.000,0,0,0,9999
W ,Junior Tilien SS | NYM ,0,.000,0,0,0,9999
W ,Gilbert Lara SS | BAL ,0,.000,0,0,0,9999
W ,Layant Tapia SS | CHW ,0,.000,0,0,0,9999
W ,Grant Massey SS | CHW ,0,.000,0,0,0,9999
W ,Naibel Mariano SS | CIN ,0,.000,0,0,0,9999
W ,Aidan Miller SS | PHI ,0,.000,0,0,0,9999
W ,Luis Gonzalez SS | MIL ,0,.000,0,0,0,9999
W ,Jorge Quintana SS | SD ,0,.000,0,0,0,9999
W ,Sheng-Ping Chen SS | ARI ,0,.000,0,0,0,9999
W ,Yoander Rivero SS | WAS ,0,.000,0,0,0,9999
W ,Cesar Galvez SS | COL ,0,.000,0,0,0,9999
W ,Christian Cairo SS | ATL,0,.000,0,0,0,9999
W ,Jordan Yost SS | DET ,0,.000,0,0,0,9999
W ,Edwin Diaz SS | BOS ,0,.000,0,0,0,9999
W ,Luke Waddell SS | ATL ,0,.000,0,0,0,9999
W ,Fernando Cruz SS | CHC ,0,.000,0,0,0,9999
W ,Joshua Rivera SS | TOR ,0,.000,0,0,0,9999
W ,Jonathan Guzman SS | MIA ,0,.000,0,0,0,9999
W ,Jesus Bastidas SS | HOU ,0,.000,0,0,0,9999
W ,Jose Monzon SS | TB ,0,.000,0,0,0,9999
W ,Damon Dues SS | SF ,0,.000,0,0,0,9999
W ,Mikey White SS | ATH ,0,.000,0,0,0,9999
W ,Cade Doughty SS | TOR ,0,.000,0,0,0,9999
W ,Bryson Brigman SS | LAD ,0,.000,0,0,0,9999
W ,Yairo Padilla SS | STL ,0,.000,0,0,0,9999
W ,Marek Houston SS | MIN ,0,.000,0,0,0,9999
W ,Kyle Watson SS | PIT ,0,.000,0,0,0,9999
W ,Jesus Castillo SS | PIT ,0,.000,0,0,0,9999
W ,Noah Perio SS | SD ,0,.000,0,0,0,9999
W ,Bjay Cooke SS | ATH ,0,.000,0,0,0,9999
W ,Cristian Gonzalez SS | HOU ,0,.000,0,0,0,9999
W ,Jose Martinez SS | MIN ,0,.000,0,0,0,9999
W ,Luis Aviles SS | SD ,0,.000,0,0,0,9999
W ,Wander Javier SS | MIN ,0,.000,0,0,0,9999
W ,Ryan Howard SS | SF ,0,.000,0,0,0,9999
W ,Caleb Bonemer SS | CHW ,0,.000,0,0,0,9999
W ,Manuel Beltre SS | TOR ,0,.000,0,0,0,9999
W ,Jose Guzman SS | LAA ,0,.000,0,0,0,9999
W ,Junior Arias SS | SF ,0,.000,0,0,0,9999
W ,Alejandro Salazar SS | ATL ,0,.000,0,0,0,9999
W ,Maikol Escotto SS | PIT ,0,.000,0,0,0,9999
W ,Gianfranco Wawoe SS | SEA ,0,.000,0,0,0,9999
W ,Benjamin Cowles SS | CHW,0,.000,0,0,0,9999
W ,Jett Williams SS | NYM ,0,.000,0,0,0,9999
W ,Carlos Sanchez SS | CIN ,0,.000,0,0,0,9999
W ,Cristian Toribio SS | TB ,0,.000,0,0,0,9999
W ,Cody Bohanek SS | NYM ,0,.000,0,0,0,9999
W ,Joswa Lugo SS | LAA ,0,.000,0,0,0,9999
W ,Narbe Cruz SS | HOU ,0,.000,0,0,0,9999
W ,Angel Genao SS | CLE ,0,.000,0,0,0,9999
W ,Jack Lines SS | TB ,0,.000,0,0,0,9999
W ,Miguel Hernandez SS | CIN ,0,.000,0,0,0,9999
W ,Miguelangel Sierra SS | HOU ,0,.000,0,0,0,9999
W ,Mack Chambers SS | STL ,0,.000,0,0,0,9999
W ,Jeremy Rivera SS | BOS ,0,.000,0,0,0,9999
W ,Caleb Ketchup SS | LAA ,0,.000,0,0,0,9999
W ,Tanner Murray SS | CHW ,0,.000,0,0,0,9999
W ,Jeter Downs SS | NYY ,0,.000,0,0,0,9999
W ,Diego Goris SS | SD ,0,.000,0,0,0,9999
W ,Jamari Baylor SS | PHI ,0,.000,0,0,0,9999
W ,Mitch Roman SS | CHW ,0,.000,0,0,0,9999
W ,Roderick Arias SS | NYY ,0,.000,0,0,0,9999
W ,Fabian Lopez SS | MIA ,0,.000,0,0,0,9999
W ,Jhonayker Ugarte SS | KC ,0,.000,0,0,0,9999
W ,Chris Owings SS | LAD ,0,.000,0,0,0,9999
W ,Cleuluis Rondon SS | ATL ,0,.000,0,0,0,9999
W ,Cristian Perez SS | NYY ,0,.000,0,0,0,9999
W ,Colby Jones SS | ATL ,0,.000,0,0,0,9999
W ,Marco Luciano SS | PIT ,0,.000,0,0,0,9999
W ,Angel Contreras SS | CLE ,0,.000,0,0,0,9999
W ,Franklin Torres SS | LAA ,0,.000,0,0,0,9999
W ,Dax Kilby SS | NYY ,0,.000,0,0,0,9999
W ,Andy Vasquez SS | PIT ,0,.000,0,0,0,9999
W ,Steven Leyton SS | CIN ,0,.000,0,0,0,9999
W ,Zach Osborne SS | COL ,0,.000,0,0,0,9999
W ,Lizandro Espinoza SS | ATL ,0,.000,0,0,0,9999
W ,Ben Gobbel SS | LAA ,0,.000,0,0,0,9999
W ,Johan Cruz SS | CHW ,0,.000,0,0,0,9999
W ,Jared Sprague-Lott SS | ATH ,0,.000,0,0,0,9999
W ,Sebastian Walcott SS | TEX ,0,.000,0,0,0,9999
W ,Estiven Machado SS | TOR ,0,.000,0,0,0,9999
W ,Lizandro Rodriguez SS | KC ,0,.000,0,0,0,9999
W ,Christian Olivo SS | CHC ,0,.000,0,0,0,9999
W ,Yeison Coca SS | MIL ,0,.000,0,0,0,9999
W ,Cameron Cauley SS | TEX ,0,.000,0,0,0,9999
W ,David Masters SS | CHC ,0,.000,0,0,0,9999
W ,Eli Willits SS | WAS ,0,.000,0,0,0,9999
W ,Blake Allemand SS | MIL ,0,.000,0,0,0,9999
W ,Yhoxian Medina SS | CLE,0,.000,0,0,0,9999
W ,Adrian Valerio SS | PIT ,0,.000,0,0,0,9999
W ,Joshua Day SS | ARI ,0,.000,0,0,0,9999
W ,Yeltsin Gudino SS | TOR ,0,.000,0,0,0,9999
W ,Sahid Valenzuela SS | ATH ,0,.000,0,0,0,9999
W ,Freylin Minyety SS | PHI ,0,.000,0,0,0,9999
W ,Edgardo Fermin SS | NYM ,0,.000,0,0,0,9999
W ,LJ Hatch SS | COL ,0,.000,0,0,0,9999
W ,Emerson Jimenez SS | COL ,0,.000,0,0,0,9999
W ,Agustin Marte SS | MIN ,0,.000,0,0,0,9999
W ,Miguel Eladio SS | CLE ,0,.000,0,0,0,9999
W ,Stephen Wickens SS | MIN ,0,.000,0,0,0,9999
W ,Branden Fryman SS | NYM ,0,.000,0,0,0,9999
W ,Cristian Hernandez SS | CHC ,0,.000,0,0,0,9999
W ,Boston Baro SS | NYM ,0,.000,0,0,0,9999
W ,Garrett Weber SS | ARI ,0,.000,0,0,0,9999
W ,Miguel Villarroel SS | STL ,0,.000,0,0,0,9999
W ,Bennett Hostetler SS | MIA,0,.000,0,0,0,9999
W ,Juan Ciriaco SS | SF ,0,.000,0,0,0,9999
W ,Dane Hutcheon SS | CLE ,0,.000,0,0,0,9999
W ,Alexander Perez SS | MIL ,0,.000,0,0,0,9999
W ,Dylan Neuse SS | MIN ,0,.000,0,0,0,9999
W ,Jeison Guzman SS | KC ,0,.000,0,0,0,9999
W ,Johmbeyker Morales SS | SEA ,0,.000,0,0,0,9999
W ,Cortland Lawson SS | WAS ,0,.000,0,0,0,9999
W ,Brett Roberts SS | MIA ,0,.000,0,0,0,9999
W ,Chase Jaworsky SS | MIA ,0,.000,0,0,0,9999
W ,Jose Sanchez SS | WAS ,0,.000,0,0,0,9999
W ,Jay Harry SS | TOR ,0,.000,0,0,0,9999
W ,Jesus Hernandez SS | MIA ,0,.000,0,0,0,9999
W ,Stephen Perez SS | WAS ,0,.000,0,0,0,9999
W ,Jackson Cluff SS | WAS ,0,.000,0,0,0,9999
W ,Ryan Dobson SS | ARI ,0,.000,0,0,0,9999
W ,Manuel Geraldo SS | SF ,0,.000,0,0,0,9999
W ,Edwin Lora SS | WAS ,0,.000,0,0,0,9999
W ,Alec Sole SS | TB ,0,.000,0,0,0,9999
W ,Wilfredo Lara SS | MIA ,0,.000,0,0,0,9999
W ,Vicente Conde SS | NYY ,0,.000,0,0,0,9999
W ,Jesus Made SS | MIL ,0,.000,0,0,0,9999
W ,Frainyer Chavez SS | TEX ,0,.000,0,0,0,9999
W ,Brandon Macias SS | MIL ,0,.000,0,0,0,9999
Report Updated as of  12/18/25  3:25 PM EST
