All Shortstops 2025  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
W ,Marvin Alcantara SS | BOS ,0,.000,0,0,0,9999
W ,Cody Schrier SS | MIA ,0,.000,0,0,0,9999
W ,Jose Lozada SS | WAS ,0,.000,0,0,0,9999
W ,Delvin Zinn SS | CHC ,0,.000,0,0,0,9999
W ,Chris Diaz SS | MIA ,0,.000,0,0,0,9999
W ,Alejandro Pie SS | TB ,0,.000,0,0,0,9999
W ,Cam Clayton SS | MIA ,0,.000,0,0,0,9999
W ,Jorge Flores SS | TOR ,0,.000,0,0,0,9999
W ,Raudy De Los Santos SS | DET ,0,.000,0,0,0,9999
W ,D'Andre Smith SS | NYM ,0,.000,0,0,0,9999
W ,Hector Nieves SS | HOU ,0,.000,0,0,0,9999
W ,Eduardo Torrealba SS | NYY ,0,.000,0,0,0,9999
W ,Liam Spence SS | CHC ,0,.000,0,0,0,9999
W ,Jordy Barley SS | WAS ,0,.000,0,0,0,9999
W ,Joshua Kuroda-Grauer SS | ATH ,0,.000,0,0,0,9999
W ,Tate Southisene SS | ATL ,0,.000,0,0,0,9999
W ,Beau Philip SS | ATL ,0,.000,0,0,0,9999
W ,Jose Izarra SS | LAD ,0,.000,0,0,0,9999
W ,Peter Mooney SS | MIN ,0,.000,0,0,0,9999
W ,Luis Curbelo SS | CHW ,0,.000,0,0,0,9999
W ,Danny Black SS | MIA ,0,.000,0,0,0,9999
W ,Wehiwa Aloy SS | BAL ,0,.000,0,0,0,9999
W ,Connor Justus SS | LAA ,0,.000,0,0,0,9999
W ,Ethan Paul SS | PIT ,0,.000,0,0,0,9999
W ,David Mershon SS | LAA ,0,.000,0,0,0,9999
W ,Connor Heady SS | LAD ,0,.000,0,0,0,9999
W ,Marten Gasparini SS | KC ,0,.000,0,0,0,9999
W ,AJ Graffanino SS | BAL ,0,.000,0,0,0,9999
W ,Alexander Campos SS | ATH ,0,.000,0,0,0,9999
W ,Marcos Brito SS | ATH ,0,.000,0,0,0,9999
W ,Dixon Machado SS | CHC ,0,.000,0,0,0,9999
W ,Gavin Kilen SS | SF ,0,.000,0,0,0,9999
W ,Cesar Berbesi SS | NYM ,0,.000,0,0,0,9999
W ,Wilfri Peralta SS | CLE ,0,.000,0,0,0,9999
W ,Jeff Kemp SS | BAL ,0,.000,0,0,0,9999
W ,Miguel Pabon SS | CHC ,0,.000,0,0,0,9999
W ,Jakey Josepha SS | ARI ,0,.000,0,0,0,9999
