"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","b_rbi","r_total_caught_stealing","r_total_stolen_base","b_intent_walk","r_run","xba","xslg","xwoba","xobp","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent","sprint_speed"
"Herrera, Odúbel",546318,2022,30,185,197,44,29,9,1,5,42,11,21.3,5.6,".238",".378",".279","0.657","0.140",".281","21","0","6","0","23",".225",".348",".272",".268","86.9","4",24.3,4.9,37.5,"99.933778143","94.012093741",24,52.6,"27.0"
"Williams, Luke",663897,2022,25,127,136,30,23,5,1,1,44,9,32.4,6.6,".236",".315",".287","0.602","0.079",".354","6","4","11","1","21",".198",".272",".233",".251","83.3","16.7",36.1,3.6,22.9,"94.44903675","91.478494625",31,50.7,"28.7"
"India, Jonathan",663697,2022,25,386,431,96,68,16,2,10,94,31,21.8,7.2,".249",".378",".327","0.705","0.129",".305","41","4","3","1","48",".238",".353",".301",".318","85.1","14.5",36,4.8,28.8,"97.40599669","92.71951917",23.6,41.3,"27.7"
"Caratini, Victor",605170,2022,28,272,314,54,33,12,0,9,67,31,21.3,9.9,".199",".342",".300","0.642","0.143",".228","34","0","0","1","26",".233",".350",".309",".332","89.4","6.6",30,6.3,43.5,"100.649286408","94.496842039",20.9,42.3,"24.9"
"Donovan, Brendan",680977,2022,25,391,468,110,83,21,1,5,70,60,15,12.8,".281",".379",".394","0.773","0.098",".330","45","3","2","1","64",".266",".365",".339",".381","87.7","6",32.7,3.4,37.7,"98.14258882","93.299366978",15.6,38.1,"27.2"
"Fortes, Nick",663743,2022,25,217,240,50,34,6,1,9,45,18,18.8,7.5,".230",".392",".304","0.696","0.162",".252","24","3","5","0","41",".246",".394",".317",".319","89.3","15.4",30.2,7,37.8,"99.460571882","93.908283529",22.9,44.7,"27.8"
"Smith, Dominic",642086,2022,27,134,152,26,15,10,1,0,37,12,24.3,7.9,".194",".284",".276","0.560","0.090",".263","17","0","0","0","11",".219",".360",".293",".299","89.6","10.9",28.3,7.1,46.5,"99.660695","94.216232222",26,45.4,"26.3"
"Taylor, Tyrone",621438,2022,28,373,405,87,46,21,3,17,102,22,25.2,5.4,".233",".442",".286","0.728","0.209",".272","51","2","3","0","49",".236",".412",".307",".289","88","16.9",34.7,9.9,37.6,"99.154219632","93.742033346",26.5,50.9,"28.4"
"Rosario, Eddie",592696,2022,30,250,270,53,35,12,1,5,68,17,25.2,6.3,".212",".328",".259","0.587","0.116",".267","24","0","3","0","27",".200",".318",".250",".249","87.7","15.2",32.4,5.4,33,"97.161292527","92.836894341",32.2,53.5,"27.6"
"Haggerty, Sam",664059,2022,28,176,201,45,30,9,1,5,53,18,26.4,9,".256",".403",".335","0.738","0.147",".333","23","1","13","3","29",".230",".330",".285",".313","86","13.6",32.5,4,24.6,"96.38917","92.207266333",28.2,49.3,"28.9"
"Abrams, CJ",682928,2022,21,284,302,70,54,12,2,2,50,5,16.6,1.7,".246",".324",".280","0.604","0.078",".291","21","4","7","0","33",".241",".316",".266",".277","86.5","6.8",28.6,2.1,30.7,"97.184953739","92.612726201",22.6,57,"29.0"
"Torres, Gleyber",650402,2022,25,526,572,135,82,28,1,24,129,39,22.6,6.8,".257",".451",".310","0.761","0.194",".295","76","5","10","2","73",".244",".441",".319",".298","90.4","17.5",36.2,10.7,45.3,"100.5348042","94.660057845",27.2,49.6,"26.9"
"Lux, Gavin",666158,2022,24,421,471,116,83,20,7,6,95,47,20.2,10,".276",".399",".346","0.745","0.123",".341","42","2","7","0","66",".243",".367",".310",".321","88","6.8",34,6.1,39.8,"98.887037439","93.675126098",23.3,42.6,"28.8"
"Villar, David",681584,2022,25,156,181,36,20,6,1,9,58,18,32,9.9,".231",".455",".331","0.786","0.224",".300","24","1","0","0","21",".187",".325",".283",".294","86.8","17.8",33.3,9.1,36.4,"97.5144976","92.850052323",37.2,44.2,"26.7"
"Adams, Riley",656180,2022,26,142,155,25,16,4,0,5,46,12,29.7,7.7,".176",".310",".245","0.555","0.134",".220","10","1","0","0","14",".200",".354",".276",".267","90.2","13.5",25,9.4,45.8,"101.327463958","94.837029368",30.1,45.6,"26.7"
"Hampson, Garrett",641658,2022,27,199,226,42,30,7,3,2,63,21,27.9,9.3,".211",".307",".287","0.594","0.096",".294","15","2","12","0","29",".202",".290",".261",".282","86.5","10.2",29.8,4.3,27.7,"96.783443077","92.495778992",25.4,44.4,"29.4"
"Pham, Tommy",502054,2022,34,554,622,131,90,23,1,17,167,56,26.8,9,".236",".374",".312","0.686","0.138",".304","63","3","8","0","89",".238",".383",".311",".315","92.2","7.7",33.2,7.9,48.5,"102.514437436","95.778101436",26,42,"27.9"
"Isbel, Kyle",664728,2022,25,256,278,54,35,10,4,5,75,16,27,5.8,".211",".340",".264","0.604","0.129",".275","28","6","9","0","32",".220",".323",".266",".273","89.7","10.6",30.4,4.9,44.6,"100.466422667","94.564799889",21.9,46.3,"28.0"
"Raleigh, Cal",663728,2022,25,370,415,78,30,20,1,27,122,38,29.4,9.2,".211",".489",".284","0.773","0.278",".226","63","0","1","0","46",".216",".461",".324",".290","90.9","22.5",36,15.4,43.5,"101.200073622","95.046335375",32.1,52.6,"26.8"
"Pinder, Chad",640461,2022,30,361,379,85,55,18,0,12,118,14,31.1,3.7,".235",".385",".263","0.648","0.150",".313","42","0","2","0","38",".235",".380",".280",".263","87.5","9.7",33.3,6.5,40.7,"100.06829876","94.061727355",34.5,52.9,"25.9"
"Sánchez, Gary",596142,2022,29,419,471,86,46,24,0,16,136,40,28.9,8.5,".205",".377",".282","0.659","0.172",".257","61","0","2","0","42",".220",".439",".321",".298","90.5","14",29.2,13.5,49.3,"103.200555347","96.181078537",30.8,44,"25.2"
"Kelenic, Jarred",672284,2022,22,163,181,23,10,5,1,7,61,16,33.7,8.8,".141",".313",".221","0.534","0.172",".167","17","2","5","0","20",".174",".354",".271",".254","86","18",27.2,13.6,35,"99.0507575","93.58765835",33.3,48.5,"27.3"
"Laureano, Ramón",657656,2022,27,346,383,73,42,18,0,13,104,25,27.2,6.5,".211",".376",".287","0.663","0.165",".262","34","6","11","0","49",".219",".402",".307",".294","88.7","14.9",28.9,11.6,38.4,"100.041538347","94.16358876",30.3,46.4,"27.6"
"Ortega, Rafael",542364,2022,31,316,371,76,54,14,1,7,74,44,19.9,11.9,".241",".358",".331","0.689","0.117",".285","35","7","12","2","35",".241",".346",".307",".334","87.2","17.1",37.6,4.8,33.7,"97.447746423","92.750083049",19.6,45.4,"27.1"
"Correa, Carlos",621043,2022,27,522,590,152,105,24,1,22,121,61,20.5,10.3,".291",".467",".366","0.833","0.176",".339","64","1","0","2","70",".272",".480",".360",".350","89.9","11.6",35.3,11.4,44.7,"101.992873251","95.284200765",22,44.4,"27.1"
"Kwan, Steven",680757,2022,24,563,638,168,130,25,7,6,60,62,9.4,9.7,".298",".400",".373","0.773","0.102",".323","52","5","19","2","89",".268",".341",".312",".348","85.1","11.8",34.6,1.4,20.8,"94.219058287","91.134248486",9,38.1,"28.4"
"Gonzalez, Marwin",503556,2022,33,184,207,34,21,7,0,6,54,14,26.1,6.8,".185",".321",".255","0.576","0.136",".222","18","0","3","0","20",".217",".345",".282",".286","88","19.4",34.1,5.9,37.3,"98.901115758","93.629768931",23.1,50,"26.4"
"Smith, Josh",669701,2022,24,213,253,42,35,5,0,2,50,28,19.8,11.1,".197",".249",".307","0.556","0.052",".244","16","3","4","0","23",".224",".313",".296",".330","87","19.2",34.5,2.4,28.6,"96.124871098","92.093542209",23.4,41.1,"28.2"
"Trammell, Taylor",666211,2022,24,102,117,20,7,9,0,4,33,13,28.2,11.1,".196",".402",".284","0.686","0.206",".242","10","1","2","0","15",".206",".357",".292",".294","88.3","20.5",29.6,9.9,28.2,"97.776181429","92.975271014",33.7,47.7,"26.8"
"Culberson, Charlie",518586,2022,33,115,124,29,21,6,0,2,31,5,25,4,".252",".357",".283","0.640","0.105",".329","12","3","2","0","19",".226",".303",".251",".258","85.3","5.9",28.4,1.1,27.3,"95.647602143","91.889355952",30.5,59,"27.8"
"Peralta, David",444482,2022,34,439,490,110,65,30,3,12,114,41,23.3,8.4,".251",".415",".316","0.731","0.164",".307","59","3","1","5","39",".249",".399",".313",".318","90.3","15.1",35,8.5,44.4,"101.233296566","94.9223429",26.4,50.4,"27.5"
"Miller, Owen",680911,2022,25,424,472,103,70,26,1,6,93,32,19.7,6.8,".243",".351",".301","0.652","0.108",".290","51","0","2","1","53",".246",".341",".291",".307","85.8","10.1",35,3.5,31.2,"97.306117941","92.667096401",18.5,48,"29.0"
"Robert Jr., Luis",673357,2022,24,380,401,108,78,18,0,12,77,17,19.2,4.2,".284",".426",".319","0.745","0.142",".329","56","3","11","1","54",".276",".454",".331",".311","89.3","10",32.6,8.9,42.8,"101.454212895","94.809771678",27.1,61.5,"27.9"
"La Stella, Tommy",600303,2022,33,180,195,43,27,14,0,2,30,11,15.4,5.6,".239",".350",".282","0.632","0.111",".272","14","0","0","0","17",".232",".329",".267",".276","87.9","14.6",37.3,2,32,"97.045650909","92.615035294",16.7,40.7,"24.9"
"Iglesias, Jose",578428,2022,32,439,467,128,95,30,0,3,56,17,12,3.6,".292",".380",".328","0.708","0.088",".326","47","3","2","0","48",".266",".323",".281",".304","83.8","6",30.6,0.5,27.7,"95.592199372","91.820181257",13.2,51.9,"28.4"
"Sheets, Gavin",657757,2022,26,377,410,91,57,19,0,15,86,27,21,6.6,".241",".411",".295","0.706","0.170",".272","53","0","0","0","34",".224",".359",".283",".281","88.6","14.8",32.3,6.5,36.1,"98.93534363","93.559241787",21.9,47.7,"26.6"
"Phillips, Brett",621433,2022,28,201,225,29,18,6,0,5,94,16,41.8,7.1,".144",".249",".217","0.466","0.105",".233","15","0","7","0","22",".156",".244",".220",".230","88.5","22.8",32.1,4.5,29.5,"97.432571887","92.851488396",39.4,44.5,"29.0"
"Contreras, William",661388,2022,24,334,376,93,58,14,1,20,104,39,27.7,10.4,".278",".506",".354","0.860","0.228",".344","45","0","2","1","51",".243",".479",".347",".323","90.4","6.1",31.9,13.4,46.6,"102.334962328","95.58762026",34.3,44.6,"27.0"
"Garlick, Kyle",664247,2022,30,150,162,35,23,3,0,9,48,8,29.6,4.9,".233",".433",".284","0.717","0.200",".277","18","0","0","0","23",".227",".423",".305",".279","90.2","15.1",36.9,9.7,47.6,"101.399865577","95.232580777",35.2,48.7,"26.8"
"Rojas, Josh",668942,2022,28,443,510,119,84,25,1,9,98,55,19.2,10.8,".269",".391",".349","0.740","0.122",".323","56","3","23","2","66",".239",".361",".305",".324","88.8","11.9",33.5,4.5,36.1,"98.050444128","93.265048338",22.3,41,"27.3"
"Stanton, Giancarlo",519317,2022,32,398,452,84,46,7,0,31,137,50,30.3,11.1,".211",".462",".297","0.759","0.251",".227","78","0","0","2","53",".237",".471",".348",".325","95","10.8",26.9,19.3,52.3,"107.816149318","98.594697985",36.5,43.1,"24.5"
"Kirk, Alejandro",672386,2022,23,470,541,134,101,19,0,14,58,63,10.7,11.6,".285",".415",".372","0.787","0.130",".299","63","0","0","2","59",".278",".431",".351",".367","90.5","8.1",32,6.7,45.4,"101.053304663","94.989537614",15.4,41,"24.2"
"Bradley Jr., Jackie",598265,2022,32,344,370,70,42,23,1,4,77,24,20.8,6.5,".203",".311",".255","0.566","0.108",".251","38","3","2","0","30",".223",".330",".268",".273","87.6","7.4",29.4,4.8,37.2,"98.071881353","93.116593208",29.4,49.7,"27.1"
"Tapia, Raimel",606132,2022,28,411,433,109,79,20,3,7,81,16,18.7,3.7,".265",".380",".292","0.672","0.115",".315","52","2","8","0","47",".256",".366",".286",".284","87.6","4",27.5,5.1,38,"99.701438303","93.926071212",21.5,55.4,"28.2"
"Morel, Christopher",666624,2022,23,379,425,89,50,19,4,16,137,38,32.2,8.9,".235",".433",".308","0.741","0.198",".320","47","7","10","0","55",".229",".431",".321",".304","89.6","9.1",30,13.4,40.3,"101.819951356","95.086096314",38.5,50.1,"28.8"
"Turner, Justin",457759,2022,37,468,532,130,81,36,0,13,89,50,16.7,9.4,".278",".438",".350","0.788","0.160",".313","81","0","3","1","61",".267",".427",".339",".343","89.5","18.4",40.6,8,40.6,"99.002545648","93.736858523",20.3,48.2,"25.0"
"Cruz, Nelson",443558,2022,41,448,507,105,79,16,0,10,119,49,23.5,9.7,".234",".337",".313","0.650","0.103",".295","64","0","4","1","50",".241",".399",".320",".323","90.9","7.2",28,9.3,46.1,"102.29838061","95.468978262",32,50.8,"25.5"
"Urías, Luis",649966,2022,25,406,472,97,63,17,1,16,99,50,21,10.6,".239",".404",".335","0.739","0.165",".274","47","2","1","0","54",".238",".398",".326",".335","87.3","18",34.3,8.3,35.3,"97.964867677","93.080449903",22.2,43.2,"26.4"
