All Catchers 2022  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
MAGA DOGE ,J.T. Realmuto C | PHI,22,.342,75,84,21,39
W ,Ben Turner C | SF ,0,.000,0,0,0,9999
W ,Jason Lopez C | NYY ,0,.000,0,0,0,9999
W ,Mitch Trees C | CIN ,0,.000,0,0,0,9999
W ,Brett Cumberland C | SF ,0,.000,0,0,0,9999
W ,Santiago Chavez C | MIA ,0,.000,0,0,0,9999
W ,Collin Price C | HOU ,0,.000,0,0,0,9999
W ,Malcolm Moore C | TEX ,0,.000,0,0,0,9999
W ,Andres Melendez C | CLE ,0,.000,0,0,0,9999
W ,Xorge Carrillo C | TB ,0,.000,0,0,0,9999
W ,Colby Fitch C | PHI ,0,.000,0,0,0,9999
W ,Adrian Sugastey C | SF ,0,.000,0,0,0,9999
W ,Christopher Bec C | TOR ,0,.000,0,0,0,9999
W ,Luis Villegas C | KC ,0,.000,0,0,0,9999
W ,Brandon Martorano C | TEX ,0,.000,0,0,0,9999
W ,Edgar Quero C | CHW,0,.000,0,0,0,9999
W ,Alex Holderbach C | HOU ,0,.000,0,0,0,9999
W ,Carlos Soto C | STL ,0,.000,0,0,0,9999
W ,Jose Duarte C | CIN ,0,.000,0,0,0,9999
W ,Ramon Rodriguez C | MIL ,0,.000,0,0,0,9999
W ,Robert Brooks C | TOR ,0,.000,0,0,0,9999
W ,Gabriel Bracamonte C | HOU ,0,.000,0,0,0,9999
W ,Nick Kahle C | MIL ,0,.000,0,0,0,9999
W ,Garrett Wolforth C | CIN ,0,.000,0,0,0,9999
W ,Tyler Marlette C | ATL ,0,.000,0,0,0,9999
W ,David Martin C | ARI ,0,.000,0,0,0,9999
W ,Arturo Nieto C | SD ,0,.000,0,0,0,9999
W ,Santiago Nessy C | NYY ,0,.000,0,0,0,9999
W ,Cassidy Brown C | CIN ,0,.000,0,0,0,9999
W ,Noah Cardenas C | MIN ,0,.000,0,0,0,9999
W ,Dillon Dingler C | DET,0,.000,0,0,0,9999
W ,Matheu Nelson C | CIN ,0,.000,0,0,0,9999
W ,Freddy Guilamo C | HOU ,0,.000,0,0,0,9999
W ,Ricky Pacione C | CLE ,0,.000,0,0,0,9999
W ,Konner Piotto C | TEX ,0,.000,0,0,0,9999
W ,Philip Clarke C | TOR ,0,.000,0,0,0,9999
W ,Stuart Levy C | BAL ,0,.000,0,0,0,9999
W ,Darrien Miller C | MIL ,0,.000,0,0,0,9999
W ,Alfredo Duno C | CIN ,0,.000,0,0,0,9999
W ,Jeferson Morales C | MIN ,0,.000,0,0,0,9999
W ,Jeff Glenn C | NYM ,0,.000,0,0,0,9999
W ,Jake Lowery C | WAS ,0,.000,0,0,0,9999
W ,Joey Roach C | TB ,0,.000,0,0,0,9999
W ,Enrique Jimenez C | MIN ,0,.000,0,0,0,9999
W ,Hendrik Clementina C | ATL ,0,.000,0,0,0,9999
W ,Andrick Nava C | PHI ,0,.000,0,0,0,9999
W ,Wade Stauss C | STL ,0,.000,0,0,0,9999
W ,Alex Isola C | MIN ,0,.000,0,0,0,9999
W ,Juan Montero C | BOS ,0,.000,0,0,0,9999
W ,Eric Yang C | CIN ,0,.000,0,0,0,9999
W ,Freuddy Batista C | SEA ,0,.000,0,0,0,9999
W ,Austin Rei C | BOS ,0,.000,0,0,0,9999
W ,Garrett Boulware C | CIN ,0,.000,0,0,0,9999
Simba's Dublin Green Sox,Drake Baldwin C | ATL ,0,.000,0,0,0,9999
W ,Maxwell Romero C | WAS ,0,.000,0,0,0,9999
W ,Nathan Perry C | HOU ,0,.000,0,0,0,9999
W ,Carlos Narvaez C | BOS ,0,.000,0,0,0,9999
W ,Matthew Wood C | MIL ,0,.000,0,0,0,9999
W ,Radley Haddad C | NYY ,0,.000,0,0,0,9999
W ,Cody Roberts C | PHI ,0,.000,0,0,0,9999
W ,Kyle Petty C | SEA ,0,.000,0,0,0,9999
W ,Cam Maron C | MIA ,0,.000,0,0,0,9999
W ,Adam Zebrowski C | ATL ,0,.000,0,0,0,9999
W ,Colton Plaia C | NYM ,0,.000,0,0,0,9999
W ,Jair Camargo C | MIN ,0,.000,0,0,0,9999
