All Third Basemen 2022  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
W ,Jordan Edgerton 3B | ATL ,0,.000,0,0,0,9999
W ,Brian Schales 3B | DET ,0,.000,0,0,0,9999
W ,Camilo Diaz 3B | HOU ,0,.000,0,0,0,9999
W ,Tyler Miller 3B | BOS ,0,.000,0,0,0,9999
W ,Jorge Vazquez 3B | NYY ,0,.000,0,0,0,9999
W ,Jacob Reimer 3B | NYM ,0,.000,0,0,0,9999
W ,Mitch Nay 3B | SEA ,0,.000,0,0,0,9999
W ,Austin St. Laurent 3B | SEA ,0,.000,0,0,0,9999
Magnum GI,Matt Shaw 3B | CHC,0,.000,0,0,0,9999
W ,Chris Mariscal 3B | SEA ,0,.000,0,0,0,9999
W ,Connor Panas 3B | SD ,0,.000,0,0,0,9999
W ,Carson DeMartini 3B | PHI ,0,.000,0,0,0,9999
W ,Alay Lago 3B | ATL ,0,.000,0,0,0,9999
W ,John Cresto 3B | COL ,0,.000,0,0,0,9999
W ,Jared Walker 3B | LAD ,0,.000,0,0,0,9999
W ,David McCabe 3B | ATL ,0,.000,0,0,0,9999
W ,Brock Wilken 3B | MIL ,0,.000,0,0,0,9999
W ,Jhoan Urena 3B | LAA ,0,.000,0,0,0,9999
W ,Osvaldo Tovalin 3B | STL ,0,.000,0,0,0,9999
W ,Delvin Perez 3B | STL ,0,.000,0,0,0,9999
Dawg,"Jared Triolo 1B,3B,SS | PIT",0,.000,0,0,0,9999
W ,Bradley Malm 3B | NYM ,0,.000,0,0,0,9999
W ,Dayan Frias 3B | CLE ,0,.000,0,0,0,9999
W ,Kleininger Teran 3B | STL ,0,.000,0,0,0,9999
W ,Brandon Eike 3B | SEA ,0,.000,0,0,0,9999
W ,Dominic Ficociello 3B | DET ,0,.000,0,0,0,9999
Trex,Junior Caminero 3B | TB,0,.000,0,0,0,9999
W ,Luis Caballero 3B | SEA ,0,.000,0,0,0,9999
W ,Marty Herum 3B | ARI ,0,.000,0,0,0,9999
W ,Marcelo Mayer 3B | BOS ,0,.000,0,0,0,9999
W ,Jonah Arenado 3B | SF ,0,.000,0,0,0,9999
W ,Carl Wise 3B | TOR ,0,.000,0,0,0,9999
W ,Bubba Hollins 3B | MIA ,0,.000,0,0,0,9999
W ,Cal Hernandez 3B | SEA ,0,.000,0,0,0,9999
W ,Juniel Querecuto 3B | STL,0,.000,0,0,0,9999
W ,Ulysses Cantu 3B | CLE ,0,.000,0,0,0,9999
W ,Tim Torres 3B | CHC,0,.000,0,0,0,9999
W ,Walker Martin 3B | SF ,0,.000,0,0,0,9999
W ,Francisco Hernandez 3B | STL ,0,.000,0,0,0,9999
W ,Grant Fink 3B | CLE ,0,.000,0,0,0,9999
W ,Bryce Willits 3B | CHW ,0,.000,0,0,0,9999
W ,Antonio Anderson 3B | BOS ,0,.000,0,0,0,9999
W ,Tucker Toman 3B | TOR ,0,.000,0,0,0,9999
W ,Maximo Acosta 3B | MIA,0,.000,0,0,0,9999
W ,"Javier Sanoja 2B,3B,OF | MIA",0,.000,0,0,0,9999
W ,Jean Encarnacion 3B | ATL ,0,.000,0,0,0,9999
W ,Jake Gatewood 3B | LAA ,0,.000,0,0,0,9999
W ,Jairo Perez 3B | MIN ,0,.000,0,0,0,9999
W ,Max Wagner 3B | BAL ,0,.000,0,0,0,9999
W ,Peter Maris 3B | SF ,0,.000,0,0,0,9999
W ,Jan Hernandez 3B | PHI ,0,.000,0,0,0,9999
W ,Devin Mann 3B | KC ,0,.000,0,0,0,9999
W ,Colin Houck 3B | NYM ,0,.000,0,0,0,9999
W ,Kevin Franklin 3B | CIN ,0,.000,0,0,0,9999
W ,Chase Estep 3B | NYM ,0,.000,0,0,0,9999
W ,Adam Walton 3B | ARI ,0,.000,0,0,0,9999
W ,Danny Diaz 3B | BOS ,0,.000,0,0,0,9999
W ,T.J. Schofield-Sam 3B | ATH ,0,.000,0,0,0,9999
W ,Brandon Trinkwon 3B | LAD ,0,.000,0,0,0,9999
W ,Kevin Sim 3B | ARI ,0,.000,0,0,0,9999
W ,Zach Houchins 3B | LAA ,0,.000,0,0,0,9999
W ,Joseph Astacio 3B | TB ,0,.000,0,0,0,9999
W ,Brayden Taylor 3B | TB ,0,.000,0,0,0,9999
W ,Jack Costello 3B | SD ,0,.000,0,0,0,9999
W ,Connor Norby 3B | MIA,0,.000,0,0,0,9999
W ,Mark Minicozzi 3B | WAS ,0,.000,0,0,0,9999
W ,Andrew Bechtold 3B | PHI ,0,.000,0,0,0,9999
W ,Luis Almanzar 3B | SD ,0,.000,0,0,0,9999
W ,Ti'Quan Forbes 3B | CHW ,0,.000,0,0,0,9999
W ,Matt Juengel 3B | MIA ,0,.000,0,0,0,9999
W ,Cristhian Rodriguez 3B | MIA ,0,.000,0,0,0,9999
W ,Cade McGee 3B | STL ,0,.000,0,0,0,9999
W ,Hao Yu Lee 3B | DET ,0,.000,0,0,0,9999
W ,Davis Wendzel 3B | CIN ,0,.000,0,0,0,9999
W ,Jonny Homza 3B | SD ,0,.000,0,0,0,9999
W ,Diego Gonzalez 3B | PHI ,0,.000,0,0,0,9999
W ,Yassel Pino 3B | CIN ,0,.000,0,0,0,9999
W ,Will Wagner 3B | SD,0,.000,0,0,0,9999
W ,Billy Amick 3B | MIN ,0,.000,0,0,0,9999
W ,Tyler Krieger 3B | CLE ,0,.000,0,0,0,9999
W ,Trey Michalczewski 3B | CHW ,0,.000,0,0,0,9999
W ,Eduardo Garcia 3B | MIL ,0,.000,0,0,0,9999
W ,Jacob Gonzalez 3B | PIT ,0,.000,0,0,0,9999
W ,Chris Paul 3B | MIN ,0,.000,0,0,0,9999
W ,"Max Muncy 2B,3B | ATH",0,.000,0,0,0,9999
W ,Shane Hoelscher 3B | COL ,0,.000,0,0,0,9999
W ,Abdiel Layer 3B | SF ,0,.000,0,0,0,9999
W ,Parks Harber 3B | SF ,0,.000,0,0,0,9999
W ,CJ Alexander 3B | LAD ,0,.000,0,0,0,9999
W ,"Daniel Schneemann 2B,3B,OF | CLE",0,.000,0,0,0,9999
W ,Arxy Hernandez 3B | CHW ,0,.000,0,0,0,9999
W ,Reginald Preciado 3B | CHC ,0,.000,0,0,0,9999
W ,Jim Haley 3B | PHI,0,.000,0,0,0,9999
W ,James Nelson 3B | MIA ,0,.000,0,0,0,9999
W ,Zach Shepherd 3B | DET ,0,.000,0,0,0,9999
W ,Duanel Jones 3B | SD ,0,.000,0,0,0,9999
W ,Ryan Costello 3B | MIN ,0,.000,0,0,0,9999
W ,Cole Fontenelle 3B | LAA ,0,.000,0,0,0,9999
W ,Luis Almeyda 3B | BAL ,0,.000,0,0,0,9999
W ,Taylor Sparks 3B | CIN ,0,.000,0,0,0,9999
W ,Daniel Lockhart 3B | ATL ,0,.000,0,0,0,9999
W ,Joe Sclafani 3B | HOU ,0,.000,0,0,0,9999
W ,Max Burt 3B | NYY ,0,.000,0,0,0,9999
W ,Jesus Parra 3B | MIL ,0,.000,0,0,0,9999
W ,Jacob Buchberger 3B | STL ,0,.000,0,0,0,9999
W ,"Brooks Lee 2B,3B,SS | MIN",0,.000,0,0,0,9999
W ,Jose Peroza 3B | NYM ,0,.000,0,0,0,9999
W ,Michel Triana 3B | CIN ,0,.000,0,0,0,9999
W ,Graham Pauley 3B | MIA,0,.000,0,0,0,9999
W ,Malcom Nunez 3B | PIT ,0,.000,0,0,0,9999
W ,Jordan Smith 3B | CLE ,0,.000,0,0,0,9999
W ,Michael Osinski 3B | BOS ,0,.000,0,0,0,9999
W ,Logan Wagner 3B | LAD ,0,.000,0,0,0,9999
W ,Nick Podkul 3B | CHW ,0,.000,0,0,0,9999
W ,Luiyin Alastre 3B | MIL ,0,.000,0,0,0,9999
W ,Javier Osorio 3B | DET ,0,.000,0,0,0,9999
W ,Charlie Szykowny 3B | SF ,0,.000,0,0,0,9999
