All Catchers 2024  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
Gashouse Gang,William Contreras C | MIL ,23,.365,99,92,9,27
W ,Sammy Hernandez C | STL ,0,.000,0,0,0,9999
W ,Michael Strentz C | LAA ,0,.000,0,0,0,9999
W ,Joey Harris C | WAS ,0,.000,0,0,0,9999
W ,Danuerys De La Cruz C | DET ,0,.000,0,0,0,9999
W ,Santiago Chavez C | MIA ,0,.000,0,0,0,9999
W ,Max Stassi C | SF ,0,.000,0,0,0,9999
W ,Jake Lowery C | WAS ,0,.000,0,0,0,9999
W ,Kellin Deglan C | TOR ,0,.000,0,0,0,9999
W ,Alberto Mineo C | CHC ,0,.000,0,0,0,9999
W ,Kyle Hayes C | KC ,0,.000,0,0,0,9999
W ,Colton Plaia C | NYM ,0,.000,0,0,0,9999
W ,Jacob Sharp C | TOR ,0,.000,0,0,0,9999
W ,Marcus Littlewood C | ARI ,0,.000,0,0,0,9999
W ,Omar Martinez C | NYY ,0,.000,0,0,0,9999
W ,C.J. Rodriguez C | ATH ,0,.000,0,0,0,9999
W ,Andres Melendez C | CLE ,0,.000,0,0,0,9999
W ,Spencer Navin C | LAD ,0,.000,0,0,0,9999
W ,Elih Marrero C | BOS ,0,.000,0,0,0,9999
W ,Cooper Uhl C | ATH ,0,.000,0,0,0,9999
W ,Colby Fitch C | PHI ,0,.000,0,0,0,9999
W ,Cole Urman C | BAL ,0,.000,0,0,0,9999
W ,Nick Kahle C | MIL ,0,.000,0,0,0,9999
W ,Tyler Payne C | CHC,0,.000,0,0,0,9999
W ,Kehden Hettiger C | PHI ,0,.000,0,0,0,9999
W ,Erick Torres C | KC ,0,.000,0,0,0,9999
W ,Chandler Seagle C | ATL ,0,.000,0,0,0,9999
W ,Zack Collins C | CLE,0,.000,0,0,0,9999
W ,Matthew Wood C | MIL ,0,.000,0,0,0,9999
W ,Sergio Tapia C | DET ,0,.000,0,0,0,9999
W ,Connor Charping C | SEA ,0,.000,0,0,0,9999
W ,Steve Berman C | TOR ,0,.000,0,0,0,9999
W ,Chris Hudgins C | KC ,0,.000,0,0,0,9999
W ,Stephen McGee C | SD ,0,.000,0,0,0,9999
W ,Casey Schroeder C | CHW ,0,.000,0,0,0,9999
W ,Thayron Liranzo C | DET ,0,.000,0,0,0,9999
W ,Tayden Hall C | MIL ,0,.000,0,0,0,9999
W ,Dario Laverde C | LAA ,0,.000,0,0,0,9999
W ,Ryan Campos C | STL ,0,.000,0,0,0,9999
W ,Austin Allen C | NYM ,0,.000,0,0,0,9999
W ,Iker Franco C | ATL ,0,.000,0,0,0,9999
W ,Angel Lopez Alvarez C | CLE ,0,.000,0,0,0,9999
W ,Roy Morales C | MIN ,0,.000,0,0,0,9999
W ,Caleb Farmer C | WAS ,0,.000,0,0,0,9999
W ,Tim Roberson C | BOS ,0,.000,0,0,0,9999
W ,Oscar Campos C | NYM ,0,.000,0,0,0,9999
W ,Gabriel Bracamonte C | HOU ,0,.000,0,0,0,9999
W ,Anthony Quirion C | PHI ,0,.000,0,0,0,9999
