All Catchers 2024  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
Gashouse Gang,William Contreras C | MIL ,23,.365,99,92,9,27
W ,Wyatt Hendrie C | PIT ,0,.000,0,0,0,9999
W ,Edgleen Perez C | PIT ,0,.000,0,0,0,9999
W ,"Liam Hicks C,1B | MIA",0,.000,0,0,0,9999
W ,Bryan Broecker C | TB ,0,.000,0,0,0,9999
W ,Ethan Anderson C | BAL ,0,.000,0,0,0,9999
W ,Wilson Garcia C | WAS ,0,.000,0,0,0,9999
W ,Arvicent Perez C | DET ,0,.000,0,0,0,9999
W ,J.J. D'Orazio C | ARI ,0,.000,0,0,0,9999
W ,Parker Berberet C | MIL ,0,.000,0,0,0,9999
W ,Tyler Marlette C | ATL ,0,.000,0,0,0,9999
W ,Roberto Alvarez C | TB ,0,.000,0,0,0,9999
W ,Logan Porter C | SF ,0,.000,0,0,0,9999
W ,Israel Pineda C | WAS ,0,.000,0,0,0,9999
W ,Ian Moller C | TEX ,0,.000,0,0,0,9999
W ,Morgan Lofstrom C | CIN ,0,.000,0,0,0,9999
W ,Nathan Perry C | HOU ,0,.000,0,0,0,9999
W ,Arturo De Freitas C | PHI ,0,.000,0,0,0,9999
W ,Will Albertson C | SF ,0,.000,0,0,0,9999
W ,Hendrik Clementina C | ATL ,0,.000,0,0,0,9999
W ,Zach Jackson C | STL ,0,.000,0,0,0,9999
W ,Wes Wilson C | NYY ,0,.000,0,0,0,9999
W ,Mark Thomas C | ARI ,0,.000,0,0,0,9999
W ,Luke Berryhill C | HOU ,0,.000,0,0,0,9999
W ,Allan de San Miguel C | KC ,0,.000,0,0,0,9999
W ,Dylan Shockley C | ATL ,0,.000,0,0,0,9999
W ,Myles Schroder C | SF ,0,.000,0,0,0,9999
W ,Manuel Garcia C | ARI,0,.000,0,0,0,9999
W ,Maverick Handley C | BAL ,0,.000,0,0,0,9999
W ,Anthony Mulrine C | LAA ,0,.000,0,0,0,9999
W ,Darrien Miller C | MIL ,0,.000,0,0,0,9999
W ,Chris Hoo C | MIA ,0,.000,0,0,0,9999
W ,Weston Eberly C | CHW ,0,.000,0,0,0,9999
W ,Carlos Martinez C | ATL ,0,.000,0,0,0,9999
W ,Lucas Herbert C | ARI ,0,.000,0,0,0,9999
W ,Andres Sthormes C | MIA ,0,.000,0,0,0,9999
W ,Matt Kennelly C | ATL ,0,.000,0,0,0,9999
W ,Chris Williams C | NYM ,0,.000,0,0,0,9999
W ,Ike Irish C | BAL ,0,.000,0,0,0,9999
W ,Carlos Linarez C | STL ,0,.000,0,0,0,9999
W ,Drake Osborn C | ARI ,0,.000,0,0,0,9999
W ,Alberto Rios C | LAA ,0,.000,0,0,0,9999
W ,Will Banfield C | CIN ,0,.000,0,0,0,9999
W ,Kevin Rivas C | CLE ,0,.000,0,0,0,9999
W ,Thomas Dillard C | MIL ,0,.000,0,0,0,9999
W ,Cody Roberts C | PHI ,0,.000,0,0,0,9999
W ,Carlos Perez C | CHC ,0,.000,0,0,0,9999
W ,Chris O'Dowd C | ATL ,0,.000,0,0,0,9999
W ,Miguel Del Castillo C | SD ,0,.000,0,0,0,9999
W ,Connor Caskenette C | MIA ,0,.000,0,0,0,9999
W ,Keinner Pina C | LAA ,0,.000,0,0,0,9999
W ,Wilfredo Rodriguez C | CHW ,0,.000,0,0,0,9999
W ,Christian Molfetta C | DET ,0,.000,0,0,0,9999
W ,Samuel Basallo C | BAL,0,.000,0,0,0,9999
W ,Evan Skoug C | CHW ,0,.000,0,0,0,9999
W ,Tres Barrera C | TB ,0,.000,0,0,0,9999
W ,Jeff Arnold C | SF ,0,.000,0,0,0,9999
W ,Sicnarf Loopstok C | CLE ,0,.000,0,0,0,9999
W ,Frank Nigro C | MIN ,0,.000,0,0,0,9999
W ,Nate Nolan C | CHW ,0,.000,0,0,0,9999
W ,Dillon Tatum C | MIN ,0,.000,0,0,0,9999
W ,Julio Meza C | TB ,0,.000,0,0,0,9999
W ,Kevin Parada C | NYM ,0,.000,0,0,0,9999
W ,Hayden Senger C | NYM,0,.000,0,0,0,9999
W ,Kyle Petty C | SEA ,0,.000,0,0,0,9999
W ,Jesus Rodriguez C | SF,0,.000,0,0,0,9999
W ,Michael Papierski C | SEA ,0,.000,0,0,0,9999
W ,Shane Zeile C | DET ,0,.000,0,0,0,9999
W ,Rene Garcia C | MIL ,0,.000,0,0,0,9999
W ,Ethan Salas C | SD ,0,.000,0,0,0,9999
W ,Dan Rizzie C | NYM ,0,.000,0,0,0,9999
W ,Eliezer Zambrano C | SF ,0,.000,0,0,0,9999
W ,Ryan Ignoffo C | MIA ,0,.000,0,0,0,9999
W ,Steve Bean C | STL ,0,.000,0,0,0,9999
W ,Jordan Procyshen C | LAD ,0,.000,0,0,0,9999
W ,Alfredo Duno C | CIN ,0,.000,0,0,0,9999
W ,Dan Rohlfing C | MIN ,0,.000,0,0,0,9999
W ,Mitch Trees C | CIN ,0,.000,0,0,0,9999
W ,Logan Tanner C | CIN ,0,.000,0,0,0,9999
W ,Casey Opitz C | CHC ,0,.000,0,0,0,9999
W ,Austin Rei C | BOS ,0,.000,0,0,0,9999
W ,Cal Stark C | TEX ,0,.000,0,0,0,9999
W ,Brendt Citta C | PIT ,0,.000,0,0,0,9999
W ,Jeyner Baez C | WAS ,0,.000,0,0,0,9999
W ,Jon Rosoff C | DET ,0,.000,0,0,0,9999
W ,Julian Leon C | LAA ,0,.000,0,0,0,9999
W ,Walker Janek C | HOU ,0,.000,0,0,0,9999
W ,Jose Alvarez C | STL ,0,.000,0,0,0,9999
W ,Jonathan Schwind C | PIT ,0,.000,0,0,0,9999
W ,Juan Garcia C | CIN ,0,.000,0,0,0,9999
W ,Josh Caron C | SEA ,0,.000,0,0,0,9999
W ,Ronnie Freeman C | ATH ,0,.000,0,0,0,9999
W ,Nick Dini C | TB ,0,.000,0,0,0,9999
W ,Francisco Arcia C | WAS ,0,.000,0,0,0,9999
W ,Paul McIntosh C | PHI ,0,.000,0,0,0,9999
W ,Joel Diaz C | COL ,0,.000,0,0,0,9999
W ,Ryan Stafford C | BAL ,0,.000,0,0,0,9999
W ,Cam Gallagher C | PHI ,0,.000,0,0,0,9999
W ,Hyungchan Um C | KC ,0,.000,0,0,0,9999
W ,Stuart Levy C | BAL ,0,.000,0,0,0,9999
W ,Taylor Hawkins C | TB ,0,.000,0,0,0,9999
W ,Jack Conley C | PHI ,0,.000,0,0,0,9999
W ,Wade Stauss C | STL ,0,.000,0,0,0,9999
W ,Ronny Hernandez C | CHW ,0,.000,0,0,0,9999
W ,Julio Rodriguez C | DET ,0,.000,0,0,0,9999
W ,Cassidy Brown C | CIN ,0,.000,0,0,0,9999
W ,Caleb Ricketts C | PHI ,0,.000,0,0,0,9999
W ,Dominic Miroglio C | ARI ,0,.000,0,0,0,9999
W ,Braeden Schlehuber C | ATL ,0,.000,0,0,0,9999
W ,Mike Reeves C | TOR ,0,.000,0,0,0,9999
W ,John Garcia C | HOU ,0,.000,0,0,0,9999
W ,Adam Weisenburger C | MIL ,0,.000,0,0,0,9999
W ,Kole Cottam C | BOS ,0,.000,0,0,0,9999
W ,Kyle Overstreet C | SD ,0,.000,0,0,0,9999
W ,Joey Morgan C | DET ,0,.000,0,0,0,9999
W ,Max Pentecost C | TOR ,0,.000,0,0,0,9999
W ,Francisco Diaz C | NYY ,0,.000,0,0,0,9999
W ,Herbert Iser C | PHI ,0,.000,0,0,0,9999
W ,Jacob Cozart C | CLE ,0,.000,0,0,0,9999
W ,Juan Uriarte C | NYM ,0,.000,0,0,0,9999
W ,Ian Rice C | CHC ,0,.000,0,0,0,9999
W ,Andres Sosa C | TOR ,0,.000,0,0,0,9999
W ,Isaias Quiroz C | TEX ,0,.000,0,0,0,9999
W ,Patrick Cantwell C | TOR ,0,.000,0,0,0,9999
W ,Nick Rickles C | PHI ,0,.000,0,0,0,9999
W ,Ricardo Genoves C | TB ,0,.000,0,0,0,9999
W ,Patrick Winkel C | MIN ,0,.000,0,0,0,9999
W ,Will Swanner C | COL ,0,.000,0,0,0,9999
W ,Dom Nunez C | CLE ,0,.000,0,0,0,9999
W ,Micah Gibbs C | LAD ,0,.000,0,0,0,9999
W ,Johanfran Garcia C | BOS ,0,.000,0,0,0,9999
W ,Michael Miller C | SD ,0,.000,0,0,0,9999
W ,Ashley Graeter C | COL ,0,.000,0,0,0,9999
W ,Ivan Luciano C | ARI ,0,.000,0,0,0,9999
W ,Lou Albrecht C | PHI ,0,.000,0,0,0,9999
W ,Calvin Harris C | CHW ,0,.000,0,0,0,9999
W ,John Michael Faile C | CIN ,0,.000,0,0,0,9999
W ,Miguel Palma C | HOU,0,.000,0,0,0,9999
W ,A.J. Murray C | MIN ,0,.000,0,0,0,9999
W ,JJ Schwarz C | ATH ,0,.000,0,0,0,9999
W ,Jose Mujica C | ATH ,0,.000,0,0,0,9999
W ,Irving Wilson C | STL ,0,.000,0,0,0,9999
W ,Trent Woodward C | HOU ,0,.000,0,0,0,9999
W ,Collin Price C | HOU ,0,.000,0,0,0,9999
W ,Caleb Roberts C | ARI ,0,.000,0,0,0,9999
W ,Addison Kopack C | SD ,0,.000,0,0,0,9999
W ,Brett Austin C | SF ,0,.000,0,0,0,9999
W ,Kenny Piper C | TB ,0,.000,0,0,0,9999
W ,Brad Haynal C | MIA ,0,.000,0,0,0,9999
W ,Braxton Fulford C | COL,0,.000,0,0,0,9999
W ,Andrew Cossetti C | MIN ,0,.000,0,0,0,9999
W ,Malcolm Moore C | TEX ,0,.000,0,0,0,9999
W ,Leonardo Bernal C | STL ,0,.000,0,0,0,9999
W ,J.T. Watkins C | BOS ,0,.000,0,0,0,9999
W ,Ryan Hissey C | TOR ,0,.000,0,0,0,9999
W ,Carter Jensen C | KC,0,.000,0,0,0,9999
W ,Juan Apodaca C | TEX ,0,.000,0,0,0,9999
W ,Luke Stevenson C | SEA ,0,.000,0,0,0,9999
W ,Caden Bodine C | BAL ,0,.000,0,0,0,9999
W ,Luis Flores C | HOU ,0,.000,0,0,0,9999
W ,Carlos Ramirez C | LAA ,0,.000,0,0,0,9999
W ,Connor Pavolony C | BAL ,0,.000,0,0,0,9999
W ,Wilfred Astudillo C | NYM ,0,.000,0,0,0,9999
W ,Oscar Gonzalez C | PHI ,0,.000,0,0,0,9999
W ,Ricky Pacione C | CLE ,0,.000,0,0,0,9999
W ,Kody Huff C | CLE ,0,.000,0,0,0,9999
W ,Carlos Perez C | CHW ,0,.000,0,0,0,9999
W ,Jose Duarte C | CIN ,0,.000,0,0,0,9999
W ,Mark Kolozsvary C | BOS ,0,.000,0,0,0,9999
W ,Blake Hunt C | SEA ,0,.000,0,0,0,9999
W ,Nick Meyer C | TB ,0,.000,0,0,0,9999
W ,Geraldi Diaz C | WAS ,0,.000,0,0,0,9999
W ,Hayden Dunhurst C | KC ,0,.000,0,0,0,9999
W ,Nerio Rodriguez C | HOU ,0,.000,0,0,0,9999
W ,Luis Villegas C | KC ,0,.000,0,0,0,9999
W ,Ivan Murzi C | WAS ,0,.000,0,0,0,9999
W ,Blake Anderson C | MIA ,0,.000,0,0,0,9999
W ,Edgar Cabral C | PHI ,0,.000,0,0,0,9999
W ,Dominic Keegan C | TB ,0,.000,0,0,0,9999
W ,Ronald Hernandez C | NYM ,0,.000,0,0,0,9999
W ,Garrett Wolforth C | CIN ,0,.000,0,0,0,9999
W ,Jose Felix C | TEX ,0,.000,0,0,0,9999
W ,Adam Retzbach C | BAL ,0,.000,0,0,0,9999
W ,Jan Vazquez C | COL ,0,.000,0,0,0,9999
W ,Radley Haddad C | NYY ,0,.000,0,0,0,9999
W ,Jeff Howell C | WAS ,0,.000,0,0,0,9999
W ,Joe Donovan C | CLE ,0,.000,0,0,0,9999
W ,Matt Dyer C | TB ,0,.000,0,0,0,9999
W ,Connor Sabanosh C | SF ,0,.000,0,0,0,9999
W ,Sebastian Rivero C | LAA ,0,.000,0,0,0,9999
W ,Christian Cerda C | ARI ,0,.000,0,0,0,9999
W ,Jesus Lopez C | TEX ,0,.000,0,0,0,9999
W ,Onil Perez C | SF ,0,.000,0,0,0,9999
W ,Joey Roach C | TB ,0,.000,0,0,0,9999
W ,Logan Moore C | PHI ,0,.000,0,0,0,9999
W ,Carlos Soto C | STL ,0,.000,0,0,0,9999
W ,Cooper Johnson C | TEX ,0,.000,0,0,0,9999
W ,Daniel Salters C | CLE,0,.000,0,0,0,9999
W ,Alex Lavisky C | CLE ,0,.000,0,0,0,9999
W ,Harrison Wenson C | LAA ,0,.000,0,0,0,9999
W ,Davis Diaz C | ATH ,0,.000,0,0,0,9999
W ,Garret Guillemette C | HOU ,0,.000,0,0,0,9999
W ,Aaron Antonini C | STL ,0,.000,0,0,0,9999
W ,Robie Rojas C | MIL ,0,.000,0,0,0,9999
W ,David Sheaffer C | SEA ,0,.000,0,0,0,9999
W ,Roldani Baldwin C | BOS ,0,.000,0,0,0,9999
W ,Danny Bethea C | BOS ,0,.000,0,0,0,9999
W ,Freddy Guilamo C | HOU ,0,.000,0,0,0,9999
W ,Jeferson Morales C | MIN ,0,.000,0,0,0,9999
W ,Gabriel Lino C | STL ,0,.000,0,0,0,9999
W ,Matt Whatley C | TOR ,0,.000,0,0,0,9999
W ,Tyler Herron C | TB ,0,.000,0,0,0,9999
W ,Jose Godoy C | TEX ,0,.000,0,0,0,9999
W ,Caleb Knight C | CHC ,0,.000,0,0,0,9999
W ,Noah Cardenas C | MIN ,0,.000,0,0,0,9999
W ,Tanner Murphy C | ATL ,0,.000,0,0,0,9999
W ,Sandro Gaston C | HOU ,0,.000,0,0,0,9999
W ,David Lyon C | TEX ,0,.000,0,0,0,9999
W ,Jancel Villarroel C | HOU ,0,.000,0,0,0,9999
W ,Adam Zebrowski C | ATL ,0,.000,0,0,0,9999
W ,Luca Tresh C | KC ,0,.000,0,0,0,9999
Report Updated as of  12/19/25  1:55 PM EST
