All Third Basemen 2023  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
W ,Gage Workman 3B | DET ,0,.000,0,0,0,9999
W ,Rubel Cespedes 3B | MIN ,0,.000,0,0,0,9999
W ,Esteban Mejia 3B | TEX ,0,.000,0,0,0,9999
W ,Brayden Taylor 3B | TB ,0,.000,0,0,0,9999
W ,Carl Wise 3B | TOR ,0,.000,0,0,0,9999
W ,Bradley Jones 3B | TOR ,0,.000,0,0,0,9999
W ,Danny De Andrade 3B | MIN ,0,.000,0,0,0,9999
W ,Miguel Sano 3B | LAA ,0,.000,0,0,0,9999
W ,C.J. Retherford 3B | LAD ,0,.000,0,0,0,9999
W ,Jordan Rodgers 3B | ATL ,0,.000,0,0,0,9999
W ,Chase Jensen 3B | SD ,0,.000,0,0,0,9999
W ,Drew Compton 3B | ATL ,0,.000,0,0,0,9999
W ,Stone Russell 3B | KC ,0,.000,0,0,0,9999
W ,Nick Vilter 3B | SD ,0,.000,0,0,0,9999
W ,Luis Mendez 3B | TEX ,0,.000,0,0,0,9999
W ,Antonio Anderson 3B | BOS ,0,.000,0,0,0,9999
W ,Carlos Franco 3B | ATL ,0,.000,0,0,0,9999
W ,T.J. Bennett 3B | SF ,0,.000,0,0,0,9999
W ,Armando Alvarez 3B | MIN,0,.000,0,0,0,9999
W ,Zach Houchins 3B | LAA ,0,.000,0,0,0,9999
W ,Yorlis Rodriguez 3B | SF ,0,.000,0,0,0,9999
W ,Martin Gonzalez 3B | SEA ,0,.000,0,0,0,9999
W ,Eric Marinez 3B | ATH ,0,.000,0,0,0,9999
W ,Tommy White 3B | ATH ,0,.000,0,0,0,9999
W ,Eric Wood 3B | PIT ,0,.000,0,0,0,9999
W ,Marquez Smith 3B | CIN ,0,.000,0,0,0,9999
W ,Kevin Maitan 3B | MIN ,0,.000,0,0,0,9999
W ,Gino Groover 3B | ARI ,0,.000,0,0,0,9999
W ,Brandon Bednar 3B | COL ,0,.000,0,0,0,9999
W ,Jose Rojas 3B | NYY ,0,.000,0,0,0,9999
W ,Bubba Hollins 3B | MIA ,0,.000,0,0,0,9999
W ,Brian Hernandez 3B | LAA ,0,.000,0,0,0,9999
W ,Nick Zammarelli 3B | SEA ,0,.000,0,0,0,9999
W ,Danny Serretti 3B | DET ,0,.000,0,0,0,9999
