All Second Basemen 2024  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
W ,Thomas Coyle 2B | TB ,0,.000,0,0,0,9999
W ,Eddinson Paulino 2B | TOR ,0,.000,0,0,0,9999
W ,Kevin Josephina 2B | ATL ,0,.000,0,0,0,9999
W ,Austin Gauthier 2B | LAD ,0,.000,0,0,0,9999
W ,Jonathan Piron 2B | COL ,0,.000,0,0,0,9999
W ,Tom Belza 2B | ARI ,0,.000,0,0,0,9999
W ,Luis Santana 2B | HOU ,0,.000,0,0,0,9999
W ,Alex De Goti 2B | TEX ,0,.000,0,0,0,9999
W ,Chandler Pollard 2B | TEX ,0,.000,0,0,0,9999
W ,Raul Rivas 2B | PHI ,0,.000,0,0,0,9999
W ,Danyer Cueva 2B | TEX ,0,.000,0,0,0,9999
W ,Josh Adamczewski 2B | MIL ,0,.000,0,0,0,9999
W ,Heiker Meneses 2B | PHI ,0,.000,0,0,0,9999
W ,Mitch Voit 2B | NYM ,0,.000,0,0,0,9999
W ,Brett Netzer 2B | BOS ,0,.000,0,0,0,9999
W ,Mac Seibert 2B | TB ,0,.000,0,0,0,9999
W ,Rougned Jose Odor 2B | TEX ,0,.000,0,0,0,9999
W ,Cobie Vance 2B | MIA ,0,.000,0,0,0,9999
W ,Alsander Womack 2B | CHW ,0,.000,0,0,0,9999
W ,Diego Velasquez 2B | SF ,0,.000,0,0,0,9999
W ,Deiner Lopez 2B | BOS ,0,.000,0,0,0,9999
W ,Miguel Hiraldo 2B | TOR ,0,.000,0,0,0,9999
W ,"Chase Meidroth 2B,SS | CHW",0,.000,0,0,0,9999
W ,Jose Curpa 2B | ARI ,0,.000,0,0,0,9999
W ,Joe Bennie 2B | ATH ,0,.000,0,0,0,9999
W ,J.T. Arruda 2B | WAS ,0,.000,0,0,0,9999
W ,Jose Fernandez 2B | HOU ,0,.000,0,0,0,9999
W ,Joe Sever 2B | CLE ,0,.000,0,0,0,9999
W ,Raynel Delgado 2B | MIL ,0,.000,0,0,0,9999
W ,Amado Nunez 2B | CHW ,0,.000,0,0,0,9999
W ,Connor Kaiser 2B | ARI ,0,.000,0,0,0,9999
W ,Billy Fleming 2B | MIA ,0,.000,0,0,0,9999
W ,Harold Castro 2B | KC,0,.000,0,0,0,9999
W ,Jake Scheiner 2B | SEA ,0,.000,0,0,0,9999
W ,Jose Rodriguez 2B | PHI ,0,.000,0,0,0,9999
W ,Coco Montes 2B | TB,0,.000,0,0,0,9999
W ,Luigi Rodriguez 2B | SF ,0,.000,0,0,0,9999
