All Outfielders 2023  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
W ,"Mauricio Dubon 2B,3B,SS,OF | ATL ",10,.309,76,46,7,190
W ,Chris Taylor OF | LAA,15,.326,51,56,16,194
Simba's Dublin Green Sox,"Ryan O'Hearn 1B,OF | SD",14,.322,48,60,5,198
W ,Jordan Walker OF | STL ,16,.342,51,51,7,202
W ,Mark Canha OF | KC,11,.355,51,62,11,203
W ,Jorge Mateo OF | BAL ,7,.267,58,34,32,204
W ,"Adam Frazier 2B,OF | KC",13,.300,59,60,11,207
W ,Michael Taylor OF | CHW,21,.278,48,51,13,212
W ,Will Benson OF | CIN,11,.365,51,31,19,215
W ,Adam Duvall OF | ATL,21,.303,45,58,4,218
W ,Andrew Benintendi OF | CHW ,5,.326,72,45,13,220
W ,Randal Grichuk OF | KC ,16,.321,65,44,2,222
W ,MJ Melendez OF | KC ,16,.316,65,56,6,229
W ,"LaMonte Wade 1B,OF | LAA",17,.373,64,45,2,233
W ,Hunter Renfroe OF | KC,20,.297,60,60,0,235
W ,Michael Conforto OF | LAD,15,.334,58,58,4,236
Runtime Terror,Mike Trout OF | LAA ,18,.367,54,44,2,238
W ,Kevin Kiermaier OF | LAD,8,.322,58,36,14,242
Runtime Terror,Taylor Ward OF | BAL ,14,.335,60,47,4,243
Dawg,Riley Greene OF | DET,11,.349,51,37,7,251
W ,Jarred Kelenic OF | ATL,11,.327,44,49,13,252
W ,Matt Vierling OF | DET ,10,.329,63,44,6,255
W ,Mike Tauchman OF | CHW ,8,.362,64,48,7,256
Simba's Dublin Green Sox,Trent Grisham OF | NYY ,13,.315,67,50,15,260
W ,Jason Heyward OF | SD ,15,.340,56,40,2,261
W ,Edward Olivares OF | PIT ,12,.317,47,36,11,268
Like a Nightmare,Brenton Doyle OF | COL,10,.250,48,48,22,269
W ,"Javier Baez 3B,SS,OF | DET",9,.267,58,59,12,271
W ,"Enrique Hernandez 1B,3B,OF | LAD ",11,.289,57,61,4,273
Big Sticks,Mickey Moniak OF | COL,14,.306,35,45,6,275
W ,"Zach McKinstry 3B,SS,OF | DET",9,.302,60,35,16,282
Like a Nightmare,Harrison Bader OF | PHI ,7,.274,44,40,20,284
Trex,Byron Buxton OF | MIN,17,.294,49,42,9,286
W ,Ji-Hwan Bae OF | NYM ,2,.296,54,32,24,288
W ,Jesus Sanchez OF | HOU,14,.327,43,52,3,289
W ,Connor Joe OF | CIN ,11,.339,63,42,3,293
Long Balls,Giancarlo Stanton OF | NYY,24,.275,43,60,0,308
W ,Mike Yastrzemski OF | KC ,15,.330,54,43,2,312
W ,David Peralta OF | SD,7,.294,47,55,4,313
