"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","b_rbi","r_total_caught_stealing","r_total_stolen_base","b_intent_walk","r_run","xba","xslg","xwoba","xobp","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent","sprint_speed"
"Benintendi, Andrew",643217,2021,26,493,538,136,90,27,2,17,97,36,18,6.7,".276",".442",".324","0.766","0.166",".309","73","9","8","0","63",".261",".456",".331",".313","89.6","15.4",38.5,8.9,43.2,"98.80441545","93.810618421",22.5,52.5,"27.6"
"Andujar, Miguel",609280,2021,26,154,162,39,31,2,0,6,28,7,17.3,4.3,".253",".383",".284","0.667","0.130",".273","12","1","0","0","19",".262",".412",".305",".292","87.1","6.1",31.5,5.5,37,"99.424963438","93.763376693",19.4,55.2,"27.5"
"García, Adolis",666969,2021,28,581,622,141,82,26,2,31,194,32,31.2,5.1,".243",".454",".286","0.740","0.211",".306","90","5","16","0","77",".220",".422",".299",".267","91","14.7",29.4,11.5,45.5,"101.116772974","95.023074923",34.2,54.1,"28.4"
"Farmer, Kyle",571657,2021,30,483,529,127,87,22,2,16,97,22,18.3,4.2,".263",".416",".316","0.732","0.153",".296","63","3","2","1","60",".252",".383",".302",".306","87.2","15.8",36,4.3,31.9,"97.545416308","92.888295077",20,49.9,"27.0"
"Castro, Jason",488771,2021,34,149,179,35,20,7,0,8,54,25,30.2,14,".235",".443",".356","0.799","0.208",".310","21","0","0","1","22",".257",".503",".376",".375","90.5","14.5",43.3,14.4,42.3,"100.658358936","94.773261702",34.6,40,"26.6"
"Davis, Jonathan",641505,2021,29,87,103,11,9,1,0,1,26,12,25.2,11.7,".126",".172",".252","0.424","0.046",".164","4","1","4","0","20",".194",".306",".284",".310","85.1","7.7",25.8,6.5,25.8,"95.926254516","91.964092581",25.9,37,"28.6"
"McCutchen, Andrew",457705,2021,34,482,574,107,55,24,1,27,132,81,23,14.1,".222",".444",".334","0.778","0.222",".242","80","1","6","2","78",".235",".426",".340",".348","88.8","14.6",33.6,9,39.5,"99.449259775","93.945349747",25.9,41.7,"28.7"
"Espinal, Santiago",669289,2021,26,222,246,69,53,13,1,2,30,22,12.2,8.9,".311",".405",".376","0.781","0.094",".353","17","1","6","0","32",".267",".346",".307",".336","84.8","13.1",35.8,1.6,22.8,"95.154150313","91.602046649",15.3,47.3,"27.3"
"Kiermaier, Kevin",595281,2021,31,348,390,90,60,19,7,4,99,33,25.4,8.5,".259",".388",".328","0.716","0.129",".345","37","5","9","2","54",".232",".320",".283",".308","86.6","1.1",29.6,4,36.4,"97.950420317","93.031935857",31.6,51.5,"29.2"
"Sosa, Edmundo",624641,2021,25,288,326,78,60,8,4,6,63,17,19.3,5.2,".271",".389",".346","0.735","0.118",".326","27","4","4","2","39",".259",".386",".320",".336","86.7","6",28.9,3.9,32,"97.971031681","93.0175588",27.9,53.6,"29.6"
"Martin, Jason",641829,2021,25,144,154,30,21,3,0,6,41,8,26.6,5.2,".208",".354",".248","0.602","0.146",".245","17","1","3","0","14",".226",".380",".280",".266","87.5","11.4",33.3,7.6,33.3,"98.2363524","93.2213684",29.1,49.7,"27.6"
"Cain, Lorenzo",456715,2021,35,257,286,66,45,13,0,8,48,26,16.8,9.1,".257",".401",".329","0.730","0.144",".287","36","2","13","0","40",".254",".382",".317",".327","88.4","7.2",29,4.3,37.6,"99.209885333","93.717624115",21.9,44.6,"28.7"
"Avila, Alex",488671,2021,34,89,111,17,6,9,1,1,37,19,33.3,17.1,".191",".348",".345","0.693","0.157",".314","9","0","0","1","5",".176",".316",".297",".333","88.6","10.8",39.6,11.3,43.4,"99.356835","93.863630577",39.7,37,"24.2"
"Cameron, Daz",663662,2021,24,103,115,20,11,5,0,4,38,10,33,8.7,".194",".359",".278","0.637","0.165",".262","13","0","6","0","16",".202",".355",".284",".285","88.7","11.9",36.9,7.7,43.1,"100.128515152","94.353856154",30.8,44.5,"28.2"
"Higashioka, Kyle",543309,2021,31,193,211,35,15,10,0,10,59,17,28,8.1,".181",".389",".246","0.635","0.208",".200","29","0","0","0","20",".233",".504",".343",".297","90.5","21.7",37.8,15.6,48.1,"101.231464179","95.165749323",31.3,46.6,"25.4"
"Alberto, Hanser",593643,2021,28,241,255,65,40,20,3,2,26,4,10.2,1.6,".270",".402",".291","0.693","0.132",".293","24","1","3","0","25",".265",".384",".294",".290","87.1","16.1",32.6,4.5,30.3,"97.114657308","92.602038798",16,64.4,"26.8"
"Parra, Gerardo",467827,2021,34,97,107,23,16,5,0,2,30,6,28,5.6,".237",".351",".292","0.643","0.114",".318","10","1","1","0","13",".213",".297",".253",".271","87.5","15.7",36.2,1.4,29,"96.041061176","92.027092647",26.1,49.9,"26.1"
"Castellanos, Nick",592206,2021,29,531,585,164,91,38,1,34,121,41,20.7,7,".309",".576",".362","0.938","0.267",".340","100","1","3","5","95",".293",".535",".374",".350","89.8","14",44,10.6,46.9,"101.478243413","95.160421779",30.7,55,"27.6"
"Refsnyder, Rob",608701,2021,30,139,157,34,25,7,0,2,40,17,25.5,10.8,".245",".338",".325","0.663","0.093",".327","12","0","1","0","21",".258",".434",".336",".337","89.2","9.3",40,7,41,"100.4674838","94.3421936",26.9,40.1,"27.3"
"Mejía, Francisco",642336,2021,25,250,277,65,41,15,3,6,49,17,17.7,6.1,".260",".416",".322","0.738","0.156",".299","35","0","0","0","31",".230",".345",".285",".296","85.7","14.9",34.8,4.4,28.9,"96.732260693","92.387852388",20.5,55.4,"27.0"
"Anderson, Tim",641313,2021,28,527,551,163,115,29,2,17,119,22,21.6,4,".309",".469",".338","0.807","0.160",".372","61","7","18","1","94",".278",".442",".324",".308","89.6","4.3",32.5,7.8,42.3,"100.468994726","94.526930721",25.9,57.8,"28.2"
"Bellinger, Cody",641355,2021,25,315,350,52,31,9,2,10,94,31,26.9,8.9,".165",".302",".240","0.542","0.137",".196","36","1","3","2","39",".209",".358",".281",".281","89.3","22.2",33.5,7.1,34.4,"98.249680721","93.232864369",29.7,51.4,"28.0"
"Varsho, Daulton",662139,2021,24,284,315,70,40,17,2,11,67,30,21.3,9.5,".246",".437",".318","0.755","0.191",".286","38","0","6","3","41",".248",".430",".323",".320","87.7","18",31.7,7.3,39.9,"99.81795981","94.023502143",24.7,51.5,"28.4"
"Rojas, Jose",670351,2021,28,168,184,35,15,14,0,6,50,15,27.2,8.2,".208",".399",".277","0.676","0.191",".259","15","1","2","0","26",".215",".389",".293",".283","90.7","19",32.2,8.5,44.1,"100.319268448","94.687317414",26.7,46,"27.2"
"Solak, Nick",669256,2021,26,458,511,111,80,18,2,11,107,34,20.9,6.7,".242",".362",".314","0.676","0.120",".292","49","5","7","0","57",".238",".361",".299",".310","86.9","7",29.3,6.5,33.5,"98.209109143","93.137323639",24.8,46,"29.0"
"Holt, Brock",571788,2021,33,235,260,49,33,13,1,2,49,23,18.8,8.8,".209",".298",".281","0.579","0.089",".254","23","1","5","0","21",".224",".309",".273",".295","86.1","9.8",31,1.6,24.6,"94.971155106","91.513393743",19.5,42.6,"26.2"
"Mazara, Nomar",608577,2021,26,165,181,35,25,5,2,3,45,15,24.9,8.3,".212",".321",".276","0.597","0.109",".271","19","0","0","0","12",".212",".341",".271",".276","90.4","11.1",33.1,7.4,39.7,"100.256099016","94.618008926",27.4,46.5,"26.4"
"Soler, Jorge",624585,2021,29,516,602,115,61,27,0,27,142,67,23.6,11.1,".223",".432",".316","0.748","0.209",".250","70","0","0","0","74",".250",".494",".359",".341","91.2","15.7",30.9,12.7,47,"103.589178942","96.139729418",29.2,44.8,"26.9"
"Garver, Mitch",641598,2021,30,207,243,53,25,15,0,13,71,31,29.2,12.8,".256",".517",".358","0.875","0.261",".320","34","1","1","0","29",".256",".545",".386",".361","92.3","19",38.4,17.4,53.6,"103.147161304","96.32265529",30,38.8,"25.6"
"Vaughn, Andrew",683734,2021,23,417,469,98,61,22,0,15,101,41,21.5,8.7,".235",".396",".309","0.705","0.161",".271","48","1","1","0","56",".243",".434",".332",".321","91.1","9.7",33.6,10.9,47.3,"101.715651","95.245244169",24.6,45.4,"26.4"
"Lindor, Francisco",596019,2021,27,452,524,104,65,16,3,20,96,58,18.3,11.1,".230",".412",".322","0.734","0.182",".248","63","4","10","4","73",".254",".450",".344",".345","90.7","14.4",35.6,8.2,44.1,"100.654597006","94.782827712",23.2,47.4,"27.8"
"Daza, Yonathan",602074,2021,27,301,331,85,69,12,2,2,60,21,18.1,6.3,".282",".355",".332","0.687","0.073",".346","30","1","2","0","26",".253",".328",".286",".309","85.2","6.6",32.3,2,27,"95.398912083","91.715523292",19.8,50.3,"28.2"
"McKinney, Billy",641856,2021,26,265,300,51,28,11,3,9,79,32,26.3,10.7,".192",".358",".280","0.638","0.166",".235","27","0","2","2","32",".210",".355",".288",".297","88.1","17.6",30.9,6.4,34.6,"98.187748191","93.259317074",23.3,43.2,"27.6"
