All Catchers 2021  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
Trex,"Salvador Perez C,1B | KC ",48,.316,88,121,1,9
W ,Hyungchan Um C | KC ,0,.000,0,0,0,9999
W ,Seth Conner C | TOR ,0,.000,0,0,0,9999
W ,Jeff Glenn C | NYM ,0,.000,0,0,0,9999
W ,Joe DeCarlo C | SEA ,0,.000,0,0,0,9999
W ,Andres Sthormes C | MIA ,0,.000,0,0,0,9999
W ,Michael Tinsley C | CLE ,0,.000,0,0,0,9999
W ,Omar Martinez C | NYY ,0,.000,0,0,0,9999
W ,Eliezer Zambrano C | SF ,0,.000,0,0,0,9999
W ,Myles Emmerson C | LAA ,0,.000,0,0,0,9999
W ,Brent Diaz C | MIL ,0,.000,0,0,0,9999
W ,Nick Rickles C | PHI ,0,.000,0,0,0,9999
W ,JJ Schwarz C | ATH ,0,.000,0,0,0,9999
W ,Chris Hudgins C | KC ,0,.000,0,0,0,9999
W ,Alex Burg C | TEX ,0,.000,0,0,0,9999
W ,Tim Roberson C | BOS ,0,.000,0,0,0,9999
W ,Mitch Ghelfi C | NYM ,0,.000,0,0,0,9999
W ,Mitchell Kranson C | CIN ,0,.000,0,0,0,9999
W ,Bryant Betancourt C | COL ,0,.000,0,0,0,9999
W ,Ariel Armas C | CHC ,0,.000,0,0,0,9999
W ,Roy Morales C | MIN ,0,.000,0,0,0,9999
W ,Zach Jackson C | STL ,0,.000,0,0,0,9999
W ,Vito Friscia C | PHI ,0,.000,0,0,0,9999
W ,Calvin Harris C | CHW ,0,.000,0,0,0,9999
W ,Khadim Diaw C | MIN ,0,.000,0,0,0,9999
W ,Francisco Arcia C | WAS ,0,.000,0,0,0,9999
W ,Brett Austin C | SF ,0,.000,0,0,0,9999
W ,J.J. D'Orazio C | ARI ,0,.000,0,0,0,9999
W ,Sam McMillan C | DET ,0,.000,0,0,0,9999
Big Sticks,Yainer Diaz C | HOU,0,.000,0,0,0,9999
W ,Logan Moore C | PHI ,0,.000,0,0,0,9999
W ,Cael Brockmeyer C | BAL ,0,.000,0,0,0,9999
W ,Gustavo Polanco C | CHC ,0,.000,0,0,0,9999
W ,Christian Cerda C | ARI ,0,.000,0,0,0,9999
W ,Dan Rohlfing C | MIN ,0,.000,0,0,0,9999
W ,Julio Meza C | TB ,0,.000,0,0,0,9999
W ,Michael Barash C | LAA ,0,.000,0,0,0,9999
W ,Martin Cervenka C | BAL ,0,.000,0,0,0,9999
W ,Wade Wass C | LAA ,0,.000,0,0,0,9999
W ,Matheu Nelson C | CIN ,0,.000,0,0,0,9999
W ,Austin Green C | DET ,0,.000,0,0,0,9999
W ,Renae Martinez C | ARI ,0,.000,0,0,0,9999
W ,Scott Manea C | HOU ,0,.000,0,0,0,9999
W ,Julio Rodriguez C | DET ,0,.000,0,0,0,9999
W ,Sicnarf Loopstok C | CLE ,0,.000,0,0,0,9999
Simba's Dublin Green Sox,Drake Baldwin C | ATL ,0,.000,0,0,0,9999
W ,Antonio Gomez C | NYY ,0,.000,0,0,0,9999
W ,Freddy Fermin C | SD,0,.000,0,0,0,9999
W ,Alberto Rios C | LAA ,0,.000,0,0,0,9999
W ,Caleb Ricketts C | PHI ,0,.000,0,0,0,9999
W ,Donny Sands C | DET ,0,.000,0,0,0,9999
W ,Jeremy Lucas C | CLE ,0,.000,0,0,0,9999
W ,Joey Roach C | TB ,0,.000,0,0,0,9999
W ,Cassidy Brown C | CIN ,0,.000,0,0,0,9999
W ,Peter Burns C | LAA ,0,.000,0,0,0,9999
W ,Ty Duvall C | SEA ,0,.000,0,0,0,9999
W ,Will Bush C | HOU ,0,.000,0,0,0,9999
W ,Chris Okey C | LAD ,0,.000,0,0,0,9999
W ,Oscar Campos C | NYM ,0,.000,0,0,0,9999
W ,Arturo De Freitas C | PHI ,0,.000,0,0,0,9999
Guillotine,Hunter Goodman C | COL,0,.000,0,0,0,9999
W ,Austin Bernard C | COL ,0,.000,0,0,0,9999
