All Catchers 2021  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
Trex,"Salvador Perez C,1B | KC ",48,.316,88,121,1,9
W ,Jeff Arnold C | SF ,0,.000,0,0,0,9999
W ,Scott Kapers C | TEX ,0,.000,0,0,0,9999
W ,Brendt Citta C | PIT ,0,.000,0,0,0,9999
W ,Yohendry Sanchez C | SF ,0,.000,0,0,0,9999
W ,Alex Lavisky C | CLE ,0,.000,0,0,0,9999
W ,David Lyon C | TEX ,0,.000,0,0,0,9999
W ,Kehden Hettiger C | PHI ,0,.000,0,0,0,9999
W ,Wilfred Astudillo C | NYM ,0,.000,0,0,0,9999
W ,Jake Anchia C | CLE,0,.000,0,0,0,9999
W ,Josh Rapacz C | TB ,0,.000,0,0,0,9999
W ,J.T. Watkins C | BOS ,0,.000,0,0,0,9999
W ,Matt O'Neill C | NYM ,0,.000,0,0,0,9999
W ,Julian Leon C | LAA ,0,.000,0,0,0,9999
W ,Will Banfield C | CIN ,0,.000,0,0,0,9999
W ,Tyler Ogle C | LAD ,0,.000,0,0,0,9999
W ,Micah Gibbs C | LAD ,0,.000,0,0,0,9999
W ,Joe Donovan C | CLE ,0,.000,0,0,0,9999
W ,Jose Herrera C | ARI ,0,.000,0,0,0,9999
W ,Will Swanner C | COL ,0,.000,0,0,0,9999
W ,Diego Cartaya C | MIN ,0,.000,0,0,0,9999
W ,Ethan Hearn C | CHC ,0,.000,0,0,0,9999
W ,Kellin Deglan C | TOR ,0,.000,0,0,0,9999
W ,Deon Stafford C | PIT ,0,.000,0,0,0,9999
W ,Mark Thomas C | ARI ,0,.000,0,0,0,9999
W ,Josh Breaux C | PHI ,0,.000,0,0,0,9999
W ,Chase Vallot C | KC ,0,.000,0,0,0,9999
W ,Charlie Madden C | BOS ,0,.000,0,0,0,9999
W ,Alex Monsalve C | TOR ,0,.000,0,0,0,9999
W ,Mickey Gasper C | MIN,0,.000,0,0,0,9999
W ,Dillon Tatum C | MIN ,0,.000,0,0,0,9999
W ,Brandon Martorano C | TEX ,0,.000,0,0,0,9999
W ,Vincent Perozo C | NYM ,0,.000,0,0,0,9999
W ,Carlos Narvaez C | BOS ,0,.000,0,0,0,9999
W ,Eric Yang C | CIN ,0,.000,0,0,0,9999
W ,Tanner Murphy C | ATL ,0,.000,0,0,0,9999
W ,Victor Mesia C | TOR,0,.000,0,0,0,9999
W ,William Simoneit C | CHC ,0,.000,0,0,0,9999
W ,Straton Podaras C | LAA ,0,.000,0,0,0,9999
W ,Roberto Alvarez C | TB ,0,.000,0,0,0,9999
W ,Luis Cruz C | STL ,0,.000,0,0,0,9999
W ,Francisco Diaz C | NYY ,0,.000,0,0,0,9999
Like a Nightmare,Austin Wells C | NYY,0,.000,0,0,0,9999
W ,Collin Price C | HOU ,0,.000,0,0,0,9999
W ,Steve Scott C | DET ,0,.000,0,0,0,9999
W ,Carlos Perez C | CHC ,0,.000,0,0,0,9999
W ,Connor Burns C | CIN ,0,.000,0,0,0,9999
W ,Ronnie Freeman C | ATH ,0,.000,0,0,0,9999
W ,Jackson Miller C | CIN ,0,.000,0,0,0,9999
W ,Cal Stark C | TEX ,0,.000,0,0,0,9999
W ,Steve Rodriguez C | ATL ,0,.000,0,0,0,9999
W ,Lou Albrecht C | PHI ,0,.000,0,0,0,9999
W ,Rene Pinto C | TB,0,.000,0,0,0,9999
W ,Blake Mitchell C | KC ,0,.000,0,0,0,9999
W ,Ian Moller C | TEX ,0,.000,0,0,0,9999
W ,Arden Pabst C | ATL ,0,.000,0,0,0,9999
W ,Daniel Vellojin C | CIN ,0,.000,0,0,0,9999
W ,Michael Berglund C | CLE ,0,.000,0,0,0,9999
W ,Ben Hartl C | TEX ,0,.000,0,0,0,9999
W ,Silas Ardoin C | BAL ,0,.000,0,0,0,9999
W ,Rodrigo Vigil C | MIA ,0,.000,0,0,0,9999
W ,Dean Nevarez C | SEA ,0,.000,0,0,0,9999
W ,Nathan Perry C | HOU ,0,.000,0,0,0,9999
W ,Kevin Krause C | PIT ,0,.000,0,0,0,9999
W ,Arturo Rodriguez C | MIA ,0,.000,0,0,0,9999
W ,David Freitas C | LAD ,0,.000,0,0,0,9999
W ,A.J. Murray C | MIN ,0,.000,0,0,0,9999
W ,Tim Remes C | DET ,0,.000,0,0,0,9999
W ,Jimmy Crooks C | STL ,0,.000,0,0,0,9999
W ,Caleb Knight C | CHC ,0,.000,0,0,0,9999
W ,Juan Gomes C | CLE ,0,.000,0,0,0,9999
W ,Dillon Dingler C | DET,0,.000,0,0,0,9999
W ,J.C. Escarra C | NYY,0,.000,0,0,0,9999
W ,Paul McIntosh C | PHI ,0,.000,0,0,0,9999
W ,Ryan Gold C | TOR ,0,.000,0,0,0,9999
W ,Matt Jones C | ARI ,0,.000,0,0,0,9999
W ,Enrique Jimenez C | MIN ,0,.000,0,0,0,9999
W ,Luca Tresh C | KC ,0,.000,0,0,0,9999
W ,Gavin Collins C | STL ,0,.000,0,0,0,9999
Runtime Terror,"Ben Rice C,1B | NYY ",0,.000,0,0,0,9999
W ,Manuel Palencia C | NYY ,0,.000,0,0,0,9999
W ,Robie Rojas C | MIL ,0,.000,0,0,0,9999
W ,Tyler Herron C | TB ,0,.000,0,0,0,9999
W ,Daiverson Gutierrez C | NYM ,0,.000,0,0,0,9999
W ,C.J. Rodriguez C | ATH ,0,.000,0,0,0,9999
W ,Brandon Valenzuela C | TOR ,0,.000,0,0,0,9999
W ,Manuel Garcia C | ARI,0,.000,0,0,0,9999
W ,Carter Trice C | CHC ,0,.000,0,0,0,9999
W ,Ryan Haug C | PIT ,0,.000,0,0,0,9999
W ,Andriel Lantigua C | NYM ,0,.000,0,0,0,9999
W ,Kevin Parada C | NYM ,0,.000,0,0,0,9999
W ,Ronny Hernandez C | CHW ,0,.000,0,0,0,9999
W ,Mac Guscette C | ATL ,0,.000,0,0,0,9999
W ,Adam Weisenburger C | MIL ,0,.000,0,0,0,9999
W ,Nick Meyer C | TB ,0,.000,0,0,0,9999
W ,Ramon Rodriguez C | MIL ,0,.000,0,0,0,9999
W ,Arvicent Perez C | DET ,0,.000,0,0,0,9999
W ,Juan Uriarte C | NYM ,0,.000,0,0,0,9999
W ,Jason Delay C | ATL ,0,.000,0,0,0,9999
W ,Philip Clarke C | TOR ,0,.000,0,0,0,9999
W ,Erick Torres C | KC ,0,.000,0,0,0,9999
W ,Jairo Rosario C | COL ,0,.000,0,0,0,9999
W ,Alfredo Duno C | CIN ,0,.000,0,0,0,9999
W ,Ryan Hissey C | TOR ,0,.000,0,0,0,9999
W ,Casey Opitz C | CHC ,0,.000,0,0,0,9999
W ,Ernesto Liberatore C | CIN ,0,.000,0,0,0,9999
W ,Miguel Jerez C | CLE ,0,.000,0,0,0,9999
W ,Jhon Nunez C | DET ,0,.000,0,0,0,9999
W ,Jake Hirabayashi C | MIN ,0,.000,0,0,0,9999
W ,Michael Rivera C | CLE ,0,.000,0,0,0,9999
W ,Michael Cantu C | SD ,0,.000,0,0,0,9999
W ,Omar Alfonzo C | PIT ,0,.000,0,0,0,9999
W ,Jake Lowery C | WAS ,0,.000,0,0,0,9999
W ,Xavier Fernandez C | CHW ,0,.000,0,0,0,9999
W ,John Michael Faile C | CIN ,0,.000,0,0,0,9999
W ,Joe Hudson C | HOU ,0,.000,0,0,0,9999
W ,Ricardo Genoves C | TB ,0,.000,0,0,0,9999
W ,Juan Montero C | BOS ,0,.000,0,0,0,9999
W ,Matt Scheffler C | SEA ,0,.000,0,0,0,9999
W ,Mike Rothenberg C | DET ,0,.000,0,0,0,9999
W ,Anthony Mulrine C | LAA ,0,.000,0,0,0,9999
W ,Beycker Barroso C | TEX ,0,.000,0,0,0,9999
W ,John Garcia C | HOU ,0,.000,0,0,0,9999
W ,Alex Swim C | MIN ,0,.000,0,0,0,9999
W ,Garret Guillemette C | HOU ,0,.000,0,0,0,9999
W ,Ty Ross C | SF ,0,.000,0,0,0,9999
W ,Reynaldo Rodriguez C | MIN ,0,.000,0,0,0,9999
W ,Sal Giardina C | ATL ,0,.000,0,0,0,9999
W ,Chuckie Robinson C | LAD ,0,.000,0,0,0,9999
W ,Ricardo Valenzuela C | SD ,0,.000,0,0,0,9999
Young Guns,Agustin Ramirez C | MIA,0,.000,0,0,0,9999
W ,Kyle Overstreet C | SD ,0,.000,0,0,0,9999
W ,Jake Romanski C | BOS ,0,.000,0,0,0,9999
W ,Shane Zeile C | DET ,0,.000,0,0,0,9999
W ,Ricky Pacione C | CLE ,0,.000,0,0,0,9999
W ,Wyatt Hendrie C | PIT ,0,.000,0,0,0,9999
W ,AJ Lewis C | COL ,0,.000,0,0,0,9999
W ,Wes Wilson C | NYY ,0,.000,0,0,0,9999
W ,Anthony Vilar C | SD ,0,.000,0,0,0,9999
W ,Francisco Alvarez C | NYM ,0,.000,0,0,0,9999
W ,Joe Mack C | MIA ,0,.000,0,0,0,9999
W ,Brady Lindsly C | WAS ,0,.000,0,0,0,9999
W ,Cameron Barstad C | MIA,0,.000,0,0,0,9999
W ,Jin-De Jhang C | SF ,0,.000,0,0,0,9999
W ,Keinner Pina C | LAA ,0,.000,0,0,0,9999
W ,Ben Turner C | SF ,0,.000,0,0,0,9999
W ,Brendan Durfee C | SD ,0,.000,0,0,0,9999
W ,Zane Evans C | KC ,0,.000,0,0,0,9999
W ,Max George C | COL ,0,.000,0,0,0,9999
W ,Pedro Pages C | STL ,0,.000,0,0,0,9999
W ,Jose Felix C | TEX ,0,.000,0,0,0,9999
W ,Sammy Hernandez C | STL ,0,.000,0,0,0,9999
W ,Matthew Wood C | MIL ,0,.000,0,0,0,9999
W ,Andres Angulo C | SF ,0,.000,0,0,0,9999
W ,Will Albertson C | SF ,0,.000,0,0,0,9999
W ,Aaron McKeithan C | PIT ,0,.000,0,0,0,9999
W ,Parker Berberet C | MIL ,0,.000,0,0,0,9999
W ,Daniel Torres C | SEA ,0,.000,0,0,0,9999
W ,Brooks Brannon C | BOS ,0,.000,0,0,0,9999
W ,Kyle Schmidt C | MIN ,0,.000,0,0,0,9999
W ,Jeferson Morales C | MIN ,0,.000,0,0,0,9999
W ,Michael Turner C | CHW ,0,.000,0,0,0,9999
W ,Tyler Tolve C | ATL ,0,.000,0,0,0,9999
W ,Xorge Carrillo C | TB ,0,.000,0,0,0,9999
W ,Carlos Perez C | CHW ,0,.000,0,0,0,9999
W ,Logan Tanner C | CIN ,0,.000,0,0,0,9999
W ,Josh Crouch C | DET ,0,.000,0,0,0,9999
W ,Joel Diaz C | COL ,0,.000,0,0,0,9999
W ,Nate Nolan C | CHW ,0,.000,0,0,0,9999
W ,Brandon Brosher C | NYM ,0,.000,0,0,0,9999
W ,Brian Navarreto C | MIA ,0,.000,0,0,0,9999
W ,Austin Bossart C | NYM ,0,.000,0,0,0,9999
W ,Connor Caskenette C | MIA ,0,.000,0,0,0,9999
W ,Alex Dunlap C | WAS ,0,.000,0,0,0,9999
W ,Ryan Miller C | SD ,0,.000,0,0,0,9999
W ,Cody Roberts C | PHI ,0,.000,0,0,0,9999
W ,Edgar Cabral C | PHI ,0,.000,0,0,0,9999
W ,Logan Driscoll C | TB ,0,.000,0,0,0,9999
W ,Chris O'Brien C | BAL ,0,.000,0,0,0,9999
W ,Patrick Cantwell C | TOR ,0,.000,0,0,0,9999
W ,Bryan Lavastida C | HOU ,0,.000,0,0,0,9999
W ,Harrison Wenson C | LAA ,0,.000,0,0,0,9999
W ,Danny Bethea C | BOS ,0,.000,0,0,0,9999
W ,Carlos Soto C | STL ,0,.000,0,0,0,9999
W ,Santiago Chavez C | MIA ,0,.000,0,0,0,9999
W ,Walker Janek C | HOU ,0,.000,0,0,0,9999
W ,Chad Johnson C | KC ,0,.000,0,0,0,9999
W ,Eduardo Tait C | MIN ,0,.000,0,0,0,9999
W ,Jorge Saez C | NYY ,0,.000,0,0,0,9999
W ,Ryan January C | ARI ,0,.000,0,0,0,9999
W ,Jhonny Pereda C | MIN,0,.000,0,0,0,9999
W ,Hunter Feduccia C | TB,0,.000,0,0,0,9999
W ,Hendrik Clementina C | ATL ,0,.000,0,0,0,9999
W ,Christian Bethancourt C | TOR ,0,.000,0,0,0,9999
W ,Wilfredo Rodriguez C | CHW ,0,.000,0,0,0,9999
W ,Carlos Ramirez C | LAA ,0,.000,0,0,0,9999
W ,Drew Millas C | WAS ,0,.000,0,0,0,9999
W ,Matt Whatley C | TOR ,0,.000,0,0,0,9999
W ,Steve Bean C | STL ,0,.000,0,0,0,9999
W ,Aaron Antonini C | STL ,0,.000,0,0,0,9999
W ,Connor Charping C | SEA ,0,.000,0,0,0,9999
W ,Jake DePew C | BOS ,0,.000,0,0,0,9999
W ,Tyler Heineman C | TOR,0,.000,0,0,0,9999
W ,Cole Urman C | BAL ,0,.000,0,0,0,9999
W ,Weston Eberly C | CHW ,0,.000,0,0,0,9999
W ,Nick Dini C | TB ,0,.000,0,0,0,9999
W ,Davis Diaz C | ATH ,0,.000,0,0,0,9999
W ,Spencer Navin C | LAD ,0,.000,0,0,0,9999
W ,Colton Plaia C | NYM ,0,.000,0,0,0,9999
W ,Joe Jackson C | TEX ,0,.000,0,0,0,9999
W ,Rob Emery C | SF ,0,.000,0,0,0,9999
W ,Logan Ice C | CLE ,0,.000,0,0,0,9999
W ,Juan Kelly C | TOR ,0,.000,0,0,0,9999
W ,Jose Duarte C | CIN ,0,.000,0,0,0,9999
W ,Luis Villegas C | KC ,0,.000,0,0,0,9999
W ,Onix Vega C | NYM ,0,.000,0,0,0,9999
W ,Nick Kahle C | MIL ,0,.000,0,0,0,9999
W ,Max McDowell C | TOR ,0,.000,0,0,0,9999
W ,Kevin Bazzell C | WAS ,0,.000,0,0,0,9999
W ,Dylan Shockley C | ATL ,0,.000,0,0,0,9999
W ,Sandro Gaston C | HOU ,0,.000,0,0,0,9999
W ,Steve Berman C | TOR ,0,.000,0,0,0,9999
W ,Matt Kennelly C | ATL ,0,.000,0,0,0,9999
W ,Miguel Del Castillo C | SD ,0,.000,0,0,0,9999
W ,Derrick Chung C | TOR ,0,.000,0,0,0,9999
W ,Patrick Winkel C | MIN ,0,.000,0,0,0,9999
W ,Ike Irish C | BAL ,0,.000,0,0,0,9999
W ,Geraldi Diaz C | WAS ,0,.000,0,0,0,9999
W ,Mitch Trees C | CIN ,0,.000,0,0,0,9999
W ,Alex Isola C | MIN ,0,.000,0,0,0,9999
Report Updated as of  12/19/25  2:08 PM EST
