All First Basemen 2021  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
MAGA DOGE ,Vladimir Guerrero Jr. 1B | TOR,48,.401,123,111,4,1
Trex,"Salvador Perez C,1B | KC ",48,.316,88,121,1,9
Runtime Terror,Bryce Harper 1B | PHI,35,.429,101,84,13,10
Big Sticks,Rafael Devers 1B | SF,38,.352,101,113,5,12
Trex,Paul Goldschmidt 1B | NYY,31,.365,102,99,12,14
Rieken Havoc,Freddie Freeman 1B | LAD,31,.393,120,83,8,15
Big Sticks,Matt Olson 1B | ATL,39,.371,101,111,4,17
W ,Jose Abreu 1B | HOU,30,.350,86,117,1,42
Simba's Dublin Green Sox,Pete Alonso 1B | BAL ,37,.344,81,94,3,44
W ,Joey Votto 1B | TOR ,36,.375,73,99,1,50
W ,Justin Turner 1B | CHC ,27,.361,87,87,3,57
W ,Jared Walsh 1B | TEX ,29,.340,70,98,2,61
W ,Ryan Mountcastle 1B | BAL,33,.309,77,89,4,63
W ,C.J. Cron 1B | BOS ,28,.375,70,92,1,65
W ,Joey Gallo 1B | CHW ,38,.351,90,77,6,76
W ,Josh Bell 1B | WAS ,27,.347,75,88,0,87
W ,Ty France 1B | TOR,18,.368,85,73,0,89
MAGA DOGE ,Nate Lowe 1B | BOS ,18,.357,75,72,8,103
W ,Rhys Hoskins 1B | MIL ,27,.334,64,71,3,113
W ,Trey Mancini 1B | ARI ,21,.326,77,71,0,122
W ,Anthony Rizzo 1B | NYY,22,.344,73,61,6,125
W ,"Enrique Hernandez 1B,3B,OF | LAD ",20,.337,84,60,1,131
W ,Bobby Dalbec 1B | CHW,25,.298,50,78,2,146
W ,Patrick Wisdom 1B | CHC,28,.305,54,61,4,148
W ,Willson Contreras 1B | STL ,21,.340,61,57,5,172
W ,"LaMonte Wade 1B,OF | LAA",18,.326,52,56,6,178
W ,Wilmer Flores 1B | SF,18,.335,57,53,1,188
Like a Nightmare,Yandy Diaz 1B | TB,13,.353,62,64,1,195
W ,Pavin Smith 1B | ARI ,11,.328,68,49,1,209
W ,Carlos Santana 1B | CHC,19,.319,66,69,2,211
W ,Nick Solak 1B | PIT,11,.314,57,49,7,235
Long Balls,Andrew Vaughn 1B | MIL,15,.309,56,48,1,260
Trex,Luis Arraez 1B | SD,2,.357,58,42,2,263
W ,Abraham Toro 1B | BOS ,11,.315,45,46,6,279
W ,Dominic Smith 1B | SF,11,.304,43,58,2,281
Big Sticks,Christian Walker 1B | HOU,10,.315,55,46,0,293
W ,Matt Beaty 1B | KC,7,.363,35,40,2,332
W ,Donovan Solano 1B | TEX,7,.344,35,31,2,343
W ,Garrett Cooper 1B | ATL ,9,.380,30,33,1,348
W ,Rowdy Tellez 1B | TEX,11,.305,34,36,0,363
W ,Luke Voit 1B | NYM ,11,.328,26,35,0,394
Magnum GI,Josh Naylor 1B | SEA ,7,.301,28,21,1,469
W ,Yoshitomo Tsutsugo 1B | SF ,8,.306,27,32,0,480
Simba's Dublin Green Sox,"Ryan O'Hearn 1B,OF | SD",9,.268,23,29,0,495
W ,J.D. Davis 1B | LAA,5,.384,18,23,1,496
W ,Jake Lamb 1B | SF ,7,.306,25,19,0,565
W ,"Jake Bauers 1B,OF | MIL ",4,.290,27,19,6,566
W ,Carter Kieboom 1B | LAA,6,.301,26,20,0,584
W ,Kole Calhoun 1B | CLE,5,.297,17,17,1,598
W ,Lewin Diaz 1B | WAS ,8,.242,16,13,0,615
W ,Keston Hiura 1B | COL,4,.256,16,19,3,683
W ,Jason Vosler 1B | SEA ,3,.256,12,9,2,708
W ,Alfonso Rivas 1B | STL ,1,.388,7,3,0,764
