All Utility Players 2024  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
Like a Nightmare,Fernando Tatis Jr. OF | SD,21,.340,64,49,11,123
W ,"Willi Castro 2B,3B,OF | CHC",12,.331,89,60,14,124
Like a Nightmare,"Jose Caballero 2B,3B,SS,OF | NYY",9,.283,53,44,44,125
Runtime Terror,Mark Vientos 3B | NYM,27,.322,58,71,0,126
W ,"Jonathan India 2B,3B,OF | KC ",15,.357,84,58,13,127
MAGA DOGE ,Heliot Ramos OF | SF,22,.322,54,72,6,128
W ,Jesus Sanchez OF | HOU,18,.313,60,64,16,130
W ,Will Smith C | LAD ,20,.327,77,75,1,132
Magnum GI,Brendan Donovan 2B | STL ,14,.342,65,73,5,133
Rieken Havoc,Shea Langeliers C | ATH,29,.288,58,80,4,134
Simba's Dublin Green Sox,Nolan Arenado 3B | STL,16,.325,70,71,2,136
W ,Jacob Young OF | WAS,3,.316,75,36,33,137
Gashouse Gang,Brandon Marsh OF | PHI,16,.328,55,60,19,138
W ,Jake Cronenworth 2B | SD,17,.324,72,83,5,140
W ,Jorge Soler OF | LAA ,21,.338,84,64,1,142
Trex,Byron Buxton OF | MIN,18,.335,62,56,7,145
W ,Matt Vierling OF | DET ,16,.312,80,57,6,146
Guillotine,Adley Rutschman C | BAL,19,.318,68,79,1,147
W ,"Luke Raley 1B,OF | SEA",22,.320,58,58,11,148
Dawg,Michael Busch 1B | CHC,21,.335,73,65,2,150
Big Sticks,Gleyber Torres 2B | DET ,15,.330,80,63,4,151
Runtime Terror,George Springer OF | TOR ,19,.303,74,56,16,155
W ,Carlos Santana 1B | CHC,23,.328,63,71,4,156
W ,Jesse Winker DH | NYM,14,.360,63,58,14,157
Rieken Havoc,"Josh H. Smith 1B,3B,SS | TEX",13,.337,67,62,11,158
W ,Rhys Hoskins 1B | MIL ,26,.303,59,82,3,159
MAGA DOGE ,Christian Yelich DH | MIL,11,.406,44,42,21,160
W ,Tyler Stephenson C | CIN,19,.338,69,66,1,161
Rieken Havoc,Jordan Westburg 3B | BAL,18,.312,57,63,6,164
W ,Michael Toglia 1B | COL ,25,.311,62,55,10,166
W ,Victor Robles OF | SEA,4,.381,44,28,34,170
MAGA DOGE ,Nate Lowe 1B | BOS ,16,.361,62,69,2,171
W ,Ryan McMahon 3B | NYY,20,.325,68,65,4,172
W ,Zack Gelof 2B | ATH ,17,.270,60,49,25,173
Long Balls,Isaac Paredes 3B | HOU ,19,.346,64,80,1,174
W ,J.J. Bleday OF | ATH ,20,.325,74,60,2,176
W ,Tyler Fitzgerald 2B | SF,15,.334,53,34,17,177
Long Balls,Giancarlo Stanton OF | NYY,27,.298,49,72,0,180
Like a Nightmare,Jo Adell OF | LAA,20,.280,54,62,15,182
Magnum GI,Michael Harris OF | ATL,16,.304,58,48,10,183
W ,Josh Bell 1B | WAS ,19,.319,62,71,0,184
Guillotine,Ha-seong Kim SS | ATL ,11,.331,60,47,22,186
Magnum GI,Daulton Varsho OF | TOR,18,.293,73,58,10,187
Magnum GI,Brandon Lowe 2B | TB ,21,.311,56,58,5,188
W ,Bryan De La Cruz OF | NYY ,21,.271,61,68,5,189
Big Sticks,Wilyer Abreu OF | BOS ,15,.322,59,58,8,190
W ,Connor Wong C | BOS ,13,.333,54,52,8,191
Gashouse Gang,Pete Crow-Armstrong OF | CHC,10,.286,46,47,27,193
Like a Nightmare,Yandy Diaz 1B | TB,14,.341,55,65,0,194
W ,David Hamilton 2B | BOS,8,.303,47,28,33,196
Gashouse Gang,"Carlos Correa 3B,SS | HOU",14,.388,55,54,0,197
W ,Leody Taveras OF | SEA ,12,.289,59,44,23,198
Simba's Dublin Green Sox,"Ryan O'Hearn 1B,OF | SD",15,.334,60,59,3,199
W ,"Xavier Edwards 2B,SS | MIA",1,.397,39,26,31,200
W ,Austin Riley 3B | ATL ,19,.322,63,56,0,201
W ,"Dylan Moore 2B,OF | TEX",10,.321,53,42,32,202
Magnum GI,Logan O'Hoppe C | LAA,20,.303,64,56,2,203
Like a Nightmare,Harrison Bader OF | PHI ,12,.284,57,51,17,205
Long Balls,Andrew Vaughn 1B | MIL,19,.297,55,70,2,206
Trex,Nolan Schanuel 1B | LAA,13,.343,62,54,10,207
W ,Ryan Mountcastle 1B | BAL,13,.308,54,63,3,209
W ,"Colt Keith 2B,3B | DET",13,.309,54,61,7,210
W ,Ryan Jeffers C | MIN,21,.300,56,64,3,214
W ,Brendan Rodgers 2B | HOU,13,.314,67,54,1,215
W ,"Luis Rengifo 2B,3B | LAA",6,.346,41,30,24,219
W ,Trevor Larnach OF | MIN,15,.338,59,52,4,221
W ,Michael Conforto OF | LAD,20,.309,56,66,0,223
Magnum GI,"Ernie Clement 2B,3B,SS | TOR",12,.284,48,51,12,225
W ,Joseph Ortiz SS | MIL,11,.329,58,60,11,227
W ,Andrew McCutchen DH | PIT,20,.328,66,50,3,229
W ,Paul DeJong 3B | WAS,24,.276,54,56,2,230
W ,Blake Perkins OF | MIL,6,.316,54,43,23,231
Young Guns,"Otto Lopez 2B,SS | MIA",6,.313,49,39,20,232
Gashouse Gang,Xander Bogaerts SS | SD,11,.307,50,44,13,233
W ,Mike Yastrzemski OF | KC ,18,.302,60,57,3,236
Long Balls,Luis Robert OF | CHW ,14,.278,47,35,23,238
W ,Alex Verdugo OF | ATL,13,.291,74,61,2,240
W ,Andrew Benintendi OF | CHW ,20,.289,50,64,3,245
Gashouse Gang,Kerry Carpenter OF | DET,18,.345,37,57,0,247
W ,"Isiah Kiner-Falefa 3B,SS | TOR",8,.306,53,43,11,252
W ,Starling Marte DH | NYM,7,.327,46,40,16,255
Like a Nightmare,Joshua Lowe OF | TB,10,.302,37,34,25,256
Gashouse Gang,Sal Frelick OF | MIL,2,.320,66,32,18,259
W ,Jake Meyers OF | HOU ,13,.286,51,61,11,260
Rieken Havoc,Ozzie Albies 2B | ATL ,10,.303,52,53,8,261
W ,Jeimer Candelario 3B | NYY ,20,.279,47,56,4,263
Rieken Havoc,James Wood OF | WAS,9,.354,43,41,14,264
W ,David Fry DH | CLE ,14,.356,44,51,4,266
W ,Masataka Yoshida DH | BOS,10,.349,45,56,2,267
W ,Christopher Morel OF | MIA ,21,.288,56,60,8,270
MAGA DOGE ,J.T. Realmuto C | PHI,14,.322,50,47,2,271
Magnum GI,Andy Pages OF | LAD ,13,.305,65,46,1,272
W ,Justin Turner 1B | CHC ,11,.354,59,55,0,273
W ,Gavin Lux OF | CIN,10,.320,59,50,5,274
W ,J.D. Martinez DH | NYM,16,.320,46,69,0,276
W ,Jake Fraley OF | TB ,5,.330,44,26,20,281
W ,Johan Rojas OF | PHI ,3,.279,47,32,25,284
W ,Dairon Blanco OF | KC,4,.308,37,13,31,288
W ,Jose Siri OF | NYM,18,.255,50,47,14,290
W ,Kyle Isbel OF | KC ,8,.287,62,42,11,293
W ,Willson Contreras 1B | STL ,15,.380,48,36,4,295
MAGA DOGE ,Geraldo Perdomo SS | ARI,3,.344,61,37,9,296
W ,Jose Miranda 3B | MIN ,9,.322,44,49,2,297
W ,Jarred Kelenic OF | ATL,15,.286,49,45,7,299
W ,"Jeff McNeil 2B,OF | NYM ",12,.308,57,44,5,301
Simba's Dublin Green Sox,TJ Friedl OF | CIN,13,.310,35,55,9,304
Big Sticks,Mickey Moniak OF | COL,14,.266,48,49,8,305
W ,Randal Grichuk OF | KC ,12,.348,40,46,0,306
W ,Michael Massey 2B | KC,14,.294,45,45,1,307
Dawg,Max Muncy 3B | LAD ,15,.358,47,48,1,308
W ,"Nolan Gorman 2B,3B | STL",19,.271,42,50,6,310
W ,Nick Gonzales 2B | PIT,7,.311,42,49,5,313
W ,"Jake Bauers 1B,OF | MIL ",12,.301,45,43,13,315
Simba's Dublin Green Sox,Lars Nootbaar OF | STL ,12,.342,39,45,7,318
W ,Wenceel Perez OF | DET,9,.300,51,37,9,319
W ,Will Benson OF | CIN,14,.274,41,43,16,320
W ,Keibert Ruiz C | WAS ,13,.260,46,57,3,321
W ,"Miguel Rojas 2B,3B,SS | LAD ",6,.337,41,36,8,324
W ,Tyrone Taylor OF | NYM ,7,.299,47,35,11,327
W ,Spencer Horwitz 1B | PIT,12,.357,46,40,0,328
W ,Travis d'Arnaud C | LAA ,15,.302,40,48,1,329
W ,"Jose Iglesias 2B,3B,SS | SD",4,.381,39,26,6,330
W ,Hunter Renfroe OF | KC,15,.297,44,52,1,331
W ,Rowdy Tellez 1B | TEX,13,.299,38,56,1,332
W ,Kevin Pillar OF | TEX,8,.291,38,45,12,333
W ,Tommy Pham OF | PIT ,9,.305,49,39,7,334
W ,Joey Bart C | PIT,13,.337,38,45,0,335
W ,Santiago Espinal 3B | CIN ,9,.295,32,45,11,340
W ,"Max Schuemann 2B,3B,SS | ATH",7,.311,55,34,14,342
Long Balls,Royce Lewis 3B | MIN,16,.295,40,47,0,344
Like a Nightmare,Austin Wells C | NYY,13,.322,42,55,1,348
Simba's Dublin Green Sox,Ramon Laureano OF | SD ,11,.311,35,33,8,352
W ,Rob Refsnyder OF | BOS,11,.359,32,40,2,356
W ,Ty France 1B | TOR,13,.305,46,51,1,357
W ,"Mauricio Dubon 2B,3B,SS,OF | ATL ",4,.296,45,47,3,360
W ,Jonah Heim C | TEX ,13,.267,45,59,1,361
W ,Richard Palacios OF | TB,5,.346,46,21,19,363
W ,Mark Canha OF | KC,7,.344,46,42,7,366
W ,"Orlando Arcia 2B,3B,SS | COL",17,.271,50,46,2,367
Simba's Dublin Green Sox,Jorge Polanco 2B | NYM ,16,.296,43,45,4,368
W ,MJ Melendez OF | KC ,17,.273,44,44,4,372
W ,Kyle Higashioka C | TEX,17,.263,29,45,2,376
W ,Jonathan Singleton DH | HOU,13,.321,46,42,0,377
W ,Oswaldo Cabrera 3B | NYY ,8,.296,47,36,4,378
W ,Amed Rosario 3B | NYY ,3,.306,29,32,13,380
W ,Mike Tauchman OF | CHW ,7,.357,50,29,6,383
W ,Patrick Bailey C | SF,8,.297,46,46,4,384
W ,Francisco Alvarez C | NYM ,11,.307,39,47,1,385
W ,Parker Meadows OF | DET,9,.310,39,28,9,388
W ,Gabriel Moreno C | ARI,5,.353,39,45,3,390
W ,Seth Brown OF | ATH,14,.282,32,44,4,393
W ,"Ramon Urias 2B,3B | HOU ",11,.322,39,37,1,396
W ,Jake Cave OF | COL,7,.290,42,37,5,397
