All Second Basemen 2025  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
Simba's Dublin Green Sox,Brice Turang 2B | MIL,18,.359,97,81,24,26
W ,Shay Whitcomb 2B | HOU,1,.125,4,1,0,1255
W ,Scott Kingery 2B | LAA ,0,.207,3,0,1,1262
W ,Owen Miller 2B | COL,0,.294,0,1,1,1263
W ,Donovan Walton 2B | PHI,0,.125,1,1,0,1272
W ,Coco Montes 2B | TB,0,.200,0,1,0,1281
W ,Cesar Prieto 2B | STL,0,.167,0,0,0,1300
W ,Chad Stevens 2B | LAA ,0,.154,1,0,0,1305
W ,Connor Kaiser 2B | ARI ,0,.158,1,2,0,1308
W ,Luis Guillorme 2B | HOU,0,.191,2,0,0,1316
W ,Michael Stefanic 2B | TOR ,0,.280,1,0,0,1326
W ,Aaron Schunk 2B | ATL ,0,.188,1,0,0,1342
W ,Leonardo Jimenez 2B | TOR,1,.129,2,1,0,1345
W ,Vinny Siena 2B | NYM ,0,.000,0,0,0,9999
W ,Max Ferguson 2B | BOS,0,.000,0,0,0,9999
W ,Darren Baker 2B | WAS,0,.000,0,0,0,9999
W ,Grant Kay 2B | TB ,0,.000,0,0,0,9999
W ,Hector Vargas 2B | CIN ,0,.000,0,0,0,9999
W ,Nelson Jorge 2B | PIT ,0,.000,0,0,0,9999
W ,Rubendy Jaquez 2B | KC ,0,.000,0,0,0,9999
W ,Buck Britton 2B | MIN ,0,.000,0,0,0,9999
W ,Connor Hollis 2B | SD ,0,.000,0,0,0,9999
W ,Reed Harper 2B | ATL ,0,.000,0,0,0,9999
W ,Mario Camilletti 2B | CHW ,0,.000,0,0,0,9999
W ,Tanner Nishioka 2B | BOS ,0,.000,0,0,0,9999
W ,Bruce Caldwell 2B | STL ,0,.000,0,0,0,9999
W ,Dangelo Sarmiento 2B | NYM ,0,.000,0,0,0,9999
W ,JT Mabry 2B | MIA ,0,.000,0,0,0,9999
W ,Manuel Sequera 2B | DET ,0,.000,0,0,0,9999
W ,Keithron Moss 2B | TEX ,0,.000,0,0,0,9999
W ,Casey Cook 2B | TEX ,0,.000,0,0,0,9999
W ,Gerson Montilla 2B | CHW ,0,.000,0,0,0,9999
W ,Brian Burgamy 2B | LAD ,0,.000,0,0,0,9999
W ,Jose Colmenares 2B | NYY ,0,.000,0,0,0,9999
W ,Jose Fernandez 2B | HOU ,0,.000,0,0,0,9999
W ,Levi Michael 2B | SF ,0,.000,0,0,0,9999
W ,Raynel Delgado 2B | MIL ,0,.000,0,0,0,9999
W ,Pin-Chieh Chen 2B | CHC ,0,.000,0,0,0,9999
W ,Ty Southisene 2B | CHC ,0,.000,0,0,0,9999
W ,Mac Seibert 2B | TB ,0,.000,0,0,0,9999
W ,Brandon Drury 2B | CHW,0,.000,0,0,0,9999
W ,Luis Alejandro Basabe 2B | ARI ,0,.000,0,0,0,9999
W ,Tom Belza 2B | ARI ,0,.000,0,0,0,9999
W ,Henry Castillo 2B | ARI ,0,.000,0,0,0,9999
W ,Amado Nunez 2B | CHW ,0,.000,0,0,0,9999
W ,Ali Castillo 2B | PHI ,0,.000,0,0,0,9999
W ,Kristian Trompiz 2B | HOU ,0,.000,0,0,0,9999
W ,Ahbram Liendo 2B | BOS ,0,.000,0,0,0,9999
W ,Julio Garcia 2B | MIL ,0,.000,0,0,0,9999
W ,Tim Arakawa 2B | LAA ,0,.000,0,0,0,9999
W ,Galli Cribbs 2B | ARI ,0,.000,0,0,0,9999
W ,Rougned Odor 2B | SD ,0,.000,0,0,0,9999
W ,Jordan Tarsovich 2B | ATH ,0,.000,0,0,0,9999
W ,Yordany De Los Santos 2B | PIT ,0,.000,0,0,0,9999
W ,Marcos Castanon 2B | SD ,0,.000,0,0,0,9999
W ,Yonny Hernandez 2B | NYM ,0,.000,0,0,0,9999
W ,J.J. Franco 2B | NYM ,0,.000,0,0,0,9999
W ,Gage Miller 2B | MIA ,0,.000,0,0,0,9999
Runtime Terror,Travis Bazzana 2B | CLE ,0,.000,0,0,0,9999
W ,Yolbert Sanchez 2B | ATL,0,.000,0,0,0,9999
W ,Chandler Redmond 2B | STL ,0,.000,0,0,0,9999
W ,Nick Dunn 2B | SEA ,0,.000,0,0,0,9999
W ,Gregory Guerrero 2B | NYM ,0,.000,0,0,0,9999
W ,Joe Bennie 2B | ATH ,0,.000,0,0,0,9999
W ,Angelo Mora 2B | LAD ,0,.000,0,0,0,9999
W ,Nick Ward 2B | ATL,0,.000,0,0,0,9999
W ,Gabriel Cancel 2B | KC ,0,.000,0,0,0,9999
W ,Jacob Berry 2B | MIA ,0,.000,0,0,0,9999
W ,Ryan Grotjohn 2B | ARI ,0,.000,0,0,0,9999
