"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","b_rbi","r_total_caught_stealing","r_total_stolen_base","b_intent_walk","r_run","xba","xslg","xwoba","xobp","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent","sprint_speed"
"Rojas, Johan",679032,2024,23,338,363,82,64,12,3,3,69,13,19,3.6,".243",".322",".279","0.601","0.079",".297","32","4","25","0","47",".225",".293",".250",".262","85.7","4.8",22,2.5,27.4,"97.163679462","92.590351731",22.7,48.8,"30.1"
"Blanco, Dairon",680118,2024,31,120,132,31,23,4,0,4,32,8,24.2,6.1,".258",".392",".308","0.700","0.134",".318","13","7","31","0","37",".212",".369",".279",".265","89","8.6",26.7,7.8,37.8,"99.654640732","94.051881852",32.9,52.3,"29.6"
"Vargas, Ildemaro",545121,2024,32,272,303,67,50,16,0,1,31,19,10.2,6.3,".246",".316",".295","0.611","0.070",".269","30","4","9","0","21",".255",".323",".280",".305","87","4",29.5,1.2,31.9,"97.073438667","92.579283167",12.6,46.4,"26.7"
"Gordon, Nick",624503,2024,28,260,275,59,39,11,1,8,67,11,24.4,4,".227",".369",".258","0.627","0.142",".271","32","5","5","0","29",".219",".352",".264",".253","86.1","6.5",34.7,6.1,29.6,"96.567867732","92.321775928",32,59.8,"27.6"
"Wade Jr., LaMonte",664774,2024,30,331,401,86,62,16,0,8,90,62,22.4,15.5,".260",".381",".380","0.761","0.121",".331","34","1","2","5","45",".259",".428",".354",".381","90.6","12.9",39.6,9.4,44.1,"101.164898115","95.074393169",24.2,40.9,"25.2"
"Peña, Jeremy",665161,2024,26,602,650,160,115,28,2,15,111,25,17.1,3.8,".266",".394",".308","0.702","0.128",".301","70","6","20","1","78",".264",".395",".310",".308","88.2","7.5",29.2,5.4,38.8,"99.323506707","93.74168435",24.9,54.2,"29.8"
"Fraley, Jake",641584,2024,29,350,382,97,71,19,2,5,70,26,18.3,6.8,".277",".386",".330","0.716","0.109",".331","26","5","20","0","44",".244",".324",".285",".304","84.3","11.1",34.6,3.2,24.7,"95.677326241","91.891008399",21.3,57.9,"28.3"
"France, Ty",664034,2024,29,479,535,112,75,24,0,13,114,38,21.3,7.1,".234",".365",".305","0.670","0.131",".277","51","1","1","0","46",".228",".386",".303",".301","88.7","12.9",30.5,7.3,40,"99.663679892","94.004650595",24.2,51.2,"25.1"
"Call, Alex",669743,2024,29,99,113,34,22,9,0,3,19,12,16.8,10.6,".343",".525",".425","0.950","0.182",".403","14","1","5","0","15",".244",".368",".317",".337","88","12.5",28.7,5,32.5,"97.21422775","92.66518325",18.8,43.2,"28.0"
"Gonzalez, Romy",663853,2024,27,199,216,53,36,10,1,6,58,12,26.9,5.6,".266",".417",".306","0.723","0.151",".338","29","3","11","0","25",".256",".416",".314",".300","92.3","3.7",29.7,8.3,51,"104.214637183","96.826247676",29.2,55.2,"28.9"
"Heyward, Jason",518792,2024,34,228,258,48,24,12,2,10,53,22,20.5,8.5,".211",".412",".288","0.700","0.201",".226","37","0","5","2","33",".233",".346",".290",".309","88","10.4",29.8,5.6,41.6,"99.992543146","94.178780339",24,49.6,"26.8"
"Ahmed, Nick",605113,2024,34,210,228,48,39,6,1,2,51,11,22.4,4.8,".229",".295",".267","0.562","0.066",".287","17","1","2","0","20",".227",".321",".260",".266","84.9","13.4",29.7,3,23,"95.399118608","91.729839045",26,54.8,"27.7"
"Edwards, Xavier",669364,2024,24,265,303,87,69,12,5,1,52,33,17.2,10.9,".328",".423",".397","0.820","0.095",".398","26","4","31","1","39",".253",".322",".296",".333","86.1","6.7",37.6,1.8,24.3,"95.052217333","91.536547476",16.9,47.5,"28.4"
"Bichette, Bo",666182,2024,26,311,336,70,49,16,1,4,64,20,19,6,".225",".322",".277","0.599","0.097",".269","31","1","5","1","29",".251",".370",".299",".304","89.2","7.2",31.3,4.4,43.5,"100.896776504","94.778862816",22,56.4,"27.3"
"Raleigh, Cal",663728,2024,27,546,628,120,70,16,0,34,176,70,28,11.1,".220",".436",".312","0.748","0.216",".251","100","1","6","4","73",".233",".476",".346",".326","91","21.2",35.6,15.4,48.1,"102.032071755","95.508789467",31,52.3,"26.6"
"Pérez, Wenceel",672761,2024,24,389,425,94,63,16,6,9,92,32,21.6,7.5,".242",".383",".300","0.683","0.141",".294","37","5","9","0","51",".241",".354",".291",".300","88.4","18",37.7,4.3,30.6,"97.264471429","92.757975085",20.9,46.1,"28.2"
"Blackmon, Charlie",453568,2024,37,449,499,115,74,24,5,12,86,43,17.2,8.6,".256",".412",".329","0.741","0.156",".293","52","2","6","2","59",".249",".365",".305",".322","84.8","16.3",34.1,5.2,27.2,"96.083583591","92.106050111",19.2,48,"27.4"
"LeMahieu, DJ",518934,2024,35,201,228,41,34,5,0,2,35,19,15.4,8.3,".204",".259",".269","0.528","0.055",".229","26","1","0","0","19",".244",".363",".299",".309","88.5","1.9",31.8,5.8,37.6,"98.271498488","93.240584302",17.5,44.6,"26.1"
"Turang, Brice",668930,2024,24,559,619,142,107,24,4,7,105,50,17,8.1,".254",".349",".316","0.665","0.095",".300","57","6","50","1","72",".261",".340",".298",".323","87","6.1",32,2.4,29.7,"96.869333063","92.521821874",13.8,47.7,"29.3"
"Rogers, Jake",668670,2024,29,310,337,61,34,16,1,10,99,22,29.4,6.5,".197",".352",".255","0.607","0.155",".251","36","0","1","1","43",".218",".412",".297",".276","89","15.7",32.9,9.9,41.8,"99.180639906","93.973828585",32.7,47.6,"27.1"
"Singleton, Jon",572138,2024,32,355,405,83,56,13,1,13,111,47,27.4,11.6,".234",".386",".321","0.707","0.152",".299","42","0","0","0","46",".228",".382",".310",".317","88.7","12.8",34.8,8.9,37.2,"99.784248293","93.99841",30.1,40.7,"25.9"
"Moore, Dylan",664238,2024,31,368,441,74,37,23,4,10,123,53,27.9,12,".201",".367",".320","0.687","0.166",".267","42","6","32","1","53",".200",".325",".297",".323","88.4","22.6",38.2,8.8,36.3,"98.78016696","93.44884728",24.8,42.4,"28.0"
"Volpe, Anthony",683011,2024,23,637,689,155,109,27,7,12,156,42,22.6,6.1,".243",".364",".293","0.657","0.121",".303","60","7","28","1","90",".234",".328",".275",".287","87.7","8.4",33.3,3.9,35.4,"98.177841555","93.206482989",22.6,48.1,"28.6"
"Tauchman, Mike",643565,2024,33,298,350,74,54,12,1,7,70,47,20,13.4,".248",".366",".357","0.723","0.118",".302","29","2","6","0","50",".238",".376",".326",".349","89","15.5",34.9,7.4,41,"99.141927105","93.788317412",22.5,46,"27.2"
"Murphy, Sean",669221,2024,29,233,264,45,29,5,1,10,67,27,25.4,10.2,".193",".352",".284","0.636","0.159",".223","25","0","0","1","19",".214",".399",".308",".303","88","10.5",25.7,9.6,36.5,"99.757961548","94.022077485",28.4,45.6,"25.2"
"Bart, Joey",663698,2024,27,253,282,67,43,11,0,13,73,22,25.9,7.8,".265",".462",".337","0.799","0.197",".321","45","0","0","0","38",".248",".433",".331",".323","88.1","10.5",32.6,9.4,38.7,"100.959040333","94.605861732",26.2,43.7,"27.0"
