All Outfielders 2022  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
W ,Robbie Grossman OF | KC,7,.310,40,45,6,428
W ,Franchy Cordero OF | WAS,8,.300,36,29,4,451
W ,Jorge Soler OF | LAA ,13,.295,32,34,0,463
W ,Avisail Garcia OF | MIA,8,.266,31,35,4,473
W ,Kyle Isbel OF | KC ,5,.264,32,28,9,476
W ,Brian Anderson OF | ATL ,8,.311,43,28,1,477
W ,Rob Refsnyder OF | BOS,6,.384,25,21,1,480
W ,Bubba Thompson OF | CIN ,1,.302,18,9,18,489
W ,Kevin Kiermaier OF | LAD,7,.281,28,22,6,490
W ,Jordan Luplow OF | PHI ,11,.274,26,28,5,504
Like a Nightmare,Jo Adell OF | LAA,8,.264,22,27,4,536
W ,Garrett Hampson OF | STL,2,.287,29,15,12,540
W ,Albert Almora OF | MIA ,5,.282,26,29,3,542
W ,"LaMonte Wade 1B,OF | LAA",8,.305,29,26,1,547
W ,Edward Olivares OF | PIT ,4,.333,24,15,2,553
W ,Aristides Aquino OF | CIN,10,.246,24,30,2,554
W ,Kyle Garlick OF | ARI ,9,.284,23,18,0,562
W ,Nathan Eaton OF | BOS,1,.331,16,12,11,572
W ,Gilberto Celestino OF | NYM ,2,.313,30,24,4,574
W ,"Mauricio Dubon 2B,3B,SS,OF | ATL ",5,.252,31,24,2,583
W ,Jackie Bradley Jr. OF | KC,4,.255,30,38,2,600
W ,Eli White OF | ATL ,3,.274,16,10,12,601
Young Guns,Jarren Duran OF | BOS ,3,.282,23,17,7,606
W ,"Zach McKinstry 3B,SS,OF | DET",5,.273,21,14,7,619
W ,Akil Baddoo OF | MIL ,2,.289,30,9,9,623
W ,Alex Call OF | LAD,5,.336,18,13,3,633
W ,Garrett Mitchell OF | MIL ,2,.373,9,9,8,636
W ,Cal Mitchell OF | CHW ,5,.286,21,17,3,638
W ,Trevor Larnach OF | MIN,5,.306,22,18,0,647
W ,Jose Azocar OF | ATL,0,.298,24,10,5,656
W ,Jake Cave OF | COL,5,.260,17,20,2,662
W ,Tyler Wade OF | SD ,1,.272,22,8,8,666
W ,Drew Waters OF | KC,5,.324,14,18,0,669
Magnum GI,Corbin Carroll OF | ARI,4,.330,13,14,2,672
Gashouse Gang,Kerry Carpenter OF | DET,6,.310,16,10,0,681
W ,Alex Kirilloff OF | MIN,3,.290,14,21,0,684
W ,Nomar Mazara OF | WAS,2,.316,16,18,0,691
Like a Nightmare,Joshua Lowe OF | TB,2,.284,24,13,3,695
W ,Ryan McKenna OF | SF ,2,.294,23,11,2,696
W ,Oscar Mercado OF | PHI ,4,.242,17,16,2,697
W ,Jarred Kelenic OF | ATL,7,.221,20,17,5,698
W ,Sam Hilliard OF | COL ,2,.280,26,14,5,706
W ,Tim Locastro OF | SD ,2,.239,13,4,8,710
W ,"Miguel Andujar 3B,OF | CIN",1,.257,13,17,4,714
W ,Greg Allen OF | BAL,2,.260,17,8,8,716
W ,Skye Bolt OF | ATL,4,.259,10,13,5,724
W ,Brett Phillips OF | CHW ,5,.217,22,15,7,752
W ,Cooper Hummel OF | HOU ,3,.274,20,17,4,753
W ,Conner Capel OF | ATL ,3,.356,7,11,1,756
W ,Sean Bouchard OF | COL ,3,.454,9,11,0,757
W ,Billy Hamilton OF | CHW,0,.136,13,0,10,760
W ,Stuart Fairchild OF | TB ,5,.336,14,6,0,761
W ,J.J. Bleday OF | ATH ,5,.277,21,16,4,765
W ,Taylor Trammell OF | HOU ,4,.284,15,10,2,767
W ,Stephen Piscotty OF | ATH ,5,.252,12,14,2,768
Magnum GI,Kyle Stowers OF | MIA,3,.306,11,11,0,778
W ,Terrin Vavra OF | BAL ,1,.340,14,12,0,783
Simba's Dublin Green Sox,"Ryan O'Hearn 1B,OF | SD",1,.290,14,16,0,787
W ,Will Brennan OF | CLE ,1,.400,6,8,2,791
W ,Jake Meyers OF | HOU ,1,.269,13,15,2,795
W ,Nolan Jones OF | CLE ,2,.308,10,13,0,803
W ,Jonathan Davis OF | MIA ,0,.344,9,4,7,807
Runtime Terror,"Kody Clemens 1B,2B,OF | MIN ",5,.197,13,17,1,809
W ,Jerar Encarnacion OF | SF,3,.210,7,14,2,822
W ,Peyton Burdick OF | CIN,4,.284,8,11,1,824
W ,Jake Marisnick OF | ATL ,2,.272,9,6,2,835
W ,Ji-Hwan Bae OF | NYM ,0,.405,5,6,3,838
W ,Matt Wallner OF | MIN,2,.323,4,10,1,870
W ,David Hensley OF | DET ,1,.441,7,5,0,871
W ,Jason Heyward OF | SD ,1,.278,15,10,1,873
W ,Daz Cameron OF | MIL ,1,.286,6,8,2,884
W ,Austin Meadows OF | DET,0,.347,9,11,0,886
Big Sticks,Mickey Moniak OF | COL,3,.207,13,8,1,888
W ,Derek Hill OF | CHW ,1,.270,8,3,3,891
W ,Richard Palacios OF | TB,0,.293,7,10,2,897
W ,James Outman OF | MIN,1,.562,6,3,0,900
W ,Dalton Guthrie OF | BOS ,1,.500,3,5,1,905
W ,Bradley Zimmer OF | COL ,2,.207,18,5,3,916
W ,Cristian Pache OF | ARI ,3,.218,18,18,2,924
W ,Abraham Almonte OF | NYM,1,.297,7,2,1,926
W ,Mark Contreras OF | BOS ,3,.147,9,6,1,937
W ,Tyler Freeman OF | COL ,0,.314,9,3,1,945
W ,Travis Jankowski OF | NYM ,0,.281,11,2,3,948
W ,Jose Barrero OF | STL,2,.195,13,10,4,976
W ,Josh Palacios OF | CHW,0,.245,8,2,1,997
W ,"Luke Raley 1B,OF | SEA",1,.306,7,4,0,1019
W ,Ryan Kreidler OF | MIN,1,.244,8,6,0,1020
Young Guns,"Alec Burleson 1B,OF | STL",1,.264,4,3,1,1028
W ,Zach Reks OF | SD ,0,.265,3,3,0,1043
W ,Dairon Blanco OF | KC,0,.286,1,2,1,1048
W ,Adam Haseley OF | CHW,0,.333,4,2,0,1050
W ,Clint Frazier OF | CHW,0,.356,4,1,1,1056
W ,Will Benson OF | CIN,0,.250,8,3,0,1061
W ,Brendon Davis OF | LAD ,0,.273,2,0,1,1073
W ,Elier Hernandez OF | TEX ,0,.200,4,3,0,1088
W ,Esteury Ruiz OF | LAD,0,.194,3,2,1,1098
W ,Estevan Florial OF | CLE ,0,.200,4,1,2,1105
W ,"Miles Mastrobuoni 3B,OF | SEA",0,.235,1,0,1,1191
W ,Pablo Reyes OF | NYM ,0,.312,1,0,0,1197
W ,Canaan Smith-Njigba OF | PIT ,0,.429,1,0,0,1204
W ,Mark Payton OF | CHW ,0,.280,3,1,0,1210
W ,Donovan Casey OF | WAS ,0,.000,0,0,0,1214
W ,Jahmai Jones OF | DET,0,.000,0,0,0,1214
W ,Jhonkensy Noel OF | CLE ,0,.000,0,0,0,1214
W ,Alberto Rodriguez OF | SEA ,0,.000,0,0,0,1214
Like a Nightmare,Fernando Tatis Jr. OF | SD,0,.000,0,0,0,1214
W ,Ryan Vilade OF | TB ,0,.000,0,0,0,1214
W ,David Dahl OF | PHI ,0,.000,0,0,0,1214
W ,Jhailyn Ortiz OF | PHI ,0,.000,0,0,0,1214
W ,Everson Pereira OF | CHW ,0,.000,0,0,0,1214
W ,Allan Cerda OF | MIN ,0,.000,0,0,0,1214
W ,Alexander Canario OF | PIT ,0,.000,0,0,0,1214
W ,Anthony Alford OF | CIN ,0,.250,0,0,0,1247
W ,Cal Stevenson OF | PHI ,0,.261,5,1,1,1250
W ,Yusniel Diaz OF | SF ,0,.000,0,0,0,1251
W ,Brewer Hicklen OF | PHI ,0,.000,1,0,0,1259
MAGA DOGE ,Heliot Ramos OF | SF,0,.182,4,0,0,1261
W ,Bryce Johnson OF | SD,0,.158,1,2,0,1266
W ,DJ Stewart OF | PIT ,0,.000,0,0,0,1267
W ,Simon Muzziotti OF | PHI ,0,.250,0,0,0,1271
W ,Luis Liberato OF | ATL ,0,.000,0,0,0,1282
W ,Travis Swaggerty OF | NYM ,0,.111,0,0,0,1287
W ,Kevin Pillar OF | TEX,0,.154,1,0,0,1289
W ,Mike Siani OF | LAD ,0,.167,1,0,0,1294
W ,Billy McKinney OF | TEX ,1,.158,3,4,0,1304
Big Sticks,Brent Rooker OF | ATH,0,.222,1,2,0,1308
