All Catchers 2025  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
W ,J.C. Escarra C | NYY,2,.296,5,11,1,985
W ,Austin Hedges C | CLE,5,.250,13,10,1,992
W ,Andrew Knizner C | SEA ,1,.299,12,5,0,998
W ,Brian Navarreto C | MIA ,1,.267,3,5,0,1056
W ,Tomas Nido C | DET ,0,.361,4,2,0,1070
W ,Sam Huff C | SF ,2,.259,5,4,0,1073
W ,Connor Wong C | BOS ,0,.262,16,7,2,1075
W ,Jorge Alfaro C | WAS ,0,.256,3,3,1,1107
W ,Jhonny Pereda C | MIN,0,.325,4,4,0,1142
W ,Sebastian Rivero C | LAA ,0,.206,4,2,1,1174
W ,Omar Narvaez C | HOU ,0,.400,1,3,0,1179
W ,Sandy Leon C | ATL,1,.083,1,3,0,1195
W ,Hayden Senger C | NYM,0,.221,8,4,0,1201
W ,Austin Barnes C | LAD,0,.233,4,2,0,1208
W ,Ben Rortvedt C | CIN ,1,.240,9,10,0,1209
W ,Rob Brantly C | MIA,0,.429,0,1,0,1216
W ,Dom Nunez C | CLE ,0,.286,2,0,0,1226
W ,Brett Sullivan C | PIT ,0,.333,1,2,0,1229
W ,Chadwick Tromp C | BAL ,1,.182,2,1,0,1235
W ,Logan Porter C | SF ,0,.333,2,1,0,1238
W ,Harry Ford C | WAS ,0,.250,1,1,0,1253
W ,Chuckie Robinson C | ATL ,0,.000,1,0,0,1264
W ,Ali Sanchez C | BOS,0,.217,2,0,0,1269
W ,Cesar Salazar C | HOU,0,.375,0,1,0,1273
W ,Chad Wallach C | LAA,0,.000,0,0,0,1280
W ,Hunter Feduccia C | TB,0,.267,5,8,1,1286
W ,Blake Sabol C | BOS ,0,.167,2,1,0,1289
W ,Tucker Barnhart C | TEX,0,.333,0,0,0,1298
W ,Drew Romo C | NYM ,0,.000,0,0,0,1309
W ,C.J. Stubbs C | WAS ,0,.000,0,0,0,1309
W ,Aramis Garcia C | ARI ,0,.000,0,0,0,1320
W ,Austin Nola C | COL ,0,.225,2,1,0,1322
W ,Jimmy Crooks C | STL ,1,.152,3,1,0,1335
W ,Will Banfield C | CIN ,0,.100,0,0,0,1338
W ,Maverick Handley C | BAL ,0,.133,2,3,0,1391
W ,Jacob Stallings C | BAL,0,.195,5,9,0,1407
W ,Israel Pineda C | WAS ,0,.000,0,0,0,9999
W ,Ryan Gold C | TOR ,0,.000,0,0,0,9999
W ,Henri Lartigue C | CHW ,0,.000,0,0,0,9999
W ,Braeden Schlehuber C | ATL ,0,.000,0,0,0,9999
W ,Santiago Nessy C | NYY ,0,.000,0,0,0,9999
W ,Morgan Lofstrom C | CIN ,0,.000,0,0,0,9999
W ,Philip Clarke C | TOR ,0,.000,0,0,0,9999
W ,Roberto Perez C | BOS ,0,.000,0,0,0,9999
W ,Ike Irish C | BAL ,0,.000,0,0,0,9999
W ,Tyler Marlette C | ATL ,0,.000,0,0,0,9999
W ,Sandro Gaston C | HOU ,0,.000,0,0,0,9999
W ,Mitchell Kranson C | CIN ,0,.000,0,0,0,9999
W ,Matt Jones C | ARI ,0,.000,0,0,0,9999
W ,Seby Zavala C | BOS,0,.000,0,0,0,9999
W ,Dominic Miroglio C | ARI ,0,.000,0,0,0,9999
W ,Bennett Thompson C | CLE ,0,.000,0,0,0,9999
W ,Jairo Rosario C | COL ,0,.000,0,0,0,9999
W ,Alex Monsalve C | TOR ,0,.000,0,0,0,9999
W ,Manuel Palencia C | NYY ,0,.000,0,0,0,9999
W ,Austin Allen C | NYM ,0,.000,0,0,0,9999
W ,Rene Pinto C | TB,0,.000,0,0,0,9999
W ,Jose Hernandez C | NYM ,0,.000,0,0,0,9999
W ,Michael Strentz C | LAA ,0,.000,0,0,0,9999
W ,Garrett Forrester C | MIA ,0,.000,0,0,0,9999
W ,Jacob Sharp C | TOR ,0,.000,0,0,0,9999
W ,Onix Vega C | NYM ,0,.000,0,0,0,9999
W ,Robert Brooks C | TOR ,0,.000,0,0,0,9999
W ,Jose Mujica C | ATH ,0,.000,0,0,0,9999
W ,Marco Dinges C | MIL ,0,.000,0,0,0,9999
W ,Andy Thomas C | SD ,0,.000,0,0,0,9999
W ,Sam McMillan C | DET ,0,.000,0,0,0,9999
W ,Brooks Brannon C | BOS ,0,.000,0,0,0,9999
W ,Gavin Logan C | ARI ,0,.000,0,0,0,9999
W ,Yan Gomes C | CHC,0,.000,0,0,0,9999
W ,Gustavo Polanco C | CHC ,0,.000,0,0,0,9999
W ,Tyler Baker C | ARI ,0,.000,0,0,0,9999
W ,Roy Morales C | MIN ,0,.000,0,0,0,9999
W ,Oscar Rangel C | BOS ,0,.000,0,0,0,9999
W ,Ryan Campos C | STL ,0,.000,0,0,0,9999
W ,Derek Berg C | PIT ,0,.000,0,0,0,9999
W ,Max Stassi C | SF ,0,.000,0,0,0,9999
W ,Mark Thomas C | ARI ,0,.000,0,0,0,9999
W ,Lamar King C | SD ,0,.000,0,0,0,9999
W ,Zach Humphreys C | LAA ,0,.000,0,0,0,9999
W ,Rene Garcia C | MIL ,0,.000,0,0,0,9999
W ,Sicnarf Loopstok C | CLE ,0,.000,0,0,0,9999
W ,Mac James C | TB ,0,.000,0,0,0,9999
W ,Dennis Ortega C | MIN ,0,.000,0,0,0,9999
W ,Juan Flores C | LAA ,0,.000,0,0,0,9999
W ,Cooper Uhl C | ATH ,0,.000,0,0,0,9999
W ,Gabriel Lino C | STL ,0,.000,0,0,0,9999
W ,Irving Wilson C | STL ,0,.000,0,0,0,9999
W ,Matt Dyer C | TB ,0,.000,0,0,0,9999
W ,Jeff Arnold C | SF ,0,.000,0,0,0,9999
W ,Brett Cumberland C | SF ,0,.000,0,0,0,9999
W ,Cal Stark C | TEX ,0,.000,0,0,0,9999
W ,Jake Hirabayashi C | MIN ,0,.000,0,0,0,9999
W ,Julio Rodriguez C | DET ,0,.000,0,0,0,9999
W ,Luke Berryhill C | HOU ,0,.000,0,0,0,9999
W ,Ramon Ramirez C | KC ,0,.000,0,0,0,9999
W ,Nick Rickles C | PHI ,0,.000,0,0,0,9999
W ,Luke Stevenson C | SEA ,0,.000,0,0,0,9999
W ,Ben Turner C | SF ,0,.000,0,0,0,9999
W ,Jeferson Morales C | MIN ,0,.000,0,0,0,9999
W ,Kevin Rivas C | CLE ,0,.000,0,0,0,9999
W ,Caleb Farmer C | WAS ,0,.000,0,0,0,9999
W ,Will Allen C | DET ,0,.000,0,0,0,9999
W ,Julian Leon C | LAA ,0,.000,0,0,0,9999
W ,Connor Burns C | CIN ,0,.000,0,0,0,9999
W ,Wes Wilson C | NYY ,0,.000,0,0,0,9999
W ,Michael Tinsley C | CLE ,0,.000,0,0,0,9999
W ,Peter Burns C | LAA ,0,.000,0,0,0,9999
W ,Christian Bethancourt C | TOR ,0,.000,0,0,0,9999
W ,Casey Schroeder C | CHW ,0,.000,0,0,0,9999
W ,Edgar Cabral C | PHI ,0,.000,0,0,0,9999
W ,Ryan January C | ARI ,0,.000,0,0,0,9999
W ,Rob Emery C | SF ,0,.000,0,0,0,9999
W ,J.D. Gonzalez C | TB ,0,.000,0,0,0,9999
W ,Bryan Broecker C | TB ,0,.000,0,0,0,9999
W ,Mitch Ghelfi C | NYM ,0,.000,0,0,0,9999
W ,Tres Barrera C | TB ,0,.000,0,0,0,9999
W ,Derrick Chung C | TOR ,0,.000,0,0,0,9999
W ,Silas Ardoin C | BAL ,0,.000,0,0,0,9999
W ,David Lyon C | TEX ,0,.000,0,0,0,9999
