"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","b_rbi","r_total_caught_stealing","r_total_stolen_base","b_intent_walk","r_run","xba","xslg","xwoba","xobp","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent","sprint_speed"
"Moniak, Mickey",666160,2023,25,311,323,87,50,21,2,14,113,9,35,2.8,".280",".495",".307","0.802","0.215",".397","45","3","6","1","35",".248",".450",".308",".276","89","19.7",38.9,12.6,39.2,"100.288235","94.38207288",38.8,61.7,"28.6"
"Slater, Austin",596103,2023,30,185,207,50,36,9,0,5,58,20,28,9.7,".270",".400",".348","0.748","0.130",".369","20","2","2","0","24",".255",".443",".338",".334","91.1","7.5",34.6,11.8,46.5,"101.910679365","95.591557937",29.8,42.3,"27.7"
"Heyward, Jason",518792,2023,33,334,377,90,52,23,0,15,64,34,17,9,".269",".473",".340","0.813","0.204",".291","40","2","2","1","56",".250",".405",".319",".324","87.7","15.4",33,8.1,37.4,"99.253685693","93.70715033",20.7,47,"27.1"
"Henderson, Gunnar",683002,2023,22,560,622,143,77,29,9,28,159,56,25.6,9,".255",".489",".325","0.814","0.234",".306","82","3","10","1","100",".261",".472",".346",".331","92","11.4",32.9,11.4,52,"102.730226238","96.062562903",26.4,46.8,"28.8"
"Soto, Juan",665742,2023,24,568,708,156,88,32,1,35,129,132,18.2,18.6,".275",".519",".410","0.929","0.244",".296","109","5","12","11","97",".284",".536",".407",".420","93.2","6.7",28.5,13,55.3,"104.484350409","97.215905977",20.5,35.8,"26.8"
"Biggio, Cavan",624415,2023,28,289,338,68,47,12,0,9,88,40,26,11.8,".235",".370",".340","0.710","0.135",".304","40","2","5","0","54",".226",".370",".314",".333","88.4","15.7",41.4,7.4,33,"97.7434156","93.0212046",23.8,39.7,"28.3"
"Bogaerts, Xander",593428,2023,30,596,665,170,118,31,2,19,110,56,16.5,8.4,".285",".440",".350","0.790","0.155",".319","58","2","19","0","83",".255",".401",".318",".325","87.6","7.9",28.3,6.1,34.6,"98.476149796","93.284202061",20.4,42.6,"27.6"
"Gorman, Nolan",669357,2023,23,406,464,96,52,17,0,27,148,53,31.9,11.4,".236",".478",".328","0.806","0.242",".296","76","2","7","1","59",".236",".496",".353",".328","91","22.2",38.8,16.5,48.5,"102.010586077","95.537335212",35.6,49,"26.5"
"Vierling, Matt",663837,2023,26,479,530,125,89,21,5,10,112,44,21.1,8.3,".261",".388",".329","0.717","0.127",".321","44","6","6","1","63",".266",".396",".322",".335","89.1","9.1",32.2,4.6,42.8,"100.577331105","94.490701519",19.4,44.3,"29.1"
"Renfroe, Hunter",592669,2023,31,498,548,116,65,31,0,20,125,44,22.8,8,".233",".416",".297","0.713","0.183",".270","60","0","0","0","60",".225",".366",".289",".291","88.3","15",29.5,6.1,39.1,"100.508778984","94.37524563",26.4,50.8,"26.8"
"Rivera, Emmanuel",656896,2023,27,257,283,67,50,13,0,4,56,22,19.8,7.8,".261",".358",".314","0.672","0.097",".313","29","0","1","0","32",".263",".395",".312",".319","90.7","11.2",35.6,5.9,46.3,"100.267371553","94.647965854",26.7,46.7,"27.1"
"Garrett, Stone",656448,2023,27,234,271,63,37,17,0,9,82,26,30.3,9.6,".269",".457",".343","0.800","0.188",".365","40","1","3","0","40",".263",".441",".345",".344","91.1","17.3",37.6,9.6,48.4,"102.21494641","95.483708974",32.6,52.8,"28.5"
"Marsh, Brandon",669016,2023,25,404,472,112,69,25,6,12,144,59,30.5,12.5,".277",".458",".372","0.830","0.181",".397","60","2","10","2","58",".234",".391",".322",".337","91.3","12.4",37.7,9.1,48.7,"100.732382538","94.960692423",27.4,42.4,"28.6"
"Odor, Rougned",596059,2023,29,138,157,28,15,9,0,4,37,17,23.6,10.8,".203",".355",".299","0.654","0.152",".247","18","1","2","0","21",".241",".391",".320",".333","90.1","19.9",38.6,6.9,37.6,"99.290219","94.0237374",27.1,48.5,"26.8"
"Aranda, Jonathan",666018,2023,25,87,103,20,13,4,1,2,31,13,30.1,12.6,".230",".368",".340","0.708","0.138",".327","13","0","0","1","13",".192",".303",".276",".308","89","8.4",26.3,5.3,43.9,"98.83416931","93.60544",29.6,44.3,"26.1"
"Pereira, Everson",677592,2023,22,93,103,14,10,4,0,0,40,8,38.8,7.8,".151",".194",".233","0.427","0.043",".264","10","0","4","0","6",".214",".306",".270",".290","91.9","10",39.6,7.5,54.7,"101.939197778","95.917055283",43.1,52.6,"28.0"
"Riley, Austin",663586,2023,26,636,715,179,107,32,3,37,172,59,24.1,8.3,".281",".516",".345","0.861","0.235",".324","97","1","3","4","117",".273",".516",".365",".342","92.3","13.5",35.2,13.9,49.2,"103.384251814","96.274145591",27.8,48.2,"28.1"
"Caratini, Victor",605170,2023,29,201,226,52,41,4,0,7,45,19,19.9,8.4,".259",".383",".327","0.710","0.124",".296","25","1","1","0","23",".258",".377",".310",".327","91.3","10.8",23.3,5,44.7,"101.5286345","95.04057195",21.1,45.3,"25.0"
"Bethancourt, Christian",542194,2023,31,315,332,71,44,16,0,11,91,13,27.4,3.9,".225",".381",".254","0.635","0.156",".278","33","0","1","0","49",".215",".376",".266",".244","88.6","11.3",28.5,7.9,40.8,"99.662215893","94.065729509",36.6,59.6,"27.4"
"Barnhart, Tucker",571466,2023,32,109,123,22,18,3,0,1,42,12,34.1,9.8,".202",".257",".285","0.542","0.055",".313","9","0","1","0","6",".177",".229",".234",".268","87","16.5",30.9,1.5,23.5,"94.835397941","91.474245672",25.3,47.1,"23.2"
"McGuire, Reese",624512,2023,28,187,206,50,36,12,1,1,53,11,25.7,5.3,".267",".358",".310","0.668","0.091",".366","16","1","2","0","15",".207",".281",".242",".256","84","2.8",33.6,2.9,27,"95.837614394","91.965886641",23.1,53.2,"25.9"
"Taveras, Leody",665750,2023,24,511,554,136,88,31,3,14,117,35,21.1,6.3,".266",".421",".312","0.733","0.155",".318","67","4","14","0","67",".270",".407",".319",".320","90.1","10.2",35.2,7.2,43.1,"100.592817638","94.514120854",24.2,49.4,"29.1"
"Cronenworth, Jake",630105,2023,29,458,522,105,64,24,7,10,97,46,18.6,8.8,".229",".378",".312","0.690","0.149",".267","48","1","6","2","54",".238",".370",".305",".321","87.4","15.2",35.7,4.4,33.2,"97.73147257","92.917093417",16,47.6,"28.3"
"Triolo, Jared",669707,2023,25,181,209,54,42,9,0,3,63,24,30.1,11.5,".298",".398",".388","0.786","0.100",".440","21","1","6","0","30",".257",".378",".326",".352","86.6","10.6",39.5,5.9,33.6,"98.027101167","93.167449076",32.4,43.7,"28.4"
"Heim, Jonah",641680,2023,28,457,501,118,72,28,0,18,96,40,19.2,8,".258",".438",".317","0.755","0.180",".289","95","0","2","2","61",".256",".435",".324",".318","89.2","17.3",34.3,8,38.5,"99.154937912","93.809775675",22.5,52,"25.8"
"Young, Jacob",696285,2023,23,107,121,27,19,7,1,0,22,10,18.2,8.3,".252",".336",".322","0.658","0.084",".318","12","0","13","0","9",".234",".311",".279",".305","86.4","1.8",31.8,0,30.7,"96.998412927","92.554752222",20.9,46.1,"30.0"
"Gurriel, Yuli",493329,2023,39,298,329,73,50,16,3,4,44,26,13.4,7.9,".245",".359",".304","0.663","0.114",".272","27","0","4","3","32",".237",".320",".273",".299","88.6","16.5",32.2,1.9,34.9,"97.568536744","92.903397315",16,46.8,"27.2"
"Schwarber, Kyle",656941,2023,30,585,720,115,48,19,1,47,215,126,29.9,17.5,".197",".474",".343","0.817","0.277",".209","104","2","0","5","108",".220",".485",".364",".362","92.4","19",34.3,16.4,48.8,"103.398490108","96.18179379",31.5,37.7,"25.0"
"Zunino, Mike",572287,2023,32,124,140,22,12,7,0,3,61,15,43.6,10.7,".177",".306",".271","0.577","0.129",".317","11","0","0","0","11",".157",".269",".240",".254","85.9","15.1",28.6,7.9,34.9,"99.668005625","93.953864127",42.8,46.7,"26.0"
"Moore, Dylan",664238,2023,30,145,165,30,13,9,1,7,56,16,33.9,9.7,".207",".428",".303","0.731","0.221",".280","19","3","7","0","18",".203",".432",".317",".299","89","21.4",40.4,16.9,44.9,"100.440584889","94.544615618",33.4,46,"27.7"
"Pollock, AJ",572041,2023,35,133,144,22,13,4,0,5,32,9,22.2,6.3,".165",".308",".215","0.523","0.143",".173","15","1","0","0","15",".201",".359",".267",".252","89.4","13",24.3,6.8,41.7,"99.325343077","93.993071942",25.8,51.5,"28.8"
"Cruz, Nelson",443558,2023,42,143,152,35,24,5,1,5,46,6,30.3,3.9,".245",".399",".283","0.682","0.154",".323","23","0","1","1","9",".242",".417",".297",".281","92.4","10.2",33.7,9.2,48,"103.031683673","96.058311429",36.1,52.3,"24.7"
"Velázquez, Nelson",676369,2023,24,162,179,38,15,6,0,17,51,14,28.5,7.8,".235",".586",".302","0.888","0.351",".221","34","0","0","0","35",".255",".575",".374",".321","91","14.4",31.3,21.4,49.1,"102.412957857","95.873260446",33.7,50.1,"27.2"
"Madrigal, Nick",663611,2023,26,270,294,71,52,16,1,2,24,10,8.2,3.4,".263",".352",".311","0.663","0.089",".283","28","2","10","0","34",".275",".337",".294",".323","86.2","3.7",29.9,0.8,27.5,"95.88199459","91.943884016",9.4,45,"28.0"
"De La Cruz, Bryan",650559,2023,26,579,626,149,98,32,0,19,142,40,22.7,6.4,".257",".411",".304","0.715","0.154",".307","78","1","4","0","60",".273",".445",".331",".321","89.9","11.8",41,8.8,42.5,"100.272527091","94.400399818",28.7,50.1,"27.7"
"Suzuki, Seiya",673548,2023,28,515,583,147,90,31,6,20,130,59,22.3,10.1,".285",".485",".357","0.842","0.200",".341","74","7","6","3","75",".283",".469",".357",".358","91.4","10.8",36.5,10.5,48,"102.157061122","95.610201816",21.3,40.9,"28.5"
"Adams, Riley",656180,2023,27,143,158,39,20,13,2,4,45,11,28.5,7,".273",".476",".331","0.807","0.203",".368","21","0","0","0","8",".227",".353",".283",".289","89.9","18.1",42,5,41,"101.2133664","94.80910202",28.3,52.9,"26.2"
"Laureano, Ramón",657656,2023,28,361,404,81,50,18,4,9,114,33,28.2,8.2,".224",".371",".304","0.675","0.147",".301","35","1","12","0","46",".232",".379",".307",".312","88.2","12.9",34.7,9.7,35.9,"98.923313496","93.530379634",29,46.8,"27.9"
