All Second Basemen 2023  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
W ,Logan Warmoth 2B | SEA ,0,.000,0,0,0,9999
W ,Jace Conrad 2B | TB ,0,.000,0,0,0,9999
W ,Colby Halter 2B | ATH ,0,.000,0,0,0,9999
W ,Eddy Alvarez 2B | ATL ,0,.000,0,0,0,9999
W ,Luis Santos 2B | NYY ,0,.000,0,0,0,9999
W ,Darnell Sweeney 2B | TOR ,0,.000,0,0,0,9999
W ,L.J. Talley 2B | TOR ,0,.000,0,0,0,9999
W ,Quinn McDaniel 2B | SF ,0,.000,0,0,0,9999
W ,Ambioris Tavarez 2B | ATL ,0,.000,0,0,0,9999
W ,Trent Gilbert 2B | ATH ,0,.000,0,0,0,9999
W ,Alex Yarbrough 2B | MIA ,0,.000,0,0,0,9999
W ,Brian Rey 2B | CIN ,0,.000,0,0,0,9999
W ,Luis Silva 2B | TOR,0,.000,0,0,0,9999
W ,Angeudis Santos 2B | MIA ,0,.000,0,0,0,9999
W ,Kevin Taylor 2B | NYM ,0,.000,0,0,0,9999
W ,Adrian Rondon 2B | LAA ,0,.000,0,0,0,9999
W ,Carson Tucker 2B | CLE ,0,.000,0,0,0,9999
W ,"Javier Sanoja 2B,3B,OF | MIA",0,.000,0,0,0,9999
W ,Junior Arrojo 2B | MIA ,0,.000,0,0,0,9999
W ,Jeremias Pineda 2B | MIA ,0,.000,0,0,0,9999
W ,Jonathan Johnson 2B | NYM ,0,.000,0,0,0,9999
Trex,Jackson Holliday 2B | BAL,0,.000,0,0,0,9999
W ,Kyle Kasser 2B | LAA ,0,.000,0,0,0,9999
W ,Nick Goodwin 2B | TOR ,0,.000,0,0,0,9999
W ,Chad Stevens 2B | LAA ,0,.000,0,0,0,9999
W ,Luis Ravelo 2B | BOS ,0,.000,0,0,0,9999
W ,Yairo Munoz 2B | ARI ,0,.000,0,0,0,9999
W ,David Gonzalez 2B | DET ,0,.000,0,0,0,9999
W ,Buck Britton 2B | MIN ,0,.000,0,0,0,9999
W ,Patrick Brady 2B | SEA ,0,.000,0,0,0,9999
W ,Jeral Perez 2B | CHW ,0,.000,0,0,0,9999
W ,"Ryan Ritter 2B,SS | COL",0,.000,0,0,0,9999
W ,Kean Wong 2B | SEA ,0,.000,0,0,0,9999
W ,Rafael P Valera 2B | MIN ,0,.000,0,0,0,9999
W ,Adrian Pinto 2B | TOR ,0,.000,0,0,0,9999
W ,Hutton Moyer 2B | LAA ,0,.000,0,0,0,9999
W ,Felix Morrobel 2B | LAA ,0,.000,0,0,0,9999
W ,Jheremy Vargas 2B | MIL ,0,.000,0,0,0,9999
W ,Jack Lopez 2B | SEA ,0,.000,0,0,0,9999
W ,Aaron Bracho 2B | LAD ,0,.000,0,0,0,9999
W ,Ali Castillo 2B | PHI ,0,.000,0,0,0,9999
W ,D.J. Burt 2B | KC ,0,.000,0,0,0,9999
W ,Daniel Brito 2B | PHI ,0,.000,0,0,0,9999
W ,Yordany De Los Santos 2B | PIT ,0,.000,0,0,0,9999
W ,Christian Martin 2B | STL ,0,.000,0,0,0,9999
W ,Abel Bastidas 2B | DET ,0,.000,0,0,0,9999
W ,Tommy Troy 2B | ARI ,0,.000,0,0,0,9999
W ,"Max Muncy 2B,3B | ATH",0,.000,0,0,0,9999
W ,Adael Amador 2B | COL,0,.000,0,0,0,9999
W ,Nick Yorke 2B | PIT,0,.000,0,0,0,9999
W ,"Daniel Schneemann 2B,3B,OF | CLE",0,.000,0,0,0,9999
W ,Corey Toups 2B | KC ,0,.000,0,0,0,9999
W ,Michael Arroyo 2B | SEA ,0,.000,0,0,0,9999
W ,Dylan O'Rae 2B | MIL ,0,.000,0,0,0,9999
W ,Jason Leblebijian 2B | TOR ,0,.000,0,0,0,9999
W ,Viandel Pena 2B | WAS ,0,.000,0,0,0,9999
W ,Trey Hair 2B | TEX ,0,.000,0,0,0,9999
W ,Luke Dykstra 2B | ATL ,0,.000,0,0,0,9999
W ,Luisangel Acuna 2B | NYM,0,.000,0,0,0,9999
W ,Nick Lovullo 2B | BOS ,0,.000,0,0,0,9999
W ,JD Dix 2B | ARI ,0,.000,0,0,0,9999
W ,Kevin Santa 2B | SEA ,0,.000,0,0,0,9999
W ,Patrick Dorrian 2B | MIL ,0,.000,0,0,0,9999
W ,Connor Hollis 2B | SD ,0,.000,0,0,0,9999
W ,Angel Franco 2B | KC ,0,.000,0,0,0,9999
W ,Max Ferguson 2B | BOS,0,.000,0,0,0,9999
W ,Angelo Gumbs 2B | CIN ,0,.000,0,0,0,9999
W ,Richie Martin 2B | LAA ,0,.000,0,0,0,9999
W ,Justin Riemer 2B | BOS ,0,.000,0,0,0,9999
W ,Luis Valdez 2B | BAL ,0,.000,0,0,0,9999
W ,DJ Layton 2B | BAL ,0,.000,0,0,0,9999
W ,Greg Cullen 2B | BAL ,0,.000,0,0,0,9999
W ,Rubendy Jaquez 2B | KC ,0,.000,0,0,0,9999
W ,Fernando Perez 2B | SD ,0,.000,0,0,0,9999
W ,Juan Perez 2B | CHW ,0,.000,0,0,0,9999
W ,Cesar Prieto 2B | STL,0,.000,0,0,0,9999
W ,Hunter Haas 2B | TB ,0,.000,0,0,0,9999
W ,Jordan Cowan 2B | ATL ,0,.000,0,0,0,9999
W ,Clayton Daniel 2B | LAD ,0,.000,0,0,0,9999
W ,Ruben Sosa 2B | KC,0,.000,0,0,0,9999
W ,Cody Freeman 2B | TEX,0,.000,0,0,0,9999
W ,Grant Kay 2B | TB ,0,.000,0,0,0,9999
W ,Ahbram Liendo 2B | BOS ,0,.000,0,0,0,9999
W ,Reivaj Garcia 2B | CHC ,0,.000,0,0,0,9999
W ,Fraymi De Leon 2B | BOS ,0,.000,0,0,0,9999
W ,Dickie Joe Thon 2B | STL ,0,.000,0,0,0,9999
W ,Cesar Izturis Jr. 2B | SEA ,0,.000,0,0,0,9999
W ,Emerson Landoni 2B | ATL ,0,.000,0,0,0,9999
W ,Emilien Pitre 2B | TB ,0,.000,0,0,0,9999
W ,Aroon Escobar 2B | PHI ,0,.000,0,0,0,9999
W ,J.J. Franco 2B | NYM ,0,.000,0,0,0,9999
W ,Jake Rucker 2B | MIN ,0,.000,0,0,0,9999
W ,Rafael Ramirez 2B | WAS ,0,.000,0,0,0,9999
W ,Christian Donahue 2B | CHC ,0,.000,0,0,0,9999
W ,Eric Brown 2B | MIL ,0,.000,0,0,0,9999
W ,Luis Marquez 2B | TEX ,0,.000,0,0,0,9999
W ,Thomas Coyle 2B | TB ,0,.000,0,0,0,9999
W ,Jimmy Govern 2B | KC ,0,.000,0,0,0,9999
W ,Eddinson Paulino 2B | TOR ,0,.000,0,0,0,9999
W ,Kevin Josephina 2B | ATL ,0,.000,0,0,0,9999
W ,Reed Gragnani 2B | BOS ,0,.000,0,0,0,9999
W ,Austin Gauthier 2B | LAD ,0,.000,0,0,0,9999
W ,Derrik Gibson 2B | COL ,0,.000,0,0,0,9999
W ,Jonathan Piron 2B | COL ,0,.000,0,0,0,9999
W ,Leonardo Rivas 2B | SEA,0,.000,0,0,0,9999
W ,Tom Belza 2B | ARI ,0,.000,0,0,0,9999
W ,Luis Santana 2B | HOU ,0,.000,0,0,0,9999
W ,Connor Kopach 2B | SEA ,0,.000,0,0,0,9999
W ,Juan Benjamin 2B | CLE ,0,.000,0,0,0,9999
W ,Alex De Goti 2B | TEX ,0,.000,0,0,0,9999
W ,Chandler Pollard 2B | TEX ,0,.000,0,0,0,9999
W ,Angel Pierre 2B | BOS ,0,.000,0,0,0,9999
W ,Raul Rivas 2B | PHI ,0,.000,0,0,0,9999
W ,Danyer Cueva 2B | TEX ,0,.000,0,0,0,9999
W ,Josh Adamczewski 2B | MIL ,0,.000,0,0,0,9999
W ,Heiker Meneses 2B | PHI ,0,.000,0,0,0,9999
W ,Mitch Voit 2B | NYM ,0,.000,0,0,0,9999
W ,Brett Netzer 2B | BOS ,0,.000,0,0,0,9999
W ,Nick Shaw 2B | MIL ,0,.000,0,0,0,9999
W ,Will Wilson 2B | CLE ,0,.000,0,0,0,9999
W ,Noelberth Romero 2B | BAL ,0,.000,0,0,0,9999
W ,Mac Seibert 2B | TB ,0,.000,0,0,0,9999
W ,Rougned Jose Odor 2B | TEX ,0,.000,0,0,0,9999
W ,Hector Vargas 2B | CIN ,0,.000,0,0,0,9999
W ,Cobie Vance 2B | MIA ,0,.000,0,0,0,9999
W ,Scott Kingery 2B | LAA ,0,.000,0,0,0,9999
W ,Alsander Womack 2B | CHW ,0,.000,0,0,0,9999
W ,Diego Velasquez 2B | SF ,0,.000,0,0,0,9999
W ,Deiner Lopez 2B | BOS ,0,.000,0,0,0,9999
W ,Miguel Hiraldo 2B | TOR ,0,.000,0,0,0,9999
W ,"Chase Meidroth 2B,SS | CHW",0,.000,0,0,0,9999
W ,J.C. Rodriguez 2B | NYM ,0,.000,0,0,0,9999
W ,Jose Curpa 2B | ARI ,0,.000,0,0,0,9999
W ,Reinaldo Ilarraza 2B | SD ,0,.000,0,0,0,9999
W ,Peyton Wilson 2B | KC ,0,.000,0,0,0,9999
W ,Joe Bennie 2B | ATH ,0,.000,0,0,0,9999
W ,Benjamin Blackwell 2B | TEX ,0,.000,0,0,0,9999
W ,Brandon Montgomery 2B | LAD ,0,.000,0,0,0,9999
W ,J.T. Arruda 2B | WAS ,0,.000,0,0,0,9999
W ,Jose Fernandez 2B | HOU ,0,.000,0,0,0,9999
W ,Yolbert Sanchez 2B | ATL,0,.000,0,0,0,9999
W ,Gage Miller 2B | MIA ,0,.000,0,0,0,9999
W ,Tanner Nishioka 2B | BOS ,0,.000,0,0,0,9999
W ,Maxwell Leon 2B | DET ,0,.000,0,0,0,9999
W ,Joe Sever 2B | CLE ,0,.000,0,0,0,9999
W ,Robert Moore 2B | PHI ,0,.000,0,0,0,9999
W ,Hye Seong Kim 2B | LAD,0,.000,0,0,0,9999
W ,Raynel Delgado 2B | MIL ,0,.000,0,0,0,9999
W ,Eddy Diaz 2B | COL ,0,.000,0,0,0,9999
W ,Amado Nunez 2B | CHW ,0,.000,0,0,0,9999
W ,Yonathan Perlaza 2B | SD ,0,.000,0,0,0,9999
W ,Billy Fleming 2B | MIA ,0,.000,0,0,0,9999
W ,Jake Scheiner 2B | SEA ,0,.000,0,0,0,9999
W ,Mario Camilletti 2B | CHW ,0,.000,0,0,0,9999
W ,Jhonny Bethencourt 2B | CHC ,0,.000,0,0,0,9999
W ,Orelvis Martinez 2B | TOR ,0,.000,0,0,0,9999
W ,Kervin Suarez 2B | BOS ,0,.000,0,0,0,9999
W ,Luigi Rodriguez 2B | SF ,0,.000,0,0,0,9999
W ,Jake Peter 2B | LAD ,0,.000,0,0,0,9999
W ,Jordan Howard 2B | ARI ,0,.000,0,0,0,9999
W ,Grant Williams 2B | BOS ,0,.000,0,0,0,9999
W ,Trey Snyder 2B | NYM ,0,.000,0,0,0,9999
W ,Gerson Montilla 2B | CHW ,0,.000,0,0,0,9999
W ,Delvis Morales 2B | LAD ,0,.000,0,0,0,9999
W ,Casey Cook 2B | TEX ,0,.000,0,0,0,9999
W ,Cade Bunnell 2B | ATL ,0,.000,0,0,0,9999
W ,Loidel Chapelli 2B | CHW ,0,.000,0,0,0,9999
W ,Keithron Moss 2B | TEX ,0,.000,0,0,0,9999
W ,Rikelbin De Castro 2B | TOR,0,.000,0,0,0,9999
W ,Daniel Paolini 2B | SEA ,0,.000,0,0,0,9999
W ,Nick Lucky 2B | MIN ,0,.000,0,0,0,9999
W ,Chris Rivera 2B | STL ,0,.000,0,0,0,9999
W ,Ryan Dent 2B | CHC ,0,.000,0,0,0,9999
W ,Kobe Kato 2B | ATL ,0,.000,0,0,0,9999
W ,Omar Obregon 2B | ATL ,0,.000,0,0,0,9999
W ,Trace Tam Sing 2B | PIT ,0,.000,0,0,0,9999
W ,Nate Furman 2B | SF ,0,.000,0,0,0,9999
W ,Brice Matthews 2B | HOU,0,.000,0,0,0,9999
W ,Pedro Martinez 2B | PHI ,0,.000,0,0,0,9999
W ,Dangelo Sarmiento 2B | NYM ,0,.000,0,0,0,9999
W ,Ricardo Gonzalez 2B | TB ,0,.000,0,0,0,9999
W ,Peyton Stovall 2B | CIN ,0,.000,0,0,0,9999
W ,Armando Cruz 2B | WAS ,0,.000,0,0,0,9999
W ,Darren Baker 2B | WAS,0,.000,0,0,0,9999
W ,Nick Ward 2B | ATL,0,.000,0,0,0,9999
W ,Joey Pankake 2B | DET ,0,.000,0,0,0,9999
W ,Jose Salas 2B | MIN ,0,.000,0,0,0,9999
