All Shortstops 2021  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
W ,Dyan Jorge SS | COL ,0,.000,0,0,0,9999
W ,Connor Heady SS | LAD ,0,.000,0,0,0,9999
W ,Grayson Byrd SS | CHC ,0,.000,0,0,0,9999
W ,Roberto Baldoquin SS | LAA ,0,.000,0,0,0,9999
W ,Sammy Stafura SS | CIN ,0,.000,0,0,0,9999
W ,Maick Collado SS | CLE ,0,.000,0,0,0,9999
W ,Jared Serna SS | MIA ,0,.000,0,0,0,9999
W ,Dorian Soto SS | BOS ,0,.000,0,0,0,9999
W ,Mott Hyde SS | HOU ,0,.000,0,0,0,9999
W ,Johnny Adams SS | SEA ,0,.000,0,0,0,9999
W ,Emmanuel Marrero SS | PHI ,0,.000,0,0,0,9999
W ,Jett Williams SS | NYM ,0,.000,0,0,0,9999
W ,Jose Martinez SS | MIN ,0,.000,0,0,0,9999
W ,Angel Miguel SS | CLE ,0,.000,0,0,0,9999
W ,Jose Vinicio SS | ARI ,0,.000,0,0,0,9999
W ,Tucker Neuhaus SS | MIL ,0,.000,0,0,0,9999
Young Guns,"Anthony Volpe SS | NYY ",0,.000,0,0,0,9999
W ,Kervin Pichardo SS | PIT ,0,.000,0,0,0,9999
W ,Edryn Rodriguez SS | SEA ,0,.000,0,0,0,9999
W ,Jack Lines SS | TB ,0,.000,0,0,0,9999
W ,Garrett Mattlage SS | DET ,0,.000,0,0,0,9999
W ,Tsung-Che Cheng SS | PIT,0,.000,0,0,0,9999
W ,Timothy Borden SS | HOU ,0,.000,0,0,0,9999
W ,Simon Whiteman SS | SF ,0,.000,0,0,0,9999
W ,Jeral Toledo SS | PIT ,0,.000,0,0,0,9999
W ,Ghordy Santos SS | SF ,0,.000,0,0,0,9999
W ,Noah Perio SS | SD ,0,.000,0,0,0,9999
W ,Jose Alexander Martinez SS | STL ,0,.000,0,0,0,9999
W ,Brandon Grudzielanek SS | TOR ,0,.000,0,0,0,9999
W ,Tyler Bortnick SS | ARI ,0,.000,0,0,0,9999
