Action,Avail,Player,INNs,APP,GS,QS,CG,W,L,S,BS,HD,K,BB,H,ERA,WHIP,Rank
,W,JoJo Romero P • STL,55,57,0,0,0,5,4,5,3,22,51,21,45,2.77,1.19,443
,W,Charlie Morton P • ATL,153,32,28,10,0,10,11,0,0,0,161,72,152,4.82,1.46,444
,W,Aaron Ashby P • MIL,52,32,1,0,0,4,2,2,0,5,60,19,41,2.24,1.15,449
,Magnum...,Kris Bubic P • KC,70,19,11,6,0,4,4,0,1,2,73,21,61,2.7,1.17,450
,W,Lucas Erceg P • KC,60,59,0,0,0,5,5,5,4,19,59,21,52,3.3,1.22,452
,Gashou...,Jeremiah Estrada P • SD,56,60,0,0,0,4,3,2,2,20,85,23,44,3.49,1.18,454
,Young ...,Quinn Priester P • MIL,103,20,16,5,0,8,4,0,0,0,83,35,101,3.92,1.32,457
,Gashou...,Garrett Whitlock P • BOS,55,37,3,1,0,5,2,1,2,13,65,17,48,2.91,1.17,458
,Young ...,Cameron Schlittler P • NYY,73,14,14,5,0,4,3,0,0,0,84,31,58,2.96,1.22,459
,Like a...,Justin Verlander P • SF,135,25,25,11,0,6,9,0,0,0,120,43,135,4.06,1.32,461
,W,Trevor Stephan P • CLE,68,71,0,0,0,7,7,2,7,28,75,26,63,4.06,1.3,463
,W,Jeffrey Springs P • ATH,98,19,18,8,0,6,6,0,0,0,85,31,88,3.95,1.21,466
,W,Craig Kimbrel P • HOU,35,38,0,0,0,4,3,12,3,4,49,18,26,4.08,1.25,467
,W,Brant Hurter P • DET,56,31,3,0,0,5,2,1,0,4,57,19,48,2.56,1.19,468
,W,Luis Severino P • ATH,153,28,27,10,0,8,9,0,0,0,126,50,153,4.58,1.32,471
,W,Orion Kerkering P • PHI,49,54,1,0,0,6,3,2,4,14,56,19,43,2.94,1.27,472
,W,Hunter Gaddis P • CLE,64,62,1,0,0,3,2,2,4,27,61,18,50,2.81,1.06,475
,W,Aaron Civale P • CHC,123,25,23,5,0,6,8,0,0,0,112,39,117,4.37,1.26,477
,W,Reese Olson P • DET,88,17,17,5,0,4,6,0,0,0,83,29,76,3.45,1.18,480
,Trex,Tomoyuki Sugano P • BAL,157,30,30,10,0,10,10,0,0,0,106,36,173,4.64,1.33,482
,Trex,Randy Rodriguez P • SF,51,44,0,0,0,3,4,2,3,10,62,14,39,2.81,1.03,483
,Big St...,Andrew Kittredge P • BAL,49,52,0,0,0,4,3,3,3,19,54,12,41,3.08,1.07,484
,W,Garrett Cleavinger P • TB,51,57,0,0,0,3,4,3,3,15,65,20,37,2.82,1.12,489
,W,Joe Jimenez P • ATL,63,65,0,0,0,1,4,2,2,21,78,19,47,2.84,1.04,492
,W,Matt Brash P • SEA,53,60,0,0,0,3,3,4,1,22,72,21,48,2.68,1.29,495
,W,Bryan King P • HOU,52,53,0,0,0,4,2,1,2,17,55,11,45,2.77,1.08,496
,W,Braxton Ashcraft P • PIT,69,26,8,0,0,4,4,0,1,4,71,24,63,2.71,1.25,497
,W,Braxton Garrett P • MIA,85,17,16,5,1,5,4,0,0,0,83,14,86,4.1,1.17,498
,Dawg,Abner Uribe P • MIL,48,48,0,0,0,2,2,5,2,20,57,21,33,2.25,1.12,499
,W,Daniel Hudson P • LAD,38,40,0,0,0,4,1,6,4,11,40,13,28,3.03,1.06,503
,W,Cole Sands P • MIN,61,56,2,0,0,5,3,3,3,8,62,16,54,4.09,1.14,505
,Young ...,Yu Darvish P • SD,87,17,17,5,0,6,5,0,0,0,86,25,79,4.53,1.19,506
,W,Taj Bradley P • MIN,133,26,25,10,0,6,9,0,0,0,136,50,123,4.86,1.3,507
,W,Alexis Diaz P • ATL,38,41,0,0,0,3,3,16,2,2,42,22,29,4.66,1.32,512
,W,Jake Junis P • CLE,70,44,3,0,0,4,1,0,0,3,62,16,65,3.07,1.15,513
,Long B...,Max Scherzer P • TOR,85,17,17,7,0,6,5,0,0,0,88,24,81,4.52,1.23,514
,W,Seranthony Dominguez P • TOR,58,64,0,0,0,4,4,5,3,15,70,29,47,3.68,1.3,515
,W,Evan Phillips P • LAD,31,34,0,0,0,2,1,11,2,5,35,9,24,2.61,1.06,516
,W,Joey Cantillo P • CLE,73,25,11,2,0,4,3,1,0,1,84,32,62,3.54,1.28,519
,W,Davidjohn Herz P • WAS,88,19,19,2,0,4,9,0,0,0,106,36,76,4.16,1.26,520
,W,Anthony Bender P • MIA,51,54,0,0,0,4,4,3,3,18,48,20,39,2.82,1.16,522
,Rieken...,Pierce Johnson P • ATL,58,63,0,0,0,4,4,4,3,14,68,23,53,3.39,1.3,525
,W,Bennett Sousa P • HOU,38,33,0,0,0,4,1,3,1,5,45,11,28,3.05,1.02,527
,MAGA D...,Reynaldo Lopez P • ATL,56,22,8,4,0,3,3,1,1,5,62,20,47,2.41,1.2,528
,Like a...,Keegan Akin P • BAL,59,57,2,0,0,4,3,4,4,10,64,24,50,3.62,1.24,530
,W,Gavin Stone P • LAD,96,18,17,6,1,7,3,0,0,0,78,27,98,4.2,1.3,532
,W,Hector Neris P • HOU,44,50,0,0,0,6,3,6,3,12,52,23,39,4.23,1.39,534
,W,Andrew Nardi P • MIA,52,61,0,0,0,5,2,1,4,16,71,19,44,4.13,1.2,536
,W,Jordan Montgomery P • MIL,145,28,25,12,0,9,9,1,0,0,116,46,160,4.64,1.42,537
,W,Cody Bradford P • TEX,68,16,11,5,0,5,3,0,0,0,62,13,61,4.1,1.09,538
,Young ...,Jacob Misiorowski P • MIL,66,15,14,3,0,5,3,0,0,0,87,31,51,4.36,1.24,540
,W,Tanner Banks P • PHI,67,60,2,0,0,4,3,1,3,8,64,17,60,3.61,1.14,541
,W,Drew Pomeranz P • CHC,49,57,4,0,0,2,2,1,2,14,57,15,38,2.17,1.07,542
,W,Tobias Myers P • MIL,83,24,13,3,0,4,4,0,0,1,71,23,81,3.24,1.25,544
,W,Buck Farmer P • CIN,72,65,1,0,0,3,3,2,1,5,70,29,57,3.47,1.18,546
,W,Ryan Yarbrough P • NYY,79,28,6,2,0,5,2,1,1,0,60,22,69,3.99,1.15,547
,W,Dylan Lee P • ATL,56,57,0,0,0,2,3,1,4,13,66,14,46,3.04,1.07,548
,W,Jose Alvarado P • PHI,39,42,0,0,0,3,3,9,2,8,48,16,34,3.66,1.27,550
,W,Tony Santillan P • CIN,46,49,0,0,0,2,3,4,3,18,52,18,34,2.52,1.12,551
,W,Griffin Canning P • NYM,114,22,22,5,0,7,7,0,0,0,102,44,111,4.55,1.35,552
,W,Jose Butto P • SF,63,38,4,2,0,5,3,1,3,4,60,32,50,3.39,1.29,555
,W,Jacob Webb P • TEX,60,56,0,0,0,3,4,1,1,10,58,24,44,3.12,1.12,556
,W,Alec Marsh P • KC,107,22,18,3,0,7,9,0,0,0,108,39,105,4.88,1.35,558
,MAGA D...,Jack Leiter P • TEX,108,22,20,6,0,6,7,0,0,0,104,48,96,4.5,1.33,559
,W,Ben Lively P • CLE,85,17,16,3,0,6,5,0,0,0,66,27,80,4.01,1.25,561
,W,Carmen Mlodzinski P • PIT,71,36,7,0,0,5,6,0,1,5,65,23,69,3.41,1.29,562
,W,A.J. Puk P • ARI,36,34,1,0,0,3,4,6,3,6,48,12,30,3.44,1.15,563
,W,Brad Lord P • WAS,130,48,19,5,0,5,10,0,0,7,108,43,126,4.34,1.29,565
,Big St...,Daniel Palencia P • CHC,36,35,0,0,0,2,4,11,2,3,42,14,31,3.47,1.24,566
,W,David Robertson P • PHI,43,43,0,0,0,3,2,5,4,17,56,17,36,3.35,1.23,567
,W,Eduardo Rodriguez P • ARI,122,23,23,8,0,8,8,0,0,0,114,45,131,4.63,1.44,568
,W,Steven Okert P • HOU,57,60,1,0,0,3,2,1,3,10,66,19,44,3.75,1.09,569
,W,Robert Garcia P • TEX,56,62,0,0,0,3,6,4,5,12,63,18,51,3.54,1.23,570
,W,Tyson Miller P • CHC,43,39,0,0,0,3,1,1,1,9,36,9,29,2.72,0.88,571
,W,James Paxton P • BOS,98,20,20,7,0,8,4,0,0,0,84,43,94,4.49,1.39,572
,W,Miles Mikolas P • STL,169,32,32,11,0,9,11,0,0,0,114,34,188,5,1.31,573
,W,Luis Ortiz P • CLE,102,23,16,5,0,5,7,0,1,0,92,43,92,4.05,1.32,574
,W,Eduard Bazardo P • SEA,50,46,0,0,0,3,0,0,0,6,54,17,36,3.02,1.05,575
,W,Matthew Liberatore P • STL,113,37,18,6,0,6,8,0,1,2,93,33,116,4.36,1.31,576
,Like a...,Calvin Faucher P • MIA,51,52,1,0,0,3,3,9,3,7,53,22,47,3.71,1.35,577
,Magnum...,Grant Holmes P • ATL,97,24,16,6,0,3,6,0,0,0,103,39,87,3.88,1.29,579
,W,Simeon Woods Richardson P • MIN,96,20,19,4,0,5,4,0,0,0,90,38,87,4.2,1.3,580
,Big St...,Ian Seymour P • TB,57,19,5,1,0,4,3,0,1,0,64,19,48,3.63,1.18,581
,Guillo...,Kevin Ginkel P • ARI,46,48,0,0,0,5,3,4,3,10,52,16,43,4.24,1.26,582
,W,Greg Weissert P • BOS,56,58,0,0,0,4,4,2,6,11,50,18,52,3.04,1.24,583
,W,Tylor Megill P • NYM,82,17,16,3,0,6,6,0,0,0,93,38,79,4.26,1.42,587
