Action,Avail,Player,INNs,APP,GS,QS,CG,W,L,S,BS,HD,K,BB,H,ERA,WHIP,Rank
,W,Kyle Leahy P • STL,58,42,0,0,0,2,2,1,2,10,50,18,53,3.38,1.21,751
,W,Logan Evans P • SEA,81,16,15,2,0,6,5,0,1,0,59,31,82,4.32,1.39,754
,W,Bryce Elder P • ATL,127,23,23,11,0,7,8,0,0,0,105,43,135,5.09,1.4,755
,W,Tyler Phillips P • MIA,62,37,3,1,0,3,1,2,0,5,43,18,58,3.77,1.23,756
,W,Manuel Rodriguez P • TB,33,34,0,0,0,2,3,1,0,11,28,8,27,2.18,1.06,757
,W,Hunter Harvey P • KC,32,32,0,0,0,2,2,2,2,15,35,8,27,3.06,1.08,758
,W,Jack Perkins P • ATH,38,12,4,1,0,3,2,3,0,1,37,18,27,4.19,1.16,759
,W,Michael Baumann P • MIA,60,58,0,0,0,6,1,0,3,8,59,30,56,4.75,1.42,760
,W,Ryan Zeferjahn P • LAA,42,43,1,0,0,4,3,1,4,11,52,24,33,4.29,1.36,761
,W,Hogan Harris P • ATH,66,33,4,1,0,3,3,2,0,2,62,32,60,3.8,1.39,762
,W,A.J. Minter P • NYM,28,32,0,0,0,2,2,2,2,10,34,10,21,2.86,1.09,763
,W,Connor Phillips P • CIN,23,16,1,0,0,4,0,0,0,1,30,12,13,3.86,1.07,764
,W,Joel Payamps P • ATL,44,49,0,0,0,2,4,3,1,14,45,13,39,4.03,1.16,765
,W,Justin Martinez P • ARI,31,30,0,0,0,2,3,5,1,5,41,19,24,3.45,1.37,767
,W,Tommy Kahnle P • DET,52,56,0,0,0,1,4,5,3,16,48,25,40,3.63,1.25,769
,W,Sean Burke P • CHW,91,19,15,4,0,3,7,0,0,0,91,42,87,4.05,1.42,771
,W,Slade Cecconi P • CLE,94,19,16,6,0,4,6,0,0,0,78,22,96,4.87,1.25,772
,W,Nic Enright P • CLE,31,27,0,0,0,2,1,1,1,3,30,12,24,2.03,1.16,774
,W,Jacob Latz P • TEX,56,31,4,0,0,2,1,0,1,4,51,27,46,3.02,1.29,775
,W,Matt Festa P • CLE,36,39,0,0,0,4,2,0,1,6,38,12,29,4.5,1.14,776
,W,Parker Messick P • CLE,39,7,7,4,0,3,1,0,0,0,38,6,46,2.72,1.31,778
,W,Patrick Corbin P • TEX,166,32,31,9,0,7,12,0,0,0,132,53,185,4.99,1.43,780
,W,Aaron Bummer P • ATL,55,50,1,0,0,4,3,0,1,5,62,21,54,4.42,1.36,781
,W,Porter Hodge P • CHC,36,37,0,0,0,2,2,5,3,8,44,18,28,4.42,1.25,782
,W,Michael Kopech P • LAD,51,33,5,1,0,3,5,4,2,6,59,35,39,4.38,1.44,784
,W,Keider Montero P • DET,93,20,14,3,0,5,4,0,0,0,74,31,97,4.53,1.37,786
,W,Ben Brown P • CHC,87,21,12,3,0,4,6,1,1,1,100,27,91,5.38,1.36,787
,W,David Morgan P • SD,47,41,2,0,0,1,2,0,0,1,50,23,35,2.66,1.23,788
,W,Martin Perez P • CHW,96,20,17,6,0,4,6,0,0,0,73,36,95,4.19,1.36,789
,W,Sean Newcomb P • ATH,52,28,3,0,0,2,3,1,0,2,51,20,51,2.94,1.37,790
,W,Tyler Alexander P • CHW,89,38,5,0,0,5,9,0,1,2,77,23,95,5.02,1.32,791
,W,Brooks Raley P • NYM,25,31,0,0,0,2,1,1,0,11,27,9,16,2.49,0.99,793
,W,Randy Vasquez P • SD,103,22,20,6,0,5,6,0,0,0,64,38,104,4.09,1.37,794
,W,Jimmy Herget P • COL,51,38,0,0,0,1,2,0,1,6,50,16,46,2.82,1.22,795
,W,Riley O'Brien P • STL,33,29,0,0,0,2,1,4,2,4,32,17,26,3,1.3,798
,MAGA D...,Cristian Javier P • HOU,61,12,12,4,0,4,3,0,0,0,57,26,54,4.43,1.31,799
,W,Nick Mears P • MIL,49,51,0,0,0,3,3,0,4,13,50,16,42,4.38,1.18,800
,W,Tanner Houck P • BOS,96,18,18,8,0,4,6,0,0,0,82,31,96,4.69,1.32,801
,W,Jimmy Cordero P • NYY,32,31,1,0,0,3,2,0,0,8,34,10,25,3.86,1.07,802
,W,Chad Green P • TOR,40,41,0,0,0,3,3,6,1,6,34,12,40,4.72,1.3,804
,W,Grant Taylor P • CHW,36,36,2,0,0,2,4,6,1,9,54,15,37,4.91,1.42,805
,W,Marcus Stroman P • NYY,93,19,18,6,0,6,6,0,0,0,71,36,96,4.64,1.42,807
,Guillo...,Hurston Waldrep P • ATL,37,7,6,2,0,4,1,0,0,0,36,17,32,3.82,1.3,808
,W,Hunter Dobbins P • BOS,61,13,11,3,0,4,1,0,1,0,45,17,61,4.13,1.28,809
,W,Landon Knack P • LAD,52,12,9,2,0,3,3,1,0,0,52,19,47,4.33,1.27,811
,W,Tyler Wells P • BAL,38,8,7,3,0,2,2,0,0,0,36,9,30,3.72,1.01,812
,W,Vince Velasquez P • CLE,37,8,8,4,0,4,4,0,0,0,37,14,35,3.86,1.31,813
,W,Michael Burrows P • PIT,61,15,12,1,0,2,2,0,0,1,61,20,56,3.98,1.25,814
,W,Jhony Brito P • SD,62,26,5,0,0,4,4,0,2,0,46,17,62,4.21,1.27,815
,W,JT Chargois P • TEX,38,40,2,0,0,2,1,0,2,3,32,15,28,2.82,1.12,816
,W,Luke Jackson P • SEA,47,48,0,0,0,3,4,4,2,4,45,25,41,4.34,1.38,817
,W,Max Kranick P • NYM,37,24,0,0,0,3,2,0,1,5,25,5,34,3.65,1.05,819
,W,Angel Zerpa P • KC,56,56,2,0,0,4,2,0,2,11,51,18,60,4.13,1.38,822
,W,Jorge Lopez P • WAS,39,41,0,0,0,5,1,2,2,8,33,14,40,4.99,1.36,823
,W,Isaac Mattson P • PIT,31,29,0,0,0,2,2,0,2,8,30,14,22,2.56,1.14,824
,W,Kenta Maeda P • NYY,109,26,18,4,0,4,7,0,0,1,104,30,112,5.37,1.3,825
,W,Josh Sborz P • TEX,30,28,0,0,0,4,4,0,1,10,37,9,27,5.04,1.19,826
,W,Andrew Chafin P • LAA,43,52,0,0,0,2,2,2,2,9,52,24,39,3.32,1.45,828
,W,Joel Peguero P • SF,22,17,0,0,0,3,1,0,0,4,17,8,15,2.42,1.03,829
,W,Dietrich Enns P • BAL,46,24,3,0,0,3,3,2,0,4,49,15,50,4.08,1.4,830
,W,Louie Varland P • TOR,64,45,5,1,0,3,4,0,1,11,66,19,66,4.48,1.32,832
,W,Brent Suter P • CIN,67,50,3,0,0,2,2,1,1,2,52,18,66,3.9,1.25,833
,W,Carlos Vargas P • SEA,56,51,0,0,0,4,4,1,5,10,41,18,59,3.99,1.37,835
,W,Rhett Lowder P • CIN,30,6,6,1,0,2,2,0,0,0,22,14,25,1.17,1.27,836
