#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,ERA,FIP,WAR
190,Ryan Feltner,COL,6,9,0,27,19,115.1,7.4,3.49,1.38,0.315,68.70%,43.20%,5.18,4.77,0.9
191,Tanner Gordon,COL,7,11,0,26,26,147.2,6.17,2.21,1.78,0.308,68.10%,39.10%,5.47,5.17,0.9
192,Cristian Javier,HOU,8,11,0,28,28,157.1,8.25,3.67,1.63,0.283,71.10%,28.60%,4.95,5,0.9
193,Andrew Heaney,,7,8,0,23,23,121.1,7.61,2.91,1.47,0.292,71.10%,37.20%,4.65,4.71,0.9
194,Abner Uribe,MIL,4,3,24,72,0,72,10.85,4.1,0.76,0.296,76.40%,48.60%,3.15,3.32,0.9
195,Sawyer Gipson-Long,DET,5,5,0,56,6,86.1,8.13,2.43,1.12,0.295,72.40%,42.90%,3.89,3.88,0.9
196,JP Sears,SDP,9,11,0,40,28,162.1,7.69,2.55,1.63,0.284,71.80%,31.80%,4.63,4.79,0.9
197,Payton Tolle,BOS,4,4,0,38,8,75,9.19,3.11,1.21,0.294,73.70%,39.10%,3.96,3.99,0.9
198,Louis Varland,TOR,4,4,2,69,2,76,9.04,2.45,1.04,0.299,74.40%,46.50%,3.52,3.56,0.9
199,Colin Rea,CHC,7,9,0,41,21,136,7.15,2.69,1.41,0.294,71.00%,40.80%,4.57,4.6,0.8
200,Grant Holmes,ATL,5,5,0,39,11,91,9.07,3.32,1.13,0.304,72.70%,43.40%,4.08,3.98,0.8
201,José Alvarado,PHI,3,3,3,65,0,65,10.46,3.66,0.89,0.296,76.30%,47.30%,3.27,3.42,0.8
202,Garrett Whitlock,BOS,4,3,3,70,0,70,9.95,2.64,0.97,0.302,74.20%,43.50%,3.46,3.32,0.8
203,Robby Snelling,MIA,4,4,0,11,11,64.2,7.47,3.2,1.06,0.297,72.80%,46.80%,4.02,4.18,0.8
204,Luis Medina,ATH,6,7,0,38,16,112.1,8.05,3.82,1.27,0.297,71.60%,41.50%,4.55,4.6,0.8
205,David Bednar,NYY,4,3,33,65,0,65,10.9,3.07,1.04,0.284,76.10%,38.10%,3.3,3.35,0.8
206,Spencer Arrighetti,HOU,8,9,0,33,23,134.1,8.75,3.9,1.38,0.292,71.40%,38.10%,4.63,4.63,0.8
207,Johan Oviedo,PIT,4,4,0,34,8,70.1,8.83,3.64,1.07,0.297,72.60%,40.60%,4.07,4.08,0.8
208,Trevor Megill,MIL,3,3,7,66,0,66,11.15,3.25,1.03,0.289,75.30%,37.10%,3.41,3.33,0.8
209,Charlie Morton,,5,6,0,16,16,86.1,8.77,3.95,1.19,0.299,72.10%,43.70%,4.37,4.43,0.8
210,Will Vest,DET,4,3,26,68,0,68,9.18,2.81,0.8,0.3,74.70%,48.10%,3.27,3.3,0.8
211,Andrés Muñoz,SEA,4,3,32,64,0,64,11.36,3.63,0.76,0.29,77.10%,47.00%,2.92,3.06,0.8
212,Andrew Painter,PHI,7,9,0,34,21,133,6.99,3.28,1.4,0.293,71.10%,42.60%,4.69,4.79,0.8
213,Corbin Burnes,ARI,3,3,0,8,8,47.1,8.92,2.81,0.98,0.307,71.90%,46.20%,3.86,3.61,0.7
214,Jeff Hoffman,TOR,3,3,25,63,0,63,10.88,3.22,1.07,0.288,75.50%,37.20%,3.46,3.49,0.7
