#,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
90,Luis Arraez,SFG,129,592,6,72,52,9,5.10%,4.50%,0.098,0.31,0.305,0.345,0.403,0.326,111,0,7.9,-5.5,2.3
91,Taylor Ward,BAL,137,610,25,80,77,5,10.30%,24.00%,0.194,0.287,0.244,0.328,0.437,0.332,115,-1.5,9.2,-8.4,2.2
92,Ben Rice,NYY,108,465,23,62,68,4,10.30%,21.40%,0.228,0.267,0.246,0.332,0.474,0.347,125,-0.8,12.8,-7,2.2
93,Trent Grisham,NYY,106,478,20,65,52,5,12.80%,25.00%,0.194,0.255,0.219,0.326,0.412,0.324,109,-0.4,4.6,0.4,2.2
94,Royce Lewis,MIN,116,469,20,56,63,9,7.70%,21.50%,0.195,0.282,0.251,0.311,0.446,0.326,108,-0.2,4.4,0.8,2.2
95,Ian Happ,CHC,142,630,22,79,74,8,12.40%,23.80%,0.178,0.291,0.241,0.339,0.419,0.332,115,-0.8,10.2,-9.9,2.2
96,Otto Lopez,MIA,117,485,10,51,51,14,7.20%,15.10%,0.126,0.302,0.27,0.327,0.397,0.316,101,0.6,1,4.1,2.2
97,Michael Busch,CHC,116,518,24,72,64,3,10.40%,24.70%,0.218,0.292,0.248,0.334,0.466,0.344,123,-1.3,13,-9,2.2
98,Dillon Dingler,DET,84,329,10,35,38,1,6.80%,24.30%,0.159,0.299,0.245,0.305,0.404,0.308,96,-0.4,-1.8,8.2,2.2
99,Jakob Marsee,MIA,118,541,12,70,46,33,11.70%,22.50%,0.14,0.286,0.232,0.331,0.373,0.313,99,2.7,1.9,1.2,2.2
100,Colson Montgomery,CHW,116,508,23,58,66,3,8.70%,29.20%,0.197,0.27,0.221,0.299,0.417,0.31,98,-0.6,-1.8,5.3,2.2
101,Brent Rooker,ATH,139,608,30,82,90,5,9.60%,25.60%,0.228,0.303,0.257,0.335,0.485,0.35,123,-1,15.6,-15.4,2.2
102,JJ Wetherholt,STL,105,431,10,46,44,9,10.40%,17.70%,0.137,0.293,0.255,0.341,0.392,0.323,109,-0.1,4.7,2,2.1
103,Andrés Giménez,TOR,131,525,12,59,56,17,5.80%,17.20%,0.131,0.287,0.253,0.311,0.384,0.304,95,0.9,-2.4,5.3,2.1
