#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,ERA,FIP,WAR
141,Grant Holmes,ATL,8,7,0,35,19,124,8.82,3.42,1.17,0.304,72.20%,43.30%,4.22,4.12,1.2
142,Griffin Jax,TBR,4,3,12,67,0,67,11.34,2.73,0.85,0.295,76.60%,44.30%,2.94,2.86,1.2
143,Slade Cecconi,CLE,8,11,0,28,28,157.1,7.54,2.39,1.48,0.296,71.50%,39.50%,4.52,4.5,1.2
144,Edwin Díaz,LAD,4,3,36,66,0,66,12.38,3.28,0.9,0.288,76.30%,41.60%,3.03,2.92,1.1
145,Robby Snelling,MIA,5,6,0,16,16,92.1,7.45,3.2,1.06,0.297,72.70%,46.80%,4.03,4.18,1.1
146,Landen Roupp,SFG,8,8,0,33,23,132,8.33,3.54,1.02,0.3,72.20%,45.90%,4.09,4.05,1.1
147,Chris Paddack,MIA,7,9,0,41,21,135,7,2.27,1.44,0.296,70.90%,38.20%,4.55,4.51,1.1
148,Dean Kremer,BAL,8,9,0,42,21,139,7.77,2.7,1.42,0.297,71.90%,38.70%,4.47,4.45,1.1
149,Michael Lorenzen,COL,7,11,0,26,26,149,7.31,3.33,1.51,0.313,69.10%,41.50%,5.27,4.93,1.1
150,Adrian Houser,SFG,8,10,0,26,26,147.1,6.54,2.99,1.01,0.305,70.50%,49.40%,4.33,4.28,1.1
151,Patrick Sandoval,BOS,5,5,0,40,10,83.2,8.63,3.41,0.95,0.303,73.50%,46.40%,3.8,3.84,1.1
152,Lucas Giolito,,8,9,0,24,24,142.1,8.01,3.46,1.45,0.292,71.50%,37.00%,4.69,4.7,1.1
153,Cade Smith,CLE,4,3,30,70,0,70,11.35,2.84,0.88,0.292,76.70%,41.30%,2.98,2.96,1.1
154,Jose Quintana,COL,7,11,0,26,26,147.2,6.32,3.46,1.38,0.319,68.50%,44.80%,5.39,5,1.1
155,Bryce Elder,ATL,7,8,0,27,21,124,7.33,3.01,1.15,0.311,70.50%,48.20%,4.5,4.29,1
156,Jeremiah Estrada,SDP,4,3,0,70,0,70,11.89,3.67,1.02,0.283,77.30%,35.70%,3.21,3.29,1
157,Aroldis Chapman,BOS,3,3,31,62,0,62,12.55,4.09,0.84,0.294,77.80%,41.10%,3.01,3.02,1
158,Luis Morales,ATH,7,8,0,33,19,123,7.8,3.66,1.35,0.293,71.40%,40.00%,4.61,4.69,1
159,Michael Soroka,ARI,6,6,2,52,11,102.1,9.16,3.16,1.06,0.302,71.70%,42.20%,4.03,3.89,1
160,Hunter Barco,PIT,5,6,0,41,11,94.2,8.05,3.69,1.05,0.297,72.70%,44.00%,4.11,4.25,1
161,Bryan Abreu,HOU,4,3,5,68,0,68,11.69,3.67,0.93,0.29,76.10%,39.70%,3.24,3.25,1
162,Sean Burke,CHW,7,10,0,26,26,142,8.09,4.03,1.48,0.289,71.80%,36.60%,4.82,4.94,0.9
163,Logan Allen,CLE,7,8,0,29,21,123,7.3,3.5,1.29,0.297,72.50%,42.40%,4.47,4.65,0.9
164,Cristian Javier,HOU,8,11,0,28,28,157.1,8.25,3.67,1.64,0.283,71.20%,28.50%,4.95,5.01,0.9
165,Ian Seymour,TBR,5,6,0,41,11,94,8.63,2.71,1.29,0.285,73.40%,36.90%,4,4.15,0.9
166,Robert Gasser,MIL,5,5,0,37,11,89,8.09,2.8,1.3,0.288,72.80%,39.20%,4.14,4.32,0.9
167,Patrick Corbin,,6,7,0,19,19,108,7.11,2.89,1.35,0.299,71.30%,43.60%,4.55,4.56,0.9
168,Abner Uribe,MIL,4,3,19,72,0,72,10.83,4.11,0.76,0.296,76.30%,48.60%,3.16,3.34,0.9
169,David Festa,MIN,3,4,0,24,8,60,9.11,3.09,1.15,0.297,72.70%,40.40%,4.01,3.93,0.9
170,Kyle Harrison,MIL,5,6,0,31,15,95.2,9.16,3.51,1.32,0.288,73.50%,36.80%,4.18,4.31,0.9
171,Andrew Alvarez,WSN,5,6,0,35,13,94.1,6.42,3.52,1,0.299,72.00%,50.00%,4.2,4.46,0.8
172,Josh Hader,HOU,3,3,29,60,0,60,12.31,3.46,1.14,0.278,77.40%,31.40%,3.29,3.32,0.8
173,Garrett Cleavinger,TBR,3,3,8,66,0,66,11.43,3.48,0.95,0.29,76.40%,40.60%,3.22,3.29,0.8
174,Joe Boyle,TBR,4,4,0,21,11,70.1,9.96,4.78,0.99,0.294,73.40%,43.20%,4,4.09,0.8
175,Tomoyuki Sugano,COL,5,9,0,21,21,115.2,5.65,2.13,1.6,0.319,67.40%,44.60%,5.47,5.02,0.8
176,David Bednar,NYY,4,3,33,65,0,65,10.95,3.07,1.03,0.282,76.30%,38.00%,3.25,3.32,0.8
