#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,ERA,FIP,WAR
142,Kumar Rocker,TEX,5,6,0,30,16,97,7.97,2.94,1.16,0.291,69.40%,,4.29,4.15,1.1
143,Hunter Barco,PIT,4,4,0,30,11,78.2,8.23,3.59,0.97,0.289,70.70%,,4.08,4.06,1
144,José Berríos,TOR,7,7,0,36,17,117.1,7.64,2.75,1.36,0.282,70.60%,,4.33,4.48,1
145,Robby Snelling,MIA,5,5,0,15,14,78.1,7.83,3.19,1.06,0.296,71.70%,,4.1,4.1,1
146,Chris Paddack,MIA,5,7,0,28,20,115.2,7.05,2.3,1.48,0.294,67.30%,,4.82,4.55,1
147,Aaron Civale,ATH,6,7,0,22,22,121,7.77,2.88,1.49,0.286,69.10%,,4.66,4.66,1
148,Edwin Díaz,LAD,5,3,36,61,0,64,12.31,3.08,0.91,0.289,75.60%,,3.04,2.92,1
149,Bryan Abreu,HOU,3,3,9,65,0,67.1,12.04,3.7,0.89,0.294,76.70%,,3.13,3.15,1
150,Davis Martin,CHW,7,10,0,27,27,151,6.97,3.17,1.31,0.287,69.50%,,4.6,4.69,1
151,Logan Allen,CLE,7,8,0,25,21,117.2,7.27,3.43,1.29,0.293,71.20%,,4.51,4.63,1
152,Johan Oviedo,BOS,6,5,0,37,14,100.1,8.63,3.89,1.17,0.28,71.00%,,4.24,4.38,1
153,Aroldis Chapman,BOS,4,3,30,58,0,57.2,12.34,3.86,0.81,0.289,76.60%,,3.02,2.95,1
154,Connelly Early,BOS,4,3,0,23,7,53,9.36,3.31,0.85,0.292,71.60%,,3.68,3.54,1
155,Jose Quintana,COL,7,9,0,22,22,127,6.27,3.48,1.32,0.302,68.40%,,5.06,4.93,1
156,Anthony Kay,CHW,6,8,0,23,22,121.2,7.24,3.55,1.2,0.289,70.50%,,4.48,4.59,1
157,Lucas Giolito,,7,7,0,23,20,115.2,8.1,3.5,1.39,0.29,70.70%,,4.57,4.6,1
158,David Festa,MIN,3,4,0,23,10,66,9.15,3.1,1.2,0.293,69.60%,,4.26,4.01,0.9
159,Jacob Latz,TEX,4,3,0,41,12,101,8.45,4.14,1.13,0.279,71.70%,,4.21,4.37,0.9
160,Devin Williams,NYM,5,4,31,64,0,64.2,11.67,3.73,0.78,0.287,74.50%,,3.18,3.07,0.9
161,Michael Lorenzen,COL,6,11,0,25,25,141.1,7.15,3.26,1.56,0.299,68.00%,,5.17,5,0.9
162,Hunter Dobbins,STL,5,5,0,28,14,90,6.71,2.93,1.08,0.29,69.00%,,4.37,4.31,0.9
163,Miles Mikolas,WSN,7,10,0,26,26,144.1,5.95,2.07,1.51,0.288,67.20%,,4.86,4.79,0.9
164,Jeremiah Estrada,SDP,4,3,3,65,0,66.2,11.85,3.52,1.13,0.288,76.30%,,3.39,3.42,0.9
165,Kyle Leahy,STL,5,6,0,41,16,118.2,7.3,3.35,1.14,0.294,69.60%,,4.47,4.38,0.9
166,Abner Uribe,MIL,3,3,17,65,0,66.2,10.5,3.89,0.68,0.289,75.00%,,3.18,3.25,0.9
167,Rhett Lowder,CIN,4,4,0,26,12,77.1,7.2,2.87,1.19,0.289,69.70%,,4.36,4.34,0.9
168,Patrick Sandoval,BOS,4,4,0,29,9,69.2,8.44,3.87,0.9,0.304,71.20%,,4.13,3.96,0.9
169,Luis Morales,ATH,7,7,0,26,20,113,7.94,3.56,1.37,0.279,70.10%,,4.54,4.66,0.9
170,Garrett Whitlock,BOS,4,3,4,58,0,64,9.95,2.54,0.88,0.299,73.40%,,3.35,3.17,0.8
171,Michael Soroka,ARI,5,6,1,39,11,96.1,9.05,3.28,1.11,0.288,69.10%,,4.2,4.04,0.8
172,Carmen Mlodzinski,PIT,4,4,0,46,5,74.1,8.1,2.99,0.9,0.296,72.30%,,3.76,3.75,0.8
173,Ryan Feltner,COL,4,6,0,27,17,100,7.36,3.66,1.3,0.304,66.60%,,5.17,4.71,0.8
174,Robert Gasser,MIL,4,4,0,33,9,76.2,8.16,2.94,1.17,0.284,71.60%,,4.02,4.24,0.8
175,Andrés Muñoz,SEA,4,3,34,61,0,62.2,11.11,3.57,0.71,0.281,76.40%,,2.91,3.05,0.8
176,David Bednar,NYY,4,4,32,60,0,60.2,10.75,2.98,0.98,0.287,74.20%,,3.35,3.26,0.8
177,Brandon Sproat,MIL,4,4,0,23,11,70.2,7.58,3.41,1.02,0.284,69.70%,,4.21,4.24,0.8
178,Andrew Alvarez,WSN,3,4,0,26,11,75.1,6.73,3.53,0.95,0.287,70.00%,,4.25,4.32,0.8
179,Max Scherzer,TOR,4,4,0,21,12,71,8.76,2.42,1.57,0.289,68.80%,,4.56,4.38,0.8
180,Will Vest,DET,4,4,8,62,0,64.2,9.11,2.84,0.78,0.296,73.70%,,3.35,3.29,0.8
181,Bryce Elder,ATL,7,7,0,25,18,108,7.35,3.11,1.19,0.302,68.40%,,4.67,4.38,0.8
182,Janson Junk,MIA,4,4,0,36,10,83.1,6.62,2.08,1.2,0.3,67.00%,,4.58,4.19,0.8
183,Adrian Morejon,SDP,5,4,3,63,0,65,8.97,2.81,0.83,0.293,73.30%,,3.42,3.36,0.8
184,Hunter Harvey,CHC,3,2,4,50,0,52.1,9.63,2.56,0.93,0.289,73.70%,,3.35,3.31,0.8
185,Luis Gil,NYY,6,5,0,37,13,97.1,8.92,4.32,1.23,0.268,71.60%,,4.25,4.5,0.8
186,Orion Kerkering,PHI,5,4,2,63,0,63.1,9.59,3.22,0.87,0.293,73.40%,,3.5,3.51,0.8
187,Sean Burke,CHW,7,9,0,26,26,142.2,8.43,3.92,1.51,0.286,70.40%,,4.78,4.87,0.7
188,Ben Brown,CHC,3,3,0,33,3,52.2,10.02,2.9,1.04,0.296,71.60%,,3.77,3.49,0.7
189,Matt Strahm,KCR,4,3,2,61,0,63,9.8,2.67,1.1,0.282,73.70%,,3.51,3.58,0.7
190,Lance McCullers Jr.,HOU,5,5,0,23,16,87.2,8.64,4.57,1.16,0.29,70.20%,,4.59,4.61,0.7
191,Patrick Corbin,,5,7,0,21,18,100,7.17,3,1.37,0.304,68.60%,,4.87,4.61,0.7
