Action,Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,Rank
,Long B...,Isaac Paredes 3B • HOU,450,60,111,68,20,1,22,70,59,90,0,1,0.247,0.349,0.442,150
,Simba'...,Ramon Laureano OF • SD,378,56,100,60,21,2,17,55,29,111,8,3,0.265,0.329,0.466,154
,Big St...,Mickey Moniak OF • COL,397,52,102,59,19,5,19,58,19,112,8,3,0.257,0.294,0.474,155
,W,Jake Burger 1B • TEX,437,56,107,62,20,1,24,65,22,121,1,1,0.245,0.291,0.46,156
,Like a...,Harrison Bader OF • PHI,408,56,105,70,20,1,14,50,29,108,15,6,0.257,0.316,0.414,157
,Gashou...,Brandon Marsh OF • PHI,396,58,107,68,23,3,13,52,46,130,11,2,0.27,0.344,0.442,159
,Like a...,Joshua Lowe OF • TB,397,53,96,59,23,2,12,47,32,116,23,3,0.242,0.3,0.401,160
,Gashou...,Sal Frelick OF • MIL,445,64,122,94,18,3,7,46,41,71,16,4,0.274,0.34,0.375,162
,Simba'...,Jorge Polanco 2B • SEA,421,52,105,62,22,0,21,62,42,100,5,2,0.249,0.319,0.451,163
,Dawg,Max Muncy 3B • LAD,324,57,75,39,14,1,21,69,62,95,2,0,0.232,0.359,0.475,164
,MAGA D...,Heliot Ramos OF • SF,464,60,120,82,20,1,17,56,38,124,5,2,0.259,0.324,0.416,167
,Simba'...,Nolan Arenado 3B • STL,486,59,124,86,21,1,16,66,35,72,3,1,0.255,0.307,0.401,168
,Trex,Ezequiel Tovar SS • COL,493,63,128,79,30,4,15,54,22,142,6,4,0.26,0.292,0.428,169
,W,Jesus Sanchez OF • HOU,444,57,109,68,23,3,15,54,41,118,12,2,0.245,0.312,0.412,170
,Magnum...,Brendan Donovan 2B • STL,472,61,134,94,28,1,11,54,42,68,4,3,0.284,0.351,0.417,172
,W,Jake Mangum OF • TB,405,37,120,98,18,1,3,40,19,64,27,6,0.296,0.33,0.368,173
,Simba'...,Trent Grisham OF • NYY,394,63,87,51,13,1,22,56,63,116,5,2,0.221,0.333,0.426,174
,W,Ryan McMahon 3B • NYY,536,67,122,74,26,1,21,60,69,190,4,3,0.228,0.318,0.397,175
,W,Josh Bell 1B • WAS,505,56,123,80,21,1,21,68,56,107,0,2,0.244,0.323,0.414,177
,MAGA D...,J.T. Realmuto C • PHI,463,58,119,79,24,2,14,53,33,123,8,3,0.257,0.316,0.408,180
,Long B...,Giancarlo Stanton OF • NYY,324,41,77,39,13,0,25,67,34,116,0,0,0.238,0.313,0.509,181
,W,Carlos Santana 1B • CHC,474,59,109,72,20,0,17,66,58,96,6,0,0.23,0.316,0.38,182
,W,"Willi Castro 2B,3B,OF • CHC",440,68,105,69,21,4,11,41,42,120,16,6,0.239,0.323,0.38,183
,Rieken...,J.P. Crawford SS • SEA,509,70,128,91,24,1,12,53,71,117,6,0,0.252,0.347,0.373,185
,W,"Xavier Edwards 2B,SS • MIA",376,52,110,90,14,4,2,30,35,62,24,5,0.293,0.353,0.367,188
,W,Andres Gimenez 2B • TOR,451,54,107,78,18,2,9,49,27,84,21,4,0.237,0.298,0.346,190
,Magnum...,Daulton Varsho OF • TOR,367,56,82,42,17,4,19,57,32,107,7,2,0.223,0.287,0.447,191
,W,Andrew Benintendi OF • CHW,466,58,113,74,21,1,17,60,43,88,4,1,0.242,0.307,0.401,193
,Guillo...,Hunter Goodman C • COL,347,45,90,49,18,3,20,60,20,100,1,1,0.259,0.304,0.501,195
,Gashou...,"Carlos Correa 3B,SS • HOU",467,60,127,86,26,1,14,55,46,101,0,0,0.272,0.339,0.422,199
,W,"Jonathan India 2B,3B,OF • KC",499,72,120,79,28,1,12,52,61,112,7,3,0.24,0.337,0.373,200
,Magnum...,Matt Shaw 3B • CHC,393,57,89,52,21,3,13,44,38,94,17,5,0.227,0.295,0.394,203
,W,Jake Cronenworth 2B • SD,474,63,114,74,24,3,13,64,62,108,4,2,0.24,0.341,0.386,204
,Long B...,Andrew Vaughn 1B • MIL,487,47,123,79,26,1,17,70,34,105,1,0,0.253,0.306,0.415,205
,MAGA D...,Anthony Santander OF • TOR,394,52,89,48,18,1,22,59,41,100,2,0,0.226,0.303,0.444,209
,Big St...,Wilyer Abreu OF • BOS,321,46,81,44,20,1,16,55,34,93,6,3,0.252,0.323,0.47,210
,Long B...,"Tyler Soderstrom 1B,OF • ATH",362,45,95,59,20,0,16,56,36,95,4,2,0.262,0.334,0.45,212
,W,Daylen Lile OF • WAS,321,51,96,61,15,11,9,41,21,56,8,6,0.299,0.347,0.498,213
,W,Mike Yastrzemski OF • KC,433,63,101,58,23,3,17,49,56,111,5,2,0.233,0.323,0.418,214
,W,Whit Merrifield 2B • ATL,395,53,99,74,16,2,7,36,35,72,21,6,0.251,0.315,0.354,215
,Magnum...,Austin Hays OF • CIN,364,53,97,61,21,3,12,51,25,99,5,1,0.267,0.317,0.44,218
,W,"Colt Keith 2B,3B • DET",452,61,116,81,19,3,13,51,44,105,3,1,0.257,0.323,0.398,219
,W,"Zach McKinstry 3B,SS,OF • DET",408,56,99,62,20,8,9,38,39,99,18,4,0.243,0.314,0.397,220
,Runtim...,"Ben Rice C,1B • NYY",349,54,84,43,20,2,19,49,39,80,2,2,0.241,0.325,0.473,223
,W,Trevor Larnach OF • MIN,395,54,98,64,18,1,15,54,44,102,3,2,0.248,0.325,0.413,226
,Runtim...,Mike Trout OF • LAA,322,52,76,45,10,1,20,45,57,118,3,0,0.236,0.357,0.46,228
,W,Colson Montgomery SS • CHW,255,43,61,30,9,1,21,55,25,83,0,0,0.239,0.311,0.529,229
,W,Masyn Winn SS • STL,446,63,113,78,24,2,9,45,31,89,8,4,0.253,0.306,0.377,230
,W,"Luis Rengifo 2B,3B • LAA",414,51,106,78,15,3,10,41,30,82,13,6,0.256,0.311,0.379,231
,W,Jorge Soler OF • LAA,388,56,91,50,21,0,20,51,48,118,0,0,0.234,0.324,0.443,233
,Magnum...,"Ernie Clement 2B,3B,SS • TOR",413,57,114,80,24,2,8,42,17,44,7,3,0.276,0.307,0.402,234
,Rieken...,Lane Thomas OF • CLE,330,45,77,47,16,2,12,42,27,98,16,6,0.233,0.298,0.403,237
,W,Brandon Belt DH • TOR,339,53,86,44,23,0,19,43,61,141,0,0,0.254,0.369,0.49,240
,Simba'...,Lars Nootbaar OF • STL,444,60,107,70,22,2,13,47,62,103,6,4,0.241,0.337,0.387,241
,W,Andrew McCutchen DH • PIT,451,56,108,73,20,0,15,52,66,119,4,2,0.239,0.34,0.384,242
,Rieken...,"Josh H. Smith 1B,3B,SS • TEX",443,61,110,76,22,2,10,39,46,97,10,2,0.248,0.333,0.375,243
,Rieken...,Jordan Westburg 3B • BAL,330,52,87,55,16,2,14,44,18,80,3,2,0.264,0.311,0.452,245
,W,Max Kepler OF • PHI,406,56,96,59,20,1,16,52,40,92,2,0,0.236,0.308,0.409,247
,W,Tommy Pham OF • PIT,413,48,102,69,20,2,11,51,45,100,9,3,0.247,0.321,0.385,248
,Trex,Jackson Holliday 2B • BAL,438,54,102,72,15,3,12,43,41,113,12,7,0.233,0.304,0.363,253
,W,Ryan Jeffers C • MIN,384,50,98,61,23,0,14,51,41,92,2,1,0.255,0.34,0.424,255
,W,"Jeff McNeil 2B,OF • NYM",444,53,110,72,23,3,12,51,43,61,5,0,0.248,0.325,0.394,256
,Trex,Nolan Schanuel 1B • LAA,422,54,110,82,18,0,10,44,54,70,6,1,0.261,0.352,0.374,257
,Runtim...,Mark Vientos 3B • NYM,380,43,92,55,18,1,18,56,27,112,1,0,0.242,0.296,0.437,258
,Guillo...,Adley Rutschman C • BAL,450,56,111,75,20,2,14,54,56,80,0,0,0.247,0.33,0.393,259
,W,Tyler Stephenson C • CIN,380,52,92,55,21,1,15,56,42,120,0,1,0.242,0.322,0.421,260
,Magnum...,Josh Jung 3B • TEX,390,47,100,67,18,1,14,49,22,109,3,1,0.256,0.299,0.415,261
,Long B...,"Addison Barger 3B,OF • TOR",366,46,85,44,24,1,16,57,28,98,3,1,0.232,0.289,0.434,262
,Young ...,Jordan Beck OF • COL,401,44,99,66,19,3,11,38,31,133,14,5,0.247,0.305,0.392,264
,Long B...,Ivan Herrera DH • STL,270,39,78,57,10,0,11,42,30,60,6,1,0.289,0.373,0.448,265
,Guillo...,Ha-seong Kim SS • ATL,314,44,76,55,11,1,9,35,40,67,17,4,0.242,0.329,0.369,267
,W,Christopher Morel OF • TB,377,48,81,47,15,2,17,48,38,129,7,4,0.215,0.292,0.401,274
,W,Cam Smith OF • HOU,441,55,104,71,21,3,9,51,43,137,8,1,0.236,0.312,0.358,275
,Long B...,Royce Lewis 3B • MIN,319,37,78,49,15,0,14,50,25,73,7,1,0.244,0.298,0.423,276
,W,Ryan Mountcastle 1B • BAL,392,46,103,69,22,1,11,50,23,105,3,0,0.263,0.304,0.408,278
,W,"Isiah Kiner-Falefa 3B,SS • TOR",420,46,110,85,18,2,5,40,19,76,14,4,0.262,0.302,0.35,280
,Magnum...,Jacob Wilson SS • ATH,338,43,103,77,17,1,8,40,20,28,3,1,0.305,0.352,0.432,281
,W,"Nolan Gorman 2B,3B • STL",366,48,77,44,15,0,18,53,44,143,4,1,0.21,0.295,0.399,284
,Magnum...,"Lenyn Sosa 1B,2B • CHW",397,39,102,72,15,0,15,51,14,95,2,1,0.257,0.286,0.408,287
,W,Wenceel Perez OF • DET,361,48,88,54,17,5,12,41,31,89,8,4,0.244,0.304,0.418,288
,W,Alejandro Kirk C • TOR,402,36,108,79,18,0,11,63,43,54,0,0,0.269,0.338,0.396,289
,W,Rhys Hoskins 1B • MIL,343,41,77,46,13,1,17,58,44,113,2,1,0.225,0.318,0.417,290
,W,Jake Meyers OF • HOU,372,50,94,68,17,2,7,37,31,86,12,4,0.253,0.319,0.366,291
,W,Starling Marte DH • NYM,310,40,82,61,12,1,8,35,22,72,13,2,0.265,0.325,0.387,294
,W,Gavin Sheets OF • SD,444,44,106,68,23,1,14,58,40,98,2,1,0.239,0.305,0.39,296
,W,Colton Cowser OF • BAL,325,44,70,39,15,1,15,42,32,120,10,1,0.215,0.297,0.406,297
,W,Gavin Lux OF • CIN,443,53,116,81,26,2,7,52,52,112,2,1,0.262,0.34,0.377,298
,W,Ty France 1B • TOR,483,55,120,84,26,0,10,53,31,99,1,0,0.248,0.32,0.364,300
,W,Harold Ramirez DH • WAS,303,40,87,68,12,1,6,45,12,62,6,2,0.287,0.32,0.393,305
,Like a...,Austin Wells C • NYY,321,40,72,38,18,1,15,55,30,88,3,1,0.224,0.292,0.427,307
,W,"Javier Baez 3B,SS,OF • DET",392,47,91,63,16,2,10,51,13,100,7,1,0.232,0.264,0.36,308
,W,Ke'Bryan Hayes 3B • CIN,472,49,114,87,17,3,7,44,30,99,11,3,0.241,0.291,0.335,310
,W,"Tommy Edman 2B,OF • LAD",310,44,73,47,13,2,11,40,20,56,9,1,0.235,0.289,0.397,311
,Like a...,Roman Anthony OF • BOS,257,48,75,48,18,1,8,32,40,84,4,1,0.292,0.396,0.463,312
,W,Jung Hoo Lee OF • SF,404,51,107,72,21,8,6,37,33,49,7,3,0.265,0.324,0.401,315
,Young ...,Kyle Manzardo 1B • CLE,348,34,82,46,16,1,19,49,33,100,1,0,0.236,0.308,0.451,316
,W,Wilmer Flores 1B • SF,355,38,87,60,13,0,14,55,31,66,0,0,0.245,0.311,0.4,317
,W,J.J. Bleday OF • ATH,376,53,84,44,24,1,15,43,46,97,2,2,0.223,0.309,0.412,318
,W,Michael Conforto OF • LAD,422,55,92,55,21,1,15,49,51,117,1,0,0.218,0.311,0.379,319
,Magnum...,Kyle Stowers OF • MIA,263,35,70,41,14,2,13,44,28,87,2,1,0.266,0.341,0.483,321
,W,Matt Wallner OF • MIN,277,40,62,27,15,2,18,39,36,102,3,2,0.224,0.335,0.487,323
,W,Jonah Heim C • TEX,427,45,96,67,16,0,13,58,32,90,2,0,0.225,0.28,0.354,324
,W,Masataka Yoshida DH • BOS,315,36,88,61,18,1,8,44,20,44,4,0,0.279,0.333,0.419,325
,W,"Chase Meidroth 2B,SS • CHW",450,54,114,94,15,0,5,23,45,72,14,4,0.253,0.329,0.32,326
,W,Will Benson OF • CIN,275,38,61,33,13,3,12,40,28,100,10,4,0.222,0.292,0.422,327
,Gashou...,"Romy Gonzalez 1B,2B • BOS",236,33,68,44,15,2,7,38,13,65,8,3,0.288,0.326,0.458,328
,Magnum...,Logan O'Hoppe C • LAA,392,41,89,60,10,1,18,44,25,126,2,2,0.227,0.28,0.395,330
,W,Joey Meneses 1B • NYM,413,40,106,78,21,0,7,61,28,90,1,0,0.257,0.308,0.358,331
,W,Jake Fraley OF • TB,268,37,69,46,14,1,8,32,28,60,12,4,0.258,0.333,0.407,332
,W,Joseph Ortiz SS • MIL,374,49,87,61,17,2,7,41,30,70,10,3,0.233,0.293,0.345,334
,W,Gabriel Moreno C • ARI,298,40,83,60,15,1,7,44,33,57,3,2,0.279,0.351,0.406,335
,Young ...,Jakob Marsee OF • MIA,209,28,61,35,18,3,5,33,22,48,14,6,0.292,0.363,0.478,336
,W,"Mauricio Dubon 2B,3B,SS,OF • ATL",398,50,103,72,23,1,7,40,21,52,4,1,0.259,0.297,0.374,338
,W,Heriberto Hernandez OF • MIA,256,40,68,45,12,1,10,45,31,77,1,1,0.266,0.347,0.438,339
,W,Mike Moustakas 3B • CHW,352,43,87,60,15,0,12,48,23,95,0,0,0.247,0.293,0.392,341
,W,Jacob Young OF • WAS,324,41,79,62,14,1,2,29,24,68,20,8,0.244,0.305,0.312,343
,W,Joc Pederson DH • TEX,314,44,71,43,13,1,14,42,45,82,3,1,0.226,0.338,0.408,345
,W,Leody Taveras OF • SEA,332,38,78,54,14,2,8,35,22,82,14,4,0.235,0.281,0.361,346
,W,Mike Tauchman OF • CHW,324,50,83,58,16,1,8,38,48,81,3,1,0.256,0.358,0.386,347
,Young ...,Tyler O'Neill OF • BAL,261,39,59,32,11,0,16,36,32,87,4,0,0.226,0.318,0.452,349
,W,"Dylan Moore 2B,OF • TEX",249,37,50,28,11,1,10,29,29,89,18,5,0.201,0.296,0.373,350
,W,"Luke Raley 1B,OF • SEA",284,40,66,39,14,1,12,37,23,98,7,2,0.232,0.323,0.415,351
