Action,Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,Rank
,W,Brady House 3B • WAS,261,26,61,46,11,0,4,29,8,78,5,3,0.234,0.252,0.322,653
,W,Alex Kirilloff OF • MIN,208,26,50,31,10,2,7,28,20,60,0,0,0.24,0.312,0.409,655
,W,Elehuris Montero 1B • COL,248,30,55,35,12,1,7,32,18,78,0,0,0.222,0.277,0.363,656
,W,James Outman OF • MIN,204,30,39,22,7,1,9,23,24,84,4,1,0.191,0.291,0.368,658
,W,Abraham Toro 1B • BOS,234,28,57,39,12,0,6,23,13,41,2,1,0.244,0.295,0.372,661
,W,Joey Bart C • PIT,236,24,59,43,10,0,6,30,27,73,0,0,0.25,0.342,0.369,663
,W,Jason Heyward OF • SD,178,26,40,23,9,1,7,25,16,39,2,1,0.225,0.291,0.405,666
,W,Santiago Espinal 3B • CIN,304,28,74,59,12,0,3,26,21,42,5,1,0.243,0.295,0.312,667
,W,Hunter Renfroe OF • KC,265,28,59,36,15,0,8,30,24,61,0,0,0.223,0.289,0.37,675
,W,"Javier Sanoja 2B,3B,OF • MIA",209,26,50,30,14,2,4,24,12,27,4,3,0.239,0.281,0.383,676
,W,Chris Taylor OF • LAA,188,26,39,25,9,0,5,24,19,69,6,2,0.207,0.292,0.335,678
,W,Jake Rogers C • DET,221,29,44,24,10,1,9,30,20,73,0,0,0.199,0.269,0.376,679
,W,Parker Meadows OF • DET,202,26,46,31,7,3,5,19,21,58,6,1,0.228,0.302,0.366,681
,W,Oswaldo Cabrera 3B • NYY,203,30,48,36,8,0,4,22,17,46,3,1,0.236,0.299,0.335,682
,W,"Josh Rojas 2B,3B • CHW",284,31,61,42,14,1,4,23,29,73,7,2,0.215,0.288,0.313,689
,W,Garrett Cooper 1B • ATL,233,20,56,38,10,1,7,31,17,74,0,0,0.24,0.296,0.382,690
,W,MJ Melendez OF • KC,260,29,53,28,14,2,9,25,24,79,2,2,0.204,0.275,0.377,697
,W,"Edouard Julien 1B,2B • MIN",238,29,54,36,11,0,7,20,34,87,2,2,0.227,0.327,0.361,700
,W,Trey Mancini 1B • ARI,235,31,55,39,12,0,4,28,21,78,0,0,0.234,0.299,0.336,704
,W,Eddie Rosario DH • MIL,189,23,40,24,8,1,7,25,12,48,3,1,0.212,0.256,0.376,706
