#,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
258,Carson Benge,NYM,92,367,9,44,39,8,8.90%,21.60%,0.146,0.283,0.237,0.312,0.383,0.304,94,0.2,-2.5,-3,0.7
259,Kyle Isbel,KCR,118,442,7,51,39,9,6.20%,19.60%,0.121,0.279,0.234,0.287,0.355,0.281,78,0.5,-10.9,2.9,0.7
260,Jake Rogers,DET,53,190,6,21,21,1,8.00%,28.60%,0.157,0.265,0.208,0.278,0.366,0.282,78,-0.2,-5.1,5.4,0.7
261,Kyle Higashioka,TEX,75,276,10,27,35,2,6.20%,24.70%,0.17,0.256,0.22,0.27,0.391,0.285,83,-0.7,-6.4,3.7,0.7
262,Harry Ford,WSN,98,288,6,32,29,5,9.90%,24.40%,0.124,0.285,0.228,0.315,0.352,0.296,89,-0.2,-4.1,1.2,0.7
263,Joc Pederson,TEX,103,405,17,48,50,3,11.20%,22.60%,0.189,0.259,0.228,0.329,0.418,0.326,111,-0.8,4.2,-11.6,0.7
264,Ramón Urías,STL,73,283,7,29,31,2,7.20%,22.10%,0.139,0.288,0.242,0.303,0.381,0.299,90,-0.5,-3.7,0.5,0.7
265,Colby Thomas,ATH,68,262,10,31,32,4,5.90%,30.70%,0.193,0.3,0.233,0.289,0.426,0.308,96,-0.1,-1.3,-1.3,0.6
266,Nolan Gorman,STL,124,503,21,57,63,4,9.90%,32.70%,0.183,0.278,0.212,0.291,0.394,0.298,90,-1.5,-7.7,-3.2,0.6
267,Kyle Karros,COL,58,232,4,27,22,2,8.50%,23.50%,0.12,0.329,0.257,0.327,0.377,0.309,84,-0.3,-4.7,3.1,0.6
268,Lourdes Gurriel Jr.,ARI,81,342,11,38,45,5,5.70%,15.90%,0.162,0.285,0.264,0.311,0.425,0.318,102,-0.3,0.6,-5.9,0.6
269,Javier Sanoja,MIA,61,224,4,24,23,5,5.90%,11.30%,0.126,0.277,0.258,0.304,0.384,0.299,89,-0.1,-3,1.6,0.6
270,JJ Bleday,CIN,85,334,13,40,40,2,10.50%,23.40%,0.191,0.261,0.227,0.31,0.418,0.316,97,-0.6,-1.7,-3.3,0.6
271,Austin Hays,CHW,111,449,14,53,53,6,6.50%,24.40%,0.162,0.299,0.245,0.301,0.407,0.306,95,-0.3,-2.9,-6.3,0.6
272,Keibert Ruiz,WSN,86,334,7,30,36,2,4.80%,11.50%,0.119,0.252,0.24,0.283,0.359,0.281,78,-0.8,-9.5,4.4,0.6
273,Spencer Steer,CIN,100,413,13,48,50,7,9.60%,21.60%,0.166,0.274,0.235,0.317,0.401,0.315,96,-0.2,-2.1,-5.7,0.6
274,Jasson Domínguez,NYY,60,238,7,31,26,11,9.30%,25.50%,0.157,0.301,0.242,0.315,0.399,0.312,99,0.7,0.3,-2.5,0.6
275,Wenceel Pérez,DET,109,444,12,53,46,10,7.90%,21.80%,0.157,0.279,0.236,0.3,0.393,0.302,92,0.5,-3.6,-5.8,0.6
276,Andrew Vaughn,MIL,129,537,19,55,73,1,7.00%,19.60%,0.169,0.281,0.251,0.309,0.42,0.316,103,-1.6,0.2,-12.2,0.6
277,Jose Trevino,CIN,70,254,6,25,25,1,5.70%,15.70%,0.123,0.257,0.234,0.281,0.357,0.279,72,-0.5,-8.9,6.2,0.6
278,Tyler Freeman,COL,84,344,5,44,32,13,7.60%,13.40%,0.117,0.307,0.275,0.351,0.392,0.329,97,0.4,-0.8,-4.9,0.6
279,Edouard Julien,COL,88,341,8,38,33,4,12.10%,29.00%,0.143,0.334,0.242,0.34,0.385,0.321,92,-0.6,-3.9,-1.8,0.6
280,Edgar Quero,CHW,110,430,8,42,44,1,8.50%,18.20%,0.112,0.297,0.254,0.325,0.366,0.306,95,-1.1,-3.8,-5.1,0.6
281,Josh Lowe,LAA,115,471,13,57,49,21,7.80%,27.00%,0.155,0.304,0.237,0.299,0.392,0.3,90,1.5,-4,-6.6,0.6
282,Nick Fortes,TBR,90,308,7,29,29,2,5.60%,18.10%,0.116,0.253,0.223,0.279,0.339,0.273,72,-0.2,-10.3,5.4,0.6
283,Taylor Walls,TBR,86,326,5,37,29,14,9.60%,23.70%,0.113,0.269,0.213,0.29,0.327,0.275,73,0.8,-9.4,3.8,0.6
284,Travis d'Arnaud,LAA,60,221,7,22,25,0,6.30%,28.70%,0.157,0.278,0.218,0.277,0.375,0.285,80,-0.6,-5.9,3.6,0.6
285,Alex Call,LAD,46,173,4,21,18,3,11.10%,18.80%,0.13,0.275,0.236,0.331,0.366,0.311,98,-0.3,-0.6,0,0.5
286,Michael Massey,KCR,81,319,9,32,35,2,4.80%,18.30%,0.143,0.269,0.24,0.281,0.383,0.288,82,-0.3,-7,1.4,0.5
287,Austin Wynns,ATH,43,153,4,15,18,1,6.20%,27.60%,0.138,0.291,0.227,0.281,0.365,0.282,79,-0.2,-4.1,4.1,0.5
